status,match,Species_binomial,weighting,region,measure,stat,value_src,value_comp,in_src,in_comp,real_src,real_cmp,tol
compared,TRUE,Canis_familiaris,weighted,Whole Brain,CMRO2,N,8,8,TRUE,TRUE,TRUE,TRUE,0
compared,TRUE,Canis_familiaris,unweighted,Whole Brain,CMRgl,Mean,44.5,44.5,TRUE,TRUE,TRUE,TRUE,0.05
compared,TRUE,Canis_familiaris,unweighted,Whole Brain,CMRgl,N,1,1,TRUE,TRUE,TRUE,TRUE,0
compared,TRUE,Canis_familiaris,weighted,Whole Brain,CMRgl,Mean,44.5,44.5,TRUE,TRUE,TRUE,TRUE,0.05
compared,TRUE,Canis_familiaris,weighted,Whole Brain,CMRgl,N,8,8,TRUE,TRUE,TRUE,TRUE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Auditory Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Auditory Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Auditory Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Auditory Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Basal Ganglia,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Basal Ganglia,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Basal Ganglia,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Basal Ganglia,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Basal Ganglia,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Basal Ganglia,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Basal Ganglia,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Basal Ganglia,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Basal Ganglia,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Basal Ganglia,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Basal Ganglia,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Basal Ganglia,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cerebellum,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cerebellum,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cerebellum,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cerebellum,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cerebellum,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cerebellum,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cerebellum,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cerebellum,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cerebellum,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cerebellum,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cerebellum,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cerebellum,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cingulate Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cingulate Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cingulate Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cingulate Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cingulate Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cingulate Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cingulate Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cingulate Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cortex,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cortex,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cortex,CBF,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cortex,CBF,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,weighted,Cortex,CMRgl,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,weighted,Cortex,CMRgl,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
both_absent,TRUE,Capra_aegagrus,unweighted,Frontal Cortex,CMRO2,Mean,NA,NA,FALSE,TRUE,FALSE,FALSE,0.05
both_absent,TRUE,Capra_aegagrus,unweighted,Frontal Cortex,CMRO2,N,NA,NA,FALSE,TRUE,FALSE,FALSE,0
