status,genus,weighting,region,measure,stat,built,manual,diff,real_built,real_manual,tol
both_absent,Felis,unweighted,Frontal Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Frontal Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Frontal Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Frontal Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Frontal Cortex,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Frontal Cortex,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Frontal Cortex,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Frontal Cortex,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Frontal Cortex,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
match,Felis,unweighted,Frontal Cortex,CMRgl,CV,32.65,32.65,0,TRUE,TRUE,0.011
match,Felis,unweighted,Frontal Cortex,CMRgl,CVstar,40.82,40.82,0,TRUE,TRUE,0.011
match,Felis,unweighted,Frontal Cortex,CMRgl,Mean,49,49,0,TRUE,TRUE,0.011
match,Felis,unweighted,Frontal Cortex,CMRgl,N,1,1,0,TRUE,TRUE,0
match,Felis,unweighted,Frontal Cortex,CMRgl,SD,16,16,0,TRUE,TRUE,0.011
match,Felis,weighted,Frontal Cortex,CMRgl,CV,32.65,32.65,0,TRUE,TRUE,0.011
match,Felis,weighted,Frontal Cortex,CMRgl,CVstar,34.69,34.69,0,TRUE,TRUE,0.011
match,Felis,weighted,Frontal Cortex,CMRgl,Mean,49,49,0,TRUE,TRUE,0.011
match,Felis,weighted,Frontal Cortex,CMRgl,N,4,4,0,TRUE,TRUE,0
match,Felis,weighted,Frontal Cortex,CMRgl,SD,16,16,0,TRUE,TRUE,0.011
both_absent,Felis,unweighted,Hippocampus,CBF,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CBF,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CBF,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CBF,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Hippocampus,CBF,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CBF,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CBF,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CBF,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CBF,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,weighted,Hippocampus,CBF,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,unweighted,Hippocampus,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
both_absent,Felis,unweighted,Hippocampus,CMRO2,SD,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CMRO2,CV,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CMRO2,CVstar,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CMRO2,Mean,NA,NA,NA,FALSE,FALSE,0.011
both_absent,Felis,weighted,Hippocampus,CMRO2,N,NA,NA,NA,FALSE,FALSE,0
