"Species","Visual_acuity.cdeg","Audible_freq_high_60dB.kHz","Binocular_field.deg","Sound_localization_threshold.deg","Field_of_best_vision.deg","Audible_freq_low_60dB.kHz","Hearing_range.octaves"
"Neotoma floridana",2.3,56.494047,85,19,156.2,,
"Noctilio leporinus",,111.362092,,,,,
"Nycticebus coucang",,44.271794,,,,,
"Nyctophilus gouldi",0.6,,,,,,
"Odobenus rosmarus",3.8,,,,,,
"Onychomys leucogaster",2.3,67.939875,52,19.3,68.5,,
"Oryctolagus cuniculus",3,49.193888,,,,,
"Otolemur crassicaudatus",4.8,,,,,,
"Ovis aries",5.61,42.555736,,,,,
"Pan troglodytes",64.28,23.058892,,,,,
"Papio cynocephalus",,40.370683,,,,,
"Paraechinus hypomelas",,,35,19,,,
"Perodicticus potto",,42.276265,,,,,
"Peromyscus maniculatus",0.56,,,,,,
"Phascolarctos cinereus",2.4,,,,,,
"Phoca vitulina",3.6,23.211325,,3.2,,,
"Phyllostomus hastatus",0.167,,,,,,
"Phyllotis darwini",,74.015771,,,,,
"Plecotus auritus",1,,,,,,
"Pteropus giganteus",1.7,,,,,,
"Pteropus poliocephalus",5.5,,,,,,
"Pteropus scapulatus",4,,,,,,
"Rattus norvegicus",1.55,70.704095,55.5,11.95,52.8,,
"Rhinolophus ferrumequinum",,102.896205,,,,,
"Rhinolophus rouxii",0.4,,,,,,
"Rousettus aegyptiacus",,64.02819,,,,,
"Rousettus madagascariensis",3,,,,,,
"Saguinus midas",24.87,,,,,,
"Saimiri sciureus",40.5,43.120234,,,,,
"Sarcophilus harrisii",4.75,,,,,,
"Sciurus carolinensis",3.9,,,,,,
"Sciurus niger",3.9,48.870822,,,,,
"Setonix brachyurus",4,,,,,,
"Sigmodon hispidus",,72.090537,,,,,
"Sminthopsis crassicaudata",2.36,,,,,,
"Spermophilus beecheyi",4,,,,,,
"Suricata suricatta",6.3,,,,,,
"Sus scrofa",8.96,40.906196,47,4.6,11.6,,
"Sylvilagus floridanus",,56,,27.6,,0.3,7.544321
"Tachyglossus aculeatus",1.69,,,,,,
"Tamias striatus",,52.544367,,,,,
"Taphozous georgianus",1.3,,,,,,
"Tarsipes rostratus",0.63,,,,,,
"Tarsius syrichta",8.89,,,,,,
"Thylamys elegans",,78.021856,,,,,
"Trichosurus vulpecula",4.8,,,,,,
"Tupaia belangeri",2.4,,,,,,
"Tupaia glis",4.7,61.142151,,,,,
"Tursiops truncatus",,,,1.1,,,
"Zalophus californianus",4.3,32.696257,,8.8,,,
