"Species","Measure","Value","Medium","population","Source_item","Study_key","value_origin","Data_role","note"
"Myotis daubentonii","Visual_acuity.cdeg",0.1,"air","","Veilleux_Kirk_2014_SupplementalTable1","eklöf2003|j","published","secondary",""
"Myotis mystacinus","Visual_acuity.cdeg",0.1,"air","","Veilleux_Kirk_2014_SupplementalTable1","eklöf2003|j","published","secondary",""
"Nyctophilus gouldi","Visual_acuity.cdeg",0.6,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Phyllostomus hastatus","Visual_acuity.cdeg",0.167,"air","","Veilleux_Kirk_2014_SupplementalTable1","suthers1966|r","published","secondary",""
"Plecotus auritus","Visual_acuity.cdeg",1,"air","","Veilleux_Kirk_2014_SupplementalTable1","eklöf2003|j","published","secondary",""
"Pteropus giganteus","Visual_acuity.cdeg",1.7,"air","","Veilleux_Kirk_2014_SupplementalTable1","müller2007|b","published","secondary",""
"Pteropus poliocephalus","Visual_acuity.cdeg",5.5,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Pteropus scapulatus","Visual_acuity.cdeg",4,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Rhinolophus rouxii","Visual_acuity.cdeg",0.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Rousettus madagascariensis","Visual_acuity.cdeg",3,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Taphozous georgianus","Visual_acuity.cdeg",1.3,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Dasyurus hallucatus","Visual_acuity.cdeg",2.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","harman1986|a","published","secondary",""
"Myrmecobius fasciatus","Visual_acuity.cdeg",5.2,"air","","Veilleux_Kirk_2014_SupplementalTable1","arrese2000|c","published","secondary",""
"Sarcophilus harrisii","Visual_acuity.cdeg",4.75,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+tancred1981|e","published","secondary",""
"Sminthopsis crassicaudata","Visual_acuity.cdeg",2.36,"air","","Veilleux_Kirk_2014_SupplementalTable1","arrese1999|c","published","secondary",""
"Didelphis marsupialis","Visual_acuity.cdeg",1.25,"air","","Veilleux_Kirk_2014_SupplementalTable1","silveira1982|l","published","secondary",""
"Didelphis virginiana","Visual_acuity.cdeg",2.49,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+kolb1985|h","published","secondary",""
"Macropus eugenii","Visual_acuity.cdeg",2.7,"air","","Veilleux_Kirk_2014_SupplementalTable1","hemmi1998|j","published","secondary",""
"Macropus fuliginosus","Visual_acuity.cdeg",11.23,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+dunlop1987|s","published","secondary",""
"Phascolarctos cinereus","Visual_acuity.cdeg",2.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","schmid1992|k","published","secondary",""
"Setonix brachyurus","Visual_acuity.cdeg",4,"air","","Veilleux_Kirk_2014_SupplementalTable1","arrese1999|c+fleming1997|p","published","secondary",""
"Tarsipes rostratus","Visual_acuity.cdeg",0.63,"air","","Veilleux_Kirk_2014_SupplementalTable1","arrese2002|c","published","secondary",""
"Trichosurus vulpecula","Visual_acuity.cdeg",4.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","freeman1978|b","published","secondary",""
"Oryctolagus cuniculus","Visual_acuity.cdeg",3,"air","","Veilleux_Kirk_2014_SupplementalTable1","van1967|m","published","secondary",""
"Tachyglossus aculeatus","Visual_acuity.cdeg",1.69,"air","","Veilleux_Kirk_2014_SupplementalTable1","howland2004|h+stone1983|j","published","secondary",""
"Diceros bicornis","Visual_acuity.cdeg",6,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew2008|j","published","secondary",""
"Equus caballus","Visual_acuity.cdeg",23.3,"air","","Veilleux_Kirk_2014_SupplementalTable1","timney1992|b","published","secondary",""
"Alouatta caraya","Visual_acuity.cdeg",59.61,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+franco2000|b","published","secondary",""
"Aotus azarae","Visual_acuity.cdeg",8.3,"air","","Veilleux_Kirk_2014_SupplementalTable1","yamada2001|e","published","secondary",""
"Aotus trivirgatus","Visual_acuity.cdeg",10,"air","","Veilleux_Kirk_2014_SupplementalTable1","jacobs1977|g","published","secondary",""
"Callithrix jacchus","Visual_acuity.cdeg",30,"air","","Veilleux_Kirk_2014_SupplementalTable1","troilo1993|d","published","secondary",""
"Cebus apella","Visual_acuity.cdeg",54.75,"air","","Veilleux_Kirk_2014_SupplementalTable1","andrade2000|b","published","secondary",""
"Chlorocebus aethiops","Visual_acuity.cdeg",55.23,"air","","Veilleux_Kirk_2014_SupplementalTable1","perry1985|v+herbin1997|m","published","secondary",""
"Homo sapiens","Visual_acuity.cdeg",64,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","published","secondary",""
"Macaca fascicularis","Visual_acuity.cdeg",46,"air","","Veilleux_Kirk_2014_SupplementalTable1","valois1974|r","published","secondary",""
"Macaca mulatta","Visual_acuity.cdeg",53.6,"air","","Veilleux_Kirk_2014_SupplementalTable1","cowey1967|a+cavonius1973|c","published","secondary",""
"Macaca nemestrina","Visual_acuity.cdeg",46,"air","","Veilleux_Kirk_2014_SupplementalTable1","valois1974|r","published","secondary",""
"Pan troglodytes","Visual_acuity.cdeg",64.28,"air","","Veilleux_Kirk_2014_SupplementalTable1","spence1934|k","published","secondary",""
"Saguinus midas","Visual_acuity.cdeg",24.87,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+franco2000|b","published","secondary",""
"Saimiri sciureus","Visual_acuity.cdeg",40.5,"air","","Veilleux_Kirk_2014_SupplementalTable1","cowey1967|a","published","secondary",""
"Tarsius syrichta","Visual_acuity.cdeg",8.89,"air","","Veilleux_Kirk_2014_SupplementalTable1","veilleux2009|c","published","secondary",""
"Cheirogaleus medius","Visual_acuity.cdeg",2.84,"air","","Veilleux_Kirk_2014_SupplementalTable1","veilleux2009|c","published","secondary",""
"Eulemur macaco","Visual_acuity.cdeg",5.14,"air","","Veilleux_Kirk_2014_SupplementalTable1","veilleux2009|c","published","secondary",""
"Galago senegalensis","Visual_acuity.cdeg",6.7,"air","","Veilleux_Kirk_2014_SupplementalTable1","treff1967|h","published","secondary",""
"Lemur catta","Visual_acuity.cdeg",6.7,"air","","Veilleux_Kirk_2014_SupplementalTable1","neuringer1981|m","published","secondary",""
"Microcebus murinus","Visual_acuity.cdeg",4.2,"air","","Veilleux_Kirk_2014_SupplementalTable1","dkhissi2001|o","published","secondary",""
"Otolemur crassicaudatus","Visual_acuity.cdeg",4.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","langston1986|a","published","secondary",""
"Loxodonta africana","Visual_acuity.cdeg",13.16,"air","","Veilleux_Kirk_2014_SupplementalTable1","pettigrew2010|j","published","secondary",""
"Cuniculus paca","Visual_acuity.cdeg",2.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","silveira1989|c","published","secondary",""
"Dasyprocta leporina","Visual_acuity.cdeg",6.21,"air","","Veilleux_Kirk_2014_SupplementalTable1","silveira1989|c","published","secondary",""
"Ellobius lutescens","Visual_acuity.cdeg",0.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","herbin1994|m","published","secondary",""
"Ellobius talpinus","Visual_acuity.cdeg",0.9,"air","","Veilleux_Kirk_2014_SupplementalTable1","herbin1994|m","published","secondary",""
"Heterocephalus glaber","Visual_acuity.cdeg",0.44,"air","","Veilleux_Kirk_2014_SupplementalTable1","heffner1993|r","published","secondary",""
"Hydrochoerus hydrochaeris","Visual_acuity.cdeg",5.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","silveira1989|c","published","secondary",""
"Lemmus lemmus","Visual_acuity.cdeg",0.83,"air","","Veilleux_Kirk_2014_SupplementalTable1","rahmann1965|v","published","secondary",""
"Meriones unguiculatus","Visual_acuity.cdeg",1.8,"air","","Veilleux_Kirk_2014_SupplementalTable1","wilkinson1984|f+baker1983|a","published","secondary",""
"Mesocricetus auratus","Visual_acuity.cdeg",0.5,"air","","Veilleux_Kirk_2014_SupplementalTable1","emerson1980|v","published","secondary",""
"Mus musculus","Visual_acuity.cdeg",0.5,"air","","Veilleux_Kirk_2014_SupplementalTable1","prusky2000|g","published","secondary",""
"Peromyscus maniculatus","Visual_acuity.cdeg",0.56,"air","","Veilleux_Kirk_2014_SupplementalTable1","rahmann1968|h","published","secondary",""
"Rattus norvegicus","Visual_acuity.cdeg",1.6,"air","","Veilleux_Kirk_2014_SupplementalTable1","seymoure1997|p","published","secondary",""
"Sciurus carolinensis","Visual_acuity.cdeg",3.9,"air","","Veilleux_Kirk_2014_SupplementalTable1","jacobs1982|g","published","secondary",""
"Sciurus niger","Visual_acuity.cdeg",3.9,"air","","Veilleux_Kirk_2014_SupplementalTable1","jacobs1982|g","published","secondary",""
"Spermophilus beecheyi","Visual_acuity.cdeg",4,"air","","Veilleux_Kirk_2014_SupplementalTable1","drickamer1970|l","published","secondary",""
"Tupaia belangeri","Visual_acuity.cdeg",2.4,"air","","Veilleux_Kirk_2014_SupplementalTable1","petry1984|h","published","secondary",""
"Tupaia glis","Visual_acuity.cdeg",4.7,"air","","Veilleux_Kirk_2014_SupplementalTable1","schäfer1969|d","published","secondary",""
"Choloepus didactylus","Visual_acuity.cdeg",1.54,"air","","Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+andrade1989|b","published","secondary",""
"Eptesicus fuscus","Audible_freq_high_60dB.kHz",106.342500351946,"air","big brown bat","Koay_etal_1998_Figure6","koay1997","digitised_from_figure","secondary",""
"Myotis lucifugus","Audible_freq_high_60dB.kHz",115.852761847095,"air","little brown bat","Koay_etal_1998_Figure6","dalland1965","digitised_from_figure","secondary",""
"Noctilio leporinus","Audible_freq_high_60dB.kHz",111.362091884371,"air","fish-catching bat","Koay_etal_1998_Figure6","wenstrup1984","digitised_from_figure","secondary",""
"Rousettus aegyptiacus","Audible_freq_high_60dB.kHz",64.0281898690842,"air","Egyptian fruit bat","Koay_etal_1998_Figure6","SELF:Koay_etal_1998_Figure6:Egyptian fruit bat","digitised_from_figure","primary",""
"Rhinolophus ferrumequinum","Audible_freq_high_60dB.kHz",102.896205131978,"air","horseshoe bat","Koay_etal_1998_Figure6","long1975","digitised_from_figure","secondary",""
"Didelphis virginiana","Audible_freq_high_60dB.kHz",68.8410910216144,"air","Virginia opossum","Koay_etal_1998_Figure6","ravizza1969a","digitised_from_figure","secondary",""
"Thylamys elegans","Audible_freq_high_60dB.kHz",78.021856492046,"air","mouse opossum","Koay_etal_1998_Figure6","frost1994","digitised_from_figure","secondary",""
"Monodelphis domestica","Audible_freq_high_60dB.kHz",76.4947754933287,"air","short-tailed opossum","Koay_etal_1998_Figure6","frost1994","digitised_from_figure","secondary",""
"Hemiechinus auritus","Audible_freq_high_60dB.kHz",59.551774050535,"air","hedgehog","Koay_etal_1998_Figure6","ravizza1969b","digitised_from_figure","secondary",""
"Tupaia glis","Audible_freq_high_60dB.kHz",61.1421506948463,"air","tree shrew","Koay_etal_1998_Figure6","heffner1969a|h","digitised_from_figure","secondary",""
"Eulemur fulvus","Audible_freq_high_60dB.kHz",43.4052852236769,"air","brown lemur","Koay_etal_1998_Figure6","sutherland1988","digitised_from_figure","secondary",""
"Nycticebus coucang","Audible_freq_high_60dB.kHz",44.2717938954327,"air","slow loris","Koay_etal_1998_Figure6","heffner1970|h","digitised_from_figure","secondary",""
"Perodicticus potto","Audible_freq_high_60dB.kHz",42.2762645550398,"air","potto","Koay_etal_1998_Figure6","heffner1970|h","digitised_from_figure","secondary",""
"Galago senegalensis","Audible_freq_high_60dB.kHz",65.7381126945387,"air","bushbaby","Koay_etal_1998_Figure6","heffner1969b|h","digitised_from_figure","secondary",""
"Aotus trivirgatus","Audible_freq_high_60dB.kHz",50.5076494032799,"air","owl monkey","Koay_etal_1998_Figure6","beecher1974a","digitised_from_figure","secondary",""
"Saimiri sciureus","Audible_freq_high_60dB.kHz",43.1202343540541,"air","squirrel monkey","Koay_etal_1998_Figure6","beecher1974b","digitised_from_figure","secondary",""
"Macaca nemestrina","Audible_freq_high_60dB.kHz",34.465933782662,"air","pigtailed macaque","Koay_etal_1998_Figure6","stebbins1966","digitised_from_figure","secondary",""
"Macaca mulatta","Audible_freq_high_60dB.kHz",40.9061962571161,"air","rhesus macaque","Koay_etal_1998_Figure6","pfingst1978","digitised_from_figure","secondary",""
"Macaca fuscata","Audible_freq_high_60dB.kHz",34.465933782662,"air","Japanese macaque","Koay_etal_1998_Figure6","jackson1997","digitised_from_figure","secondary",""
"Chlorocebus aethiops","Audible_freq_high_60dB.kHz",45.1556008587297,"air","vervet","Koay_etal_1998_Figure6","owren1988","digitised_from_figure","secondary",""
"Cercopithecus mitis","Audible_freq_high_60dB.kHz",47.914299398559,"air","blue monkey","Koay_etal_1998_Figure6","brown1984|c","digitised_from_figure","secondary",""
"Cercopithecus neglectus","Audible_freq_high_60dB.kHz",42.2762645550398,"air","DeBrazza monkey","Koay_etal_1998_Figure6","owren1988","digitised_from_figure","secondary",""
