"Species","Measure","Units","Value","Medium","n_studies","Sources","Study_keys","Data_role","value_origin","value_range"
"Homo sapiens","Binocular_field.deg","deg",105,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:man","primary","published",""
"Homo sapiens","Field_of_best_vision.deg","deg",0.7,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:man","primary","published",""
"Homo sapiens","Sound_localization_threshold.deg","deg",1.3,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1988c|r","secondary","published",""
"Homo sapiens","Visual_acuity.cdeg","c/deg",65.5,"air",2,"Heffner_Heffner_1992_a_Table1; Veilleux_Kirk_2014_SupplementalTable1","cavonius1973; pettigrew1988|j","secondary","published",""
"Hydrochoerus hydrochaeris","Visual_acuity.cdeg","c/deg",5.8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","silveira1989|c","secondary","published",""
"Inia geoffrensis","Audible_freq_high_60dB.kHz","kHz",105.644129,"underwater",1,"Koay_etal_1998_Figure6","jacobs1972","secondary","digitised_from_figure",""
"Lemmus lemmus","Visual_acuity.cdeg","c/deg",0.83,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","rahmann1965|v","secondary","published",""
"Lemur catta","Visual_acuity.cdeg","c/deg",6.7,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","neuringer1981|m","secondary","published",""
"Loxodonta africana","Visual_acuity.cdeg","c/deg",13.16,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew2010|j","secondary","published",""
"Lynx lynx","Visual_acuity.cdeg","c/deg",8,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","maffei1990|l","secondary","published",""
"Macaca fascicularis","Visual_acuity.cdeg","c/deg",46,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","valois1974|r","secondary","published",""
"Macaca fuscata","Audible_freq_high_60dB.kHz","kHz",34.465934,"air",1,"Koay_etal_1998_Figure6","jackson1997","secondary","digitised_from_figure",""
"Macaca mulatta","Audible_freq_high_60dB.kHz","kHz",40.906196,"air",1,"Koay_etal_1998_Figure6","pfingst1978","secondary","digitised_from_figure",""
"Macaca mulatta","Visual_acuity.cdeg","c/deg",53.6,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","cowey1967|a+cavonius1973|c","secondary","published",""
"Macaca nemestrina","Audible_freq_high_60dB.kHz","kHz",34.465934,"air",1,"Koay_etal_1998_Figure6","stebbins1966","secondary","digitised_from_figure",""
"Macaca nemestrina","Visual_acuity.cdeg","c/deg",46,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","valois1974|r","secondary","published",""
"Macroderma gigas","Visual_acuity.cdeg","c/deg",1.9,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Macropus eugenii","Visual_acuity.cdeg","c/deg",2.7,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","hemmi1998|j","secondary","published",""
"Macropus fuliginosus","Visual_acuity.cdeg","c/deg",11.23,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","ross2007|c+dunlop1987|s","secondary","published",""
"Marmota monax","Audible_freq_high_60dB.kHz","kHz",27.548565,"air",1,"Koay_etal_1998_Figure6","conesa1991","secondary","digitised_from_figure",""
"Megaderma lyra","Visual_acuity.cdeg","c/deg",1.5,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","pettigrew1988|j","secondary","published",""
"Meriones unguiculatus","Audible_freq_high_60dB.kHz","kHz",58.386198,"air",1,"Koay_etal_1998_Figure6","ryan1976","secondary","digitised_from_figure",""
"Meriones unguiculatus","Binocular_field.deg","deg",48,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gerbil","primary","published",""
"Meriones unguiculatus","Field_of_best_vision.deg","deg",200,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:gerbil","primary","published",""
"Meriones unguiculatus","Sound_localization_threshold.deg","deg",27,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1988b|r","secondary","published",""
"Meriones unguiculatus","Visual_acuity.cdeg","c/deg",2,"air",1,"Heffner_Heffner_1992_a_Table1","baker1983","secondary","published",""
"Mesocricetus auratus","Audible_freq_high_60dB.kHz","kHz",46.361516,"air",1,"Koay_etal_1998_Figure6","heffner1993|r","secondary","digitised_from_figure",""
"Mesocricetus auratus","Visual_acuity.cdeg","c/deg",0.5,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","emerson1980|v","secondary","published",""
"Microcebus murinus","Visual_acuity.cdeg","c/deg",4.2,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","dkhissi2001|o","secondary","published",""
"Monodelphis domestica","Audible_freq_high_60dB.kHz","kHz",76.494775,"air",1,"Koay_etal_1998_Figure6","frost1994","secondary","digitised_from_figure",""
"Mus musculus","Audible_freq_high_60dB.kHz","kHz",85.524804,"air",2,"Koay_etal_1998_Figure6","heffner1980|h; markl1973","secondary","digitised_from_figure",""
"Mus musculus","Visual_acuity.cdeg","c/deg",0.5,"air",1,"Veilleux_Kirk_2014_SupplementalTable1","prusky2000|g","secondary","published",""
"Mustela nivalis","Audible_freq_high_60dB.kHz","kHz",60.341723,"air",1,"Koay_etal_1998_Figure6","heffner1985a|r","secondary","digitised_from_figure",""
"Mustela nivalis","Binocular_field.deg","deg",69,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:least weasel","primary","published",""
"Mustela nivalis","Field_of_best_vision.deg","deg",23,"air",1,"Heffner_Heffner_1992_a_Table1","SELF:Heffner_Heffner_1992_a_Table1:least weasel","primary","published",""
"Mustela nivalis","Sound_localization_threshold.deg","deg",12,"air",1,"Heffner_Heffner_1992_a_Table1","heffner1987|r","secondary","published",""
"Mustela nivalis","Visual_acuity.cdeg","c/deg",2.2,"air",2,"Heffner_Heffner_1992_a_Table1; Veilleux_Kirk_2014_SupplementalTable1","heffner1992|r; SELF:Heffner_Heffner_1992_a_Table1:least weasel","secondary","published",""
