"ref_number","citation"
43,"Martin GF, Megirian D, Conner JB. The origin, course, and termination of the corticospinal tracts of the Tasmanian potoroo (Potorous apicalis). J Anat 1972;111:263–81."
44,"Martin GF, Megirian D, Roebuck A. The corticospinal tract of the marsupial phalanger (Trichosurus 6ulpecula). J Comp Neurol 1970;139:245–57."
45,"Martins EP, Garland T Jr. Phylogenetic analysis of the correlated evolution of continuos characters: a simulation study. Evolution 1991;45:534–57."
46,"Marzke MW, Wullstein KL. Chimpanzee and human grips: a new classification with a focus on evolutionary morphology. Int J Primatol 1996;17:117–39."
47,"Napier JR. Prehensility and opposability in the hands of primates. Symp Zool Soc Lond 1961;5:115–32."
48,"Novacek MJ. Reflections on higher mammal phylogenetics. J Mamm Evol 1993;1:3–30."
49,"Nudo RJ, Masterton RB. Descending pathways to the spinal cord, IV: some factors related to the amount of cortex devoted to the corticospinal tract. J Comp Neurol 1990;296:584–97."
50,"Nudo RJ, Masterton RB. Descending pathways to the spinal cord, II: quantitative study of the tectospinal tract in 23 mammals. J Comp Neurol 1989;286:96–119."
51,"Nyberg-Hansen R, Brodal A. Sites of termination of corticospinal fibers in the cat. An experimental study with silver impregnation methods. J Comp Neurol 1963;120:369–92."
52,"Petras JM. Some efferent connections of the motor and somatosensory cortex of simian primates and felid, canid, and procyonid carnivores. Ann New York Acad Sci 1969;167:469– 505."
53,"Petras JM. Corticospinal fibers in New World and Old World simians. Brain Res 1968;8:206–8."
54,"Petras JM, Lehman RAW. Corticospinal fibers in the raccoon. Brain Res 1966;3:195–7."
55,"Porter R, Lemon R. Corticospinal Function and Voluntary Movement. Oxford: Clarendon Press, 1993."
56,"Purvis A. A comparative estimate of primate phylogeny. Phil Trans Roy Soc Lond Ser B (Biol Sci) 1995;348:405–21."
57,"Purvis A, Gittleman JL, Luh H-K. Truth or consequences: effects of phylogenetic accuracy on two comparative methods. J Theor Biol 1994;167:293–300."
58,"Purvis A, Rambaut A. Comparative analysis by independent contrasts (CAIC): an Apple Macintosh application for analysing comparative data. Comp Appl Biosci 1995;11:247–51."
59,"Ricklefs RE, Starck JM. Applications of phylogenetically independent contrasts: a mixed progress report. Oikos 1996;77:167– 72."
60,"Shriver J, Matzke HA. Corticobulbar and corticospinal tracts in the marmoset monkey (Oedipomidas oedipus). Anat Rec 1965;151:416."
61,"Shriver J, Noback CR. Cortical projections to the lower brain stem and spinal cord in the tree shrew (Tupaia glis). J Comp Neurol 1967;130:25–54."
62,"Simpson S. The motor cortex and pyramidal tract in the raccoon (Procyon lotor, Linn). Proc Soc Exp Biol Med 1912;10:46–7."
63,"Springer MS, Kirsch JAW. DNA hybridization, the compression effect, and the radiation of diprotodont marsupials. Syst Zool 1991;40:131–51."
64,"Verhaart WJC. Comparative Anatomical Aspects of the Mammalian Brain Stem and the Cord. Assen: Van Gorcum, 1970."
65,"Watson CRR. The corticospinal tract of the quokka wallaby. J Anat 1971;109:127–33."
66,"Whishaw IQ, Coles BLK. Varieties of paw and digit movement during spontaneous food handling in rats: posture, bimanual coordination, preferences, and the effect of forelimb cortex lesions. Behav Brain Res 1996;77:135–48."
67,"Whishaw IQ, Gorny B. Arpeggio and fractionated digit movements used in prehension by rats. Behav Brain Res 1994;60:15– 24."
68,"Whishaw IQ, Pellis SM, Gorny B, Kolb B, Tetzlaff W. Proximal and distal impairments in rat forelimb use in reaching follow unilateral pyramidal tract lesions. Behav Brain Res 1993;56:59– 76."
69,"Whishaw IQ, Sarna JR, Pellis SM. Rodent-typical and speciesspecific limb use in eating: evidence for specialized paw use from a comparative analysis of ten species. Behav Brain Res 1998;96:79–91."
