"species_sci","Species","Order","Family","Captive_or_wild","Arboreal_terrestrial","Body_Mass.g","Intermembral_index","Locomotor_diversity_index","Citation"
"Callimico goeldii","Callimico goeldii","Primates","Callitrichidae","W","A",483.5,69,1.56568356541191,"(Garber & Leigh, 2001)"
"Callimico goeldii","Callimico goeldii","Primates","Callitrichidae","C","A",483.5,69,1.23783848230913,"(Rosenberger & Stafford, 1994)"
"Callithrix pygmaea","Cebuella pygmaea","Primates","Callitrichidae","W","A",483.5,69,1.32325697190067,"(Youlatos, 1999b)"
"Callithrix pygmaea","Cebuella pygmaea","Primates","Callitrichidae","W","A",483.5,69,1.22865832658758,"(Jackson, 2011)"
"Leontopithecus rosalia","Leontopithecus rosalia","Primates","Callitrichidae","C","A",609,89,1.64214160038655,"(Rosenberger & Stafford, 1994)"
"Saguinus fuscicollis","Saguinus fuscicollis","Primates","Callitrichidae","W","A",350.5,79,1.11825939911062,"(Garber, 1991)"
"Saguinus fuscicollis","Saguinus fuscicollis","Primates","Callitrichidae","W","A",350.5,79,1.68794192463035,"(Garber & Leigh, 2001)"
"Saguinus geoffroyi","Saguinus geoffroyi","Primates","Callitrichidae","W","A",492,76,1.1706981366311,"(Garber, 1991)"
"Saguinus labiatus","Saguinus labiatus","Primates","Callitrichidae","W","A",514.5,73,1.63379907179792,"(Garber & Leigh, 2001)"
"Saguinus midas","Saguinus midas","Primates","Callitrichidae","W","A",545,77,1.38602395226123,"(Fleagle & Mittermeier, 1980)"
"Saguinus mystax","Saguinus mystax","Primates","Callitrichidae","W","A",524.5,74,1.11906615148242,"(Garber, 1991)"
"Saguinus mystax","Saguinus mystax","Primates","Callitrichidae","W","A",524.5,74,1.45292642084593,"(Garber & Pruetz, 1995)"
"Saguinus mystax","Saguinus mystax","Primates","Callitrichidae","W","A",524.5,74,0.603777419267949,"(Garber & Pruetz, 1995)"
"Callicebus brunneus","Callicebus brunneus","Primates","Pitheciidae","W","A",829.5,79,0.995418299079807,"(Lawler et al., 2006)"
"Callicebus torquatus","Callicebus torquatus","Primates","Pitheciidae","W","A",1245,79,1.29137383119401,"(Lawler et al., 2006)"
"Cacajao calvus","Cacajao calvus","Primates","Pitheciidae","W","A",3165,83,1.86810866495463,"(Walker & Ayres, 1996)"
"Chiropotes satanus","Chiropotes satanus","Primates","Pitheciidae","W","A",NA,NA,0.565419018216477,"(Fleagle & Mittermeier, 1980)"
"Pithecia pithecia","Pithecia pithecia","Primates","Pitheciidae","W","A",1760,75,0.746032664714785,"(Fleagle & Meldrum, 1988)"
"Pithecia pithecia","Pithecia pithecia","Primates","Pitheciidae","W","A",1760,75,0.687435750503355,"(Fleagle & Mittermeier, 1980)"
"Sapajus apella","Sapajus apella","Primates","Cebidae","W","A",3085,81,1.83687468245124,"(Youlatos, 1998a)"
"Sapajus apella","Sapajus apella","Primates","Cebidae","W","A",3085,81,1.72195921899077,"(Wright, 2007)"
"Sapajus apella","Sapajus apella","Primates","Cebidae","W","A",3085,81,0.572553670038598,"(Fleagle & Mittermeier, 1980)"
"Cebus capucinus","Cebus capucinus","Primates","Cebidae","W","A",3110,81,1.17177927393802,"(Gebo, 1992)"
"Cebus capucinus","Cebus capucinus","Primates","Cebidae","W","A",3110,81,1.02033299817418,"(Johnson & Shapiro, 1998)"
"Cebus capucinus","Cebus capucinus","Primates","Cebidae","W","A",3110,81,0.996761565305023,"(Bezanson, 2009)"
"Cebus capucinus","Cebus capucinus","Primates","Cebidae","W","A",3110,81,0.856631621709061,"(Bezanson, 2006)"
"Cebus olivaceus","Cebus olivaceus","Primates","Cebidae","W","A",2950,83,1.7365976046442,"(Youlatos, 1998a)"
