"file","identifier","id_type","table_label","url","readme","n_rows","n_cols","columns","citation","citation_short","first_author","year"
"10.1016%2Fj.jhevol.2017.09.003_Table1.tsv","10.1016/j.jhevol.2017.09.003","DOI","Table1","https://doi.org/10.1016/j.jhevol.2017.09.003","",49,12,"Species; Taxonomic_group; nTFA; nPA; DTFA_mm2; DPA_mm2; ACA_mm2; ECV_ml; BM_g; BMR_kcal_day; Source; Stephan1981_note","Boyer, D. M., & Harrington, A. R. (2018). Scaling of bony canals for encephalic vessels in euarchontans: Implications for the role of the vertebral artery and brain metabolism. J Hum Evol, 114, 85-101. https://doi.org/10.1016/j.jhevol.2017.09.003","Boyer et al. (2018)","Boyer","2018"
"10.1016%2Fj.jhevol.2018.10.002_SOMTableS6.tsv","10.1016/j.jhevol.2018.10.002","DOI","SOMTableS6","https://doi.org/10.1016/j.jhevol.2018.10.002","",53,10,"Species; ECV_ml; BM_g; RICA_mm; RVA_mm; tau_ICA; tau_VA; QICA_ml_s; QVA_ml_s; QTOT_ml_s","Boyer, D. M., & Harrington, A. R. (2019). New estimates of blood flow rates in the vertebral artery of euarchontans and their implications for encephalic blood flow scaling: A response to Seymour and Snelling (2018). J Hum Evol, 128, 93-98. https://doi.org/10.1016/j.jhevol.2018.10.002","Boyer et al. (2019)","Boyer","2019"
"10.1016%2Fj.tins.2013.01.006_Table1.tsv","10.1016/j.tins.2013.01.006","DOI","Table1","https://doi.org/10.1016/j.tins.2013.01.006","",54,9,"species_sci; Species; Common_name; Order; Family; Brain_size; GI; Ref; GI_method","Zilles, K., Palomero-Gallagher, N., & Amunts, K. (2013). Development of cortical folding during evolution and ontogeny. Trends Neurosci, 36(5), 275-284. https://doi.org/10.1016/j.tins.2013.01.006","Zilles et al. (2013)","Zilles","2013"
"10.1016%2Fj.zool.2020.125753_SupplementaryTable.tsv","10.1016/j.zool.2020.125753","DOI","SupplementaryTable","https://doi.org/10.1016/j.zool.2020.125753","",150,17,"group; species; common_name; brain_volume_mm3; total_cb_volume_mm3; vermis_excl_cb10_mm3; hemisphere_excl_fl_mm3; flocculo_nodular_cb_cx_mm3; ratio_hemisph_vermis; total_cb_cx_volume_mm3; cb_white_matter_mm3; pn_rttg_volume_mm3; deep_cb_nu_volume_mm3; cb_ext_surface_esa_mm2; cb_pial_surface_psa_mm2; foliation_index; source","Ashwell, K. W. S. (2020). Quantitative analysis of cerebellar morphology in monotreme, metatherian and eutherian mammals. Zoology (Jena), 139, 125753. https://doi.org/10.1016/j.zool.2020.125753","Ashwell et al. (2020)","Ashwell","2020"
"10.1016%2Fs0047-2484(03)00028-9_Table1.tsv","10.1016/s0047-2484(03)00028-9","DOI","Table1","https://doi.org/10.1016/s0047-2484(03)00028-9","",47,12,"species; specimen; sex; sample; brain_volume_cm3; cerebellum_volume_cm3; vermis_volume_cm3; hemisphere_volume_cm3; stephan_collection; section_plane; brainweight_known; source","MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K., & Gibson, K. R. (2003). Expansion of the neocerebellum in Hominoidea. J Hum Evol, 44(4), 401-429. https://doi.org/10.1016/s0047-2484(03)00028-9","MacLeod et al. (2003)","MacLeod","2003"
"10.1016%2Fs0047-2484(03)00028-9_Table2.tsv","10.1016/s0047-2484(03)00028-9","DOI","Table2","https://doi.org/10.1016/s0047-2484(03)00028-9","",50,12,"species; specimen; sex; sample; brain_volume_cm3; cerebellum_volume_cm3; vermis_volume_cm3; hemisphere_volume_cm3; stephan_collection; section_plane; brainweight_known; source","MacLeod, C. E., Zilles, K., Schleicher, A., Rilling, J. K., & Gibson, K. R. (2003). Expansion of the neocerebellum in Hominoidea. J Hum Evol, 44(4), 401-429. https://doi.org/10.1016/s0047-2484(03)00028-9","MacLeod et al. (2003)","MacLeod","2003"
"10.1016%2Fs0166-4328(98)00151-x_Table1.tsv","10.1016/s0166-4328(98)00151-x","DOI","Table1","https://doi.org/10.1016/s0166-4328(98)00151-x","",25,10,"Species; Species Generic Name; Depth; Depth_Ref; Length; Length_Ref; Dexterity; Arboreality; Diet; Hand–eye","Iwaniuk, A. N., Pellis, S. M., & Whishaw, I. Q. (1999). Is digital dexterity really related to corticospinal projections?: a re-analysis of the Heffner and Masterton data set using modern comparative statistics. Behav Brain Res, 101(2), 173-187. https://doi.org/10.1016/s0166-4328(98)00151-x","Iwaniuk et al. (1999)","Iwaniuk","1999"
"10.1017%2Fs0952523800000213_Table1.tsv","10.1017/s0952523800000213","DOI","Table1","https://doi.org/10.1017/s0952523800000213","",20,14,"Species; common_name; case_number; pct_17; pct_18; pct_DL; pct_DM; pct_DI; pct_FST; pct_MT; pct_MST; pct_total_8fields; measure; source","Krubitzer, L. A., & Kaas, J. H. (1990). Cortical connections of MT in four species of primates: areal, modular, and retinotopic patterns. Vis Neurosci, 5(2), 165-204. https://doi.org/10.1017/s0952523800000213","Krubitzer et al. (1990)","Krubitzer","1990"
"10.1037%2F0735-7036.115.1.29_Table1.tsv","10.1037/0735-7036.115.1.29","DOI","Table1","https://doi.org/10.1037/0735-7036.115.1.29","",15,3,"Order; Play; EQ","Iwaniuk, A. N., Nelson, J. E., & Pellis, S. M. (2001). Do big-brained animals play more? Comparative analyses of play and relative brain size in mammals. J Comp Psychol, 115(1), 29-41. https://doi.org/10.1037/0735-7036.115.1.29","Iwaniuk et al. (2001)","Iwaniuk","2001"
"10.1037%2F0735-7036.115.1.29_Table2.tsv","10.1037/0735-7036.115.1.29","DOI","Table2","https://doi.org/10.1037/0735-7036.115.1.29","",23,7,"Species; Play scores_Complexity index; Play scores_Wrestling; Play scores_Play fighting; Play scores_Locomotor play; Play scores_Total play; Brain Size","Iwaniuk, A. N., Nelson, J. E., & Pellis, S. M. (2001). Do big-brained animals play more? Comparative analyses of play and relative brain size in mammals. J Comp Psychol, 115(1), 29-41. https://doi.org/10.1037/0735-7036.115.1.29","Iwaniuk et al. (2001)","Iwaniuk","2001"
