"Species","Variable","Value","Source"
"Myocastor coypus","Largest fiber diameter µm","8","GOLDBY and KACKER, 1963"
"Myocastor coypus","Area of tract mmˆ2","0.37","Heffner & Masterton 1975 (dexterity)"
"Myocastor coypus","Penetration down spinal cord","S","GOLDBY and KACKER, 1963"
"Myocastor coypus","Lamina of axon terminals deepest","6","GOLDBY and KACKER, 1963"
"Canis latrans","Species_as_printed","Canis familiaris","Heffner & Masterton 1975 (dexterity)"
"Canis latrans","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Canis latrans","Digital dexterity","2","Heffner & Masterton 1975 (dexterity)"
"Canis latrans","Body weight kg","11","Heffner & Masterton 1975 (dexterity)"
"Canis latrans","Number of fibers per tract","285500","LASSEK and RASMUSSEN, 1940"
"Canis latrans","Average fiber size x 10ˆ5 K","1.22","Heffner & Masterton 1975 (dexterity)"
"Canis latrans","Area of tract mmˆ2","3.49","Heffner & Masterton 1975 (dexterity)"
"Canis latrans","Penetration down spinal cord","L5","BUXTON and GOODMAN, 1967"
"Canis latrans","Lamina of axon terminals deepest","8","BUXTON and GOODMAN, 1967"
"Elephas maximus","Species_as_printed","Elephus maximus","Heffner & Masterton 1975 (dexterity)"
"Elephas maximus","species_basis","spelling_correction","Heffner & Masterton 1975 (dexterity)"
"Elephas maximus","Digital dexterity","1","Heffner & Masterton 1975 (dexterity)"
"Elephas maximus","Body weight kg","6000","Heffner & Masterton 1975 (dexterity)"
"Elephas maximus","Largest fiber diameter µm","8","VERHAART, 1963"
"Elephas maximus","Area of tract mmˆ2","5.13","Heffner & Masterton 1975 (dexterity)"
"Elephas maximus","Penetration down spinal cord","Middle T","VERHAART, 1963"
"Mustela putorius furo","Species_as_printed","Putorius furo","Heffner & Masterton 1975 (dexterity)"
"Mustela putorius furo","species_basis","as_printed","Heffner & Masterton 1975 (dexterity)"
"Mustela putorius furo","Digital dexterity","3","Heffner & Masterton 1975 (dexterity)"
"Mustela putorius furo","Body weight kg","0.9","Heffner & Masterton 1975 (dexterity)"
