Species,Variable,Value,Teams,n_teams
Alouatta seniculus,Tuberculum_olfactorium_Vol.mm3,93.6,Stephan_collection,1
Alouatta seniculus,Ventral_pons_Vol.mm3,394.3,Stephan_collection,1
Alouatta seniculus,Ventricles_Vol.mm3,616,Stephan_collection,1
Antechinomys laniger,CerebellarCortex_Vol.mm3,39.5,Ashwell,1
Antechinomys laniger,CerebellarHemisphere_Vol.mm3,5.44,Ashwell,1
Antechinomys laniger,CerebellarVermis_Vol.mm3,31.6,Ashwell,1
Antechinomys laniger,Cerebellar_nuclei_total_Vol.mm3,1.31,Ashwell,1
Antechinomys laniger,Cerebellum_Vol.mm3,47.5,Ashwell,1
Antechinomys laniger,Cerebellum_white_matter_Vol.mm3,6.7,Ashwell,1
Antechinomys laniger,FlocculonodularLobe_Vol.mm3,2.44,Ashwell,1
Antechinomys laniger,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.7,Ashwell,1
Antechinomys laniger,Total_brain_net_volume_Vol.mm3,509,Ashwell,1
Antechinus flavipes,CerebellarCortex_Vol.mm3,59.3,Ashwell,1
Antechinus flavipes,CerebellarHemisphere_Vol.mm3,24.5,Ashwell,1
Antechinus flavipes,CerebellarVermis_Vol.mm3,30.8,Ashwell,1
Antechinus flavipes,Cerebellar_nuclei_total_Vol.mm3,1.78,Ashwell,1
Antechinus flavipes,Cerebellum_Vol.mm3,68.5,Ashwell,1
Antechinus flavipes,Cerebellum_white_matter_Vol.mm3,7.36,Ashwell,1
Antechinus flavipes,FlocculonodularLobe_Vol.mm3,4.06,Ashwell,1
Antechinus flavipes,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.83,Ashwell,1
Antechinus flavipes,Total_brain_net_volume_Vol.mm3,577,Ashwell,1
Antechinus minimus,CerebellarCortex_Vol.mm3,57.6,Ashwell,1
Antechinus minimus,CerebellarHemisphere_Vol.mm3,12.8,Ashwell,1
Antechinus minimus,CerebellarVermis_Vol.mm3,40.8,Ashwell,1
Antechinus minimus,Cerebellar_nuclei_total_Vol.mm3,2.19,Ashwell,1
Antechinus minimus,Cerebellum_Vol.mm3,69.1,Ashwell,1
Antechinus minimus,Cerebellum_white_matter_Vol.mm3,9.34,Ashwell,1
Antechinus minimus,FlocculonodularLobe_Vol.mm3,3.97,Ashwell,1
Antechinus minimus,Pontine_and_reticulotegmental_nuclei_Vol.mm3,2.91,Ashwell,1
Antechinus minimus,Total_brain_net_volume_Vol.mm3,751,Ashwell,1
Antechinus swainsonii,CerebellarCortex_Vol.mm3,44.7,Ashwell,1
Antechinus swainsonii,CerebellarHemisphere_Vol.mm3,20.5,Ashwell,1
Antechinus swainsonii,CerebellarVermis_Vol.mm3,20.2,Ashwell,1
Antechinus swainsonii,Cerebellar_nuclei_total_Vol.mm3,1.47,Ashwell,1
Antechinus swainsonii,Cerebellum_Vol.mm3,54.4,Ashwell,1
Antechinus swainsonii,Cerebellum_white_matter_Vol.mm3,8.26,Ashwell,1
Antechinus swainsonii,FlocculonodularLobe_Vol.mm3,4.01,Ashwell,1
Antechinus swainsonii,Pontine_and_reticulotegmental_nuclei_Vol.mm3,1.62,Ashwell,1
Antechinus swainsonii,Total_brain_net_volume_Vol.mm3,525,Ashwell,1
Aotus trivirgatus,AccessoryOlfactoryBulb_Vol.mm3,0.222,Stephan_collection,1
Aotus trivirgatus,AccessoryOlfactoryBulb_layer_6_Vol.mm3,0.01,Stephan_collection,1
Aotus trivirgatus,AccessoryOlfactoryBulb_layers_1_2_Vol.mm3,0.086,Stephan_collection,1
Aotus trivirgatus,AccessoryOlfactoryBulb_layers_3_5_Vol.mm3,0.126,Stephan_collection,1
Aotus trivirgatus,Amygdala_Vol.mm3,193.6,Stephan_collection,1
Aotus trivirgatus,Area_striata_Vol.mm3,1203,Stephan_collection,1
Aotus trivirgatus,Area_striata_grey_matter_Vol.mm3,813,Bush; Stephan_collection,2
Aotus trivirgatus,Area_striata_lamina_1_Vol.mm3,113,Stephan_collection,1
Aotus trivirgatus,Area_striata_laminae_2_6_Vol.mm3,883,Stephan_collection,1
Aotus trivirgatus,Area_striata_white_matter_Vol.mm3,207,Stephan_collection,1
Aotus trivirgatus,Body_Mass.g,830,Stephan_collection,1
Aotus trivirgatus,Brain_Mass.mg,17100,Stephan_collection,1
Aotus trivirgatus,Bulbus_olfactorius_Vol.mm3,56,Stephan_collection,1
Aotus trivirgatus,Bulbus_olfactorius_accessorius_Vol.mm3,0.222,Stephan_collection,1
Aotus trivirgatus,CA1_Vol.mm3,150.16,Stephan_collection,1
Aotus trivirgatus,CA2_Vol.mm3,20.83,Stephan_collection,1
Aotus trivirgatus,CA3_Vol.mm3,97.14,Stephan_collection,1
Aotus trivirgatus,CerebellarCortex_Vol.mm3,878,Ashwell,1
Aotus trivirgatus,CerebellarHemisphere_Vol.mm3,690.5,Ashwell; Zilles,2
Aotus trivirgatus,CerebellarVermis_Vol.mm3,656.5,Ashwell; Zilles,2
Aotus trivirgatus,Cerebellar_nuclei_total_Vol.mm3,42.175,Ashwell; Stephan_collection,2
Aotus trivirgatus,Cerebellum_Vol.mm3,1560.3333333333333,Ashwell; Stephan_collection; Zilles,3
Aotus trivirgatus,Cerebellum_grey_matter_Vol.mm3,753,Bush,1
Aotus trivirgatus,Cerebellum_white_matter_Vol.mm3,156,Ashwell; Bush,2
Aotus trivirgatus,Commissura_anterior_Vol.mm3,26.3,Stephan_collection,1
Aotus trivirgatus,Complexus_centromedialis_Vol.mm3,56.6,Stephan_collection,1
