Species,measure_class,Measure,Units,Value,Value_median,n_sources,n_teams,n_teams_primary,primary_used,Teams,roles,value_min,value_max
Ateles fusciceps,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Ateles geoffroyi,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Ateles geoffroyi,gait,Duty_Factor,percent,60.68357468,60.68357468,1,1,1,True,Wimberly,primary,60.68357468,60.68357468
Ateles geoffroyi,manipulation,Extractive_foraging,category,0,,1,1,1,True,Heldstab,primary,,
Ateles geoffroyi,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Ateles geoffroyi,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Ateles geoffroyi,handedness,Handedness_index_mean,HI,0.061,0.061,1,1,1,True,Caspar,primary,0.061,0.061
Ateles geoffroyi,handedness,Handedness_strength_mean,abs(HI),0.829,0.829,1,1,1,True,Caspar,primary,0.829,0.829
Ateles geoffroyi,locomotion,Intermembral_index,ratio,105,105,1,1,1,True,Granatosky,primary,105,105
Ateles geoffroyi,locomotion,Locomotor_diversity_index,index,1.29373888903011,1.29373888903011,1,1,1,True,Granatosky,primary,1.29373888903011,1.29373888903011
Ateles geoffroyi,manipulation,Manipulation_complexity,score,2.48,2.48,1,1,1,True,Heldstab,primary,2.48,2.48
Ateles geoffroyi,gait,Phase,percent,71.8768163,71.8768163,1,1,1,True,Wimberly,primary,71.8768163,71.8768163
Ateles geoffroyi,manipulation,Tool_use,category,0,,1,1,1,True,Heldstab,primary,,
Ateles hybridus,handedness,Handedness_index_mean,HI,-0.377,-0.377,1,1,1,True,Caspar,primary,-0.377,-0.377
Ateles hybridus,handedness,Handedness_strength_mean,abs(HI),0.917,0.917,1,1,1,True,Caspar,primary,0.917,0.917
Ateles paniscus,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Ateles paniscus,gait,Duty_Factor,percent,60.59999272,60.59999272,1,1,1,True,Wimberly,primary,60.59999272,60.59999272
Ateles paniscus,gait,Foot_Posture,category,plantigrade,,1,1,1,True,Wimberly,primary,,
Ateles paniscus,gait,Gait,category,DSDC,,1,1,1,True,Wimberly,primary,,
Ateles paniscus,locomotion,Intermembral_index,ratio,105,105,1,1,1,True,Granatosky,primary,105,105
Ateles paniscus,locomotion,Locomotor_diversity_index,index,1.76983447403569,1.76983447403569,1,1,1,True,Granatosky,primary,1.76983447403569,1.76983447403569
Ateles paniscus,gait,Phase,percent,63.99376761,63.99376761,1,1,1,True,Wimberly,primary,63.99376761,63.99376761
Avahi occidentalis,locomotion,Arboreal_terrestrial,category,A,,1,1,1,True,Granatosky,primary,,
Avahi occidentalis,locomotion,Locomotor_diversity_index,index,1.14885486473691,1.14885486473691,1,1,1,True,Granatosky,primary,1.14885486473691,1.14885486473691
Bison bison,gait,Duty_Factor,percent,71,71,1,1,1,True,Wimberly,primary,71,71
Bison bison,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Bison bison,gait,Gait,category,LSLC,,1,1,1,True,Wimberly,primary,,
Bison bison,gait,Phase,percent,16,16,1,1,1,True,Wimberly,primary,16,16
Bos taurus,gait,Duty_Factor,percent,69,69,1,1,1,True,Wimberly,primary,69,69
Bos taurus,gait,Foot_Posture,category,unguligrade,,1,1,1,True,Wimberly,primary,,
Bos taurus,gait,Gait,category,LSDC,,1,1,1,True,Wimberly,primary,,
Bos taurus,gait,Phase,percent,29,29,1,1,1,True,Wimberly,primary,29,29
