"registry_key","Citation (APA 7th-Annotated)","sequence","DOI if different from article or doi Alt","Item number","1st Author","other author(s)","year","Publication name","DOI (or Alt)","Item name","Item encoded","Public TSV match from AUTO_Public_TSV_FileList (generated by _tools/file_list.R; do not edit manually)","Item full original title","Source format","N.B.","Progress stage","Snapshot name if unchanged","Source URL link","Flags pre-addressed","Flags possible","Flags active (skips)","Topic","Taxon","Main Trait(s)","Other Trait(s)","Material type (e.g. histological, MRI)","Method","Measure type","Team","Collection","Data role (primary/secondary/both)","Source (if secondary)","recommendation"
"Armstrong__1979_Tables1-9","Armstrong, E. (1979). Quantitative comparison of the hominoid thalamus. I. Specific sensory relay nuclei. Am J Phys Anthropol, 51(3), 365-382. https://doi.org/10.1002/ajpa.1330510308","","","Tables 1-9","Armstrong","","1979","Armstrong__1979","10.1002%2Fajpa.1330510308","Armstrong__1979_Tables1-9","10.1002%2Fajpa.1330510308_Tables1-9","10.1002%2Fajpa.1330510308_Tables1-9.tsv","Tables 1-9. Hominoid thalamic sensory-relay nucleus volumes, neuronal densities and numbers, and neuronal-volume distributions","tables","Primary mixed-datatype series. Table 1 provides LGB, MGBp and VB volumes plus percent of dorsal thalamus; Tables 2-4 density; Table 5 LGB subcomponent volumes; Table 6 neuron counts; Tables 7-9 neuronal perikaryal-volume distributions. Split during build.","FINISHED","","https://doi.org/10.1002/ajpa.1330510308","","mixed datatypes; specimen abbreviations require a specimen crosswalk; some literature-comparison rows are secondary","","thalamic sensory relay nuclei","Hominoids","regional volumes; neuronal density and number; neuronal size","LGB/LGBd; MGB parvocellular; ventrobasal complex; dorsal thalamus proportion; neuronal density; neuron number; neuronal perikaryal volume","","histological volumetry; neuronal density/count estimation; neuronal perikaryal morphometry","volume + cell density/count + neuronal perikaryal volume","Armstrong","","both","","Keep specimen-level records and separate regional volume, cell density/count, and cell-size outputs."
"Ashwell__2020_SupplementaryTable","Ashwell, K. W. S. (2020). Quantitative analysis of cerebellar morphology in monotreme, metatherian and eutherian mammals. Zoology (Jena), 139, 125753. https://doi.org/10.1016/j.zool.2020.125753","","","Supplementary Table","Ashwell","","2020","Ashwell__2020","10.1016%2Fj.zool.2020.125753","Ashwell__2020_SupplementaryTable","10.1016%2Fj.zool.2020.125753_SupplementaryTable","10.1016%2Fj.zool.2020.125753_SupplementaryTable.tsv","Supplementary Table.  Cerebellar Morphology Data","","","FINISHED","","","","","","","","","","","","","Ashwell","","","",""
"AvelinodeSouza_etal_2025_TABLE1","Avelino-de-Souza, K., Patzke, N., Karlsson, K. A. E., Manger, P. R., & Herculano-Houzel, S. (2025). Cellular Composition of the Brain of a Northern Minke Whale. J Comp Neurol, 533(9), e70089. https://doi.org/10.1002/cne.70089","","","TABLE 1","AvelinodeSouza","etal","2025","AvelinodeSouza_etal_2025","10.1002%2Fcne.70089","AvelinodeSouza_etal_2025_TABLE1","10.1002%2Fcne.70089_TABLE1","10.1002%2Fcne.70089_TABLE1.tsv","Table 1. Cellular composition of the brain of a Northern minke whale (Balaenoptera acutorostrata)","table","","FINISHED","","https://doi.org/10.1002/cne.70089","","","","","Cetaceans & others","neuron number","","","isotropic fractionator","cell count","HH","","primary","",""
"Baker_etal_2025_SupplementaryData1","Baker, J., Barton, R. A., & Venditti, C. (2025). Human dexterity and brains evolved hand in hand. Communications Biology, 8(1). https://doi.org/10.1038/s42003-025-08686-5","","","Supplementary Data 1","Baker","etal","2025","Baker_etal_2025","10.1038%2Fs42003-025-08686-5","Baker_etal_2025_SupplementaryData1","10.1038%2Fs42003-025-08686-5_SupplementaryData1","10.1038%2Fs42003-025-08686-5_SupplementaryData1.tsv","","","","FINISHED","","","","","","","","","","","","","","","","",""
"Balzeau_etal_2012_Table2","Balzeau, A., Holloway, R. L., & Grimaud-Hervé, D. (2012). Variations and asymmetries in regional brain surface in the genus Homo. J Hum Evol, 62(6), 696-706. https://doi.org/10.1016/j.jhevol.2012.03.007","","","Table 2","Balzeau","etal","2012","Balzeau_etal_2012","10.1016%2Fj.jhevol.2012.03.007","Balzeau_etal_2012_Table2","10.1016%2Fj.jhevol.2012.03.007_Table2","10.1016%2Fj.jhevol.2012.03.007_Table2.tsv","Table 2. Regression results for the relationship between endocranial volume and the surface of the frontal, parieto-temporal and occipital lobes.","","","FINISHED","","","","","","","","","","","","","","","","",""
"Balzeau_etal_2012_Table3","Balzeau, A., Holloway, R. L., & Grimaud-Hervé, D. (2012). Variations and asymmetries in regional brain surface in the genus Homo. J Hum Evol, 62(6), 696-706. https://doi.org/10.1016/j.jhevol.2012.03.007","","","Table 3","Balzeau","etal","2012","Balzeau_etal_2012","10.1016%2Fj.jhevol.2012.03.007","Balzeau_etal_2012_Table3","10.1016%2Fj.jhevol.2012.03.007_Table3","10.1016%2Fj.jhevol.2012.03.007_Table3.tsv","Table 3 Size-corrected dimensions for the surface of the frontal, parieto-temporal and occipital lobes in the different analysed samples.","","","FINISHED","","","","","","","","","","","","","","","","",""
"Balzeau_etal_2012_Table5","Balzeau, A., Holloway, R. L., & Grimaud-Hervé, D. (2012). Variations and asymmetries in regional brain surface in the genus Homo. J Hum Evol, 62(6), 696-706. https://doi.org/10.1016/j.jhevol.2012.03.007","","","Table 5","Balzeau","etal","2012","Balzeau_etal_2012","10.1016%2Fj.jhevol.2012.03.007","Balzeau_etal_2012_Table5","10.1016%2Fj.jhevol.2012.03.007_Table5","10.1016%2Fj.jhevol.2012.03.007_Table5.tsv","Table 5 Percentage contribution of frontal, parieto-temporal and occipital lobes to the hemispheres.","","","FINISHED","","","","","","","","","","","","","","","","",""
"BarbeitoAndrés_etal_2019_celldensity","Barbeito-Andrés, J., Castro-Fonseca, E., Qiu, L. R., Bernal, V., Lent, R., Henkelman, M., Lukowiak, K., Gleiser, P. M., Hallgrímsson, B., & González, P. N. (2019). Region-specific changes in Mus musculus brain size and cell composition under chronic nutrient restriction. J Exp Biol, 222(Pt 17). https://doi.org/10.1242/jeb.204651","","","cell density","BarbeitoAndrés","etal","2019","BarbeitoAndrés_etal_2019","10.1242%2Fjeb.204651","BarbeitoAndrés_etal_2019_celldensity","10.1242%2Fjeb.204651_celldensity","10.1242%2Fjeb.204651_celldensity.tsv","","","","FINISHED","","","","","","","","","","","isotropic fractionator","cell count","","","","",""
"BarbeitoAndrés_etal_2019_cellnumber","Barbeito-Andrés, J., Castro-Fonseca, E., Qiu, L. R., Bernal, V., Lent, R., Henkelman, M., Lukowiak, K., Gleiser, P. M., Hallgrímsson, B., & González, P. N. (2019). Region-specific changes in Mus musculus brain size and cell composition under chronic nutrient restriction. J Exp Biol, 222(Pt 17). https://doi.org/10.1242/jeb.204651","","","cell number","BarbeitoAndrés","etal","2019","BarbeitoAndrés_etal_2019","10.1242%2Fjeb.204651","BarbeitoAndrés_etal_2019_cellnumber","10.1242%2Fjeb.204651_cellnumber","10.1242%2Fjeb.204651_cellnumber.tsv","","","","FINISHED","","","","","","","","","","","isotropic fractionator","cell count","","","","",""
"BarbeitoAndrés_etal_2019_volumes","Barbeito-Andrés, J., Castro-Fonseca, E., Qiu, L. R., Bernal, V., Lent, R., Henkelman, M., Lukowiak, K., Gleiser, P. M., Hallgrímsson, B., & González, P. N. (2019). Region-specific changes in Mus musculus brain size and cell composition under chronic nutrient restriction. J Exp Biol, 222(Pt 17). https://doi.org/10.1242/jeb.204651","","","volumes","BarbeitoAndrés","etal","2019","BarbeitoAndrés_etal_2019","10.1242%2Fjeb.204651","BarbeitoAndrés_etal_2019_volumes","10.1242%2Fjeb.204651_volumes","10.1242%2Fjeb.204651_volumes.tsv","","","","FINISHED","","","","","","","","","","","isotropic fractionator","cell count","","","","",""
"Barger_etal_2007_TABLE1","Barger, N., Stefanacci, L., & Semendeferi, K. (2007). A comparative volumetric analysis of the amygdaloid complex and basolateral division in the human and ape brain. Am J Phys Anthropol, 134(3), 392-403. https://doi.org/10.1002/ajpa.20684","","","TABLE 1","Barger","etal","2007","Barger_etal_2007","10.1002%2Fajpa.20684","Barger_etal_2007_TABLE1","10.1002%2Fajpa.20684_TABLE1","10.1002%2Fajpa.20684_TABLE1.tsv","TABLE 1. Volumetric estimates of the amygdaloid complex and the basolateral division","","","FINISHED","","","","","","","Apes & humans","amygdala subdivision volumes","","","","volume","Zilles","Zilles","primary","",""
"Barger_etal_2012_Table3","Barger, N., Stefanacci, L., Schumann, C. M., Sherwood, C. C., Annese, J., Allman, J. M., Buckwalter, J. A., Hof, P. R., & Semendeferi, K. (2012). Neuronal populations in the basolateral nuclei of the amygdala are differentially increased in humans compared with apes: A stereological study. J Comp Neurol, 520(13), 3035-3054. https://doi.org/10.1002/cne.23118","","","Table 3","Barger","etal","2012","Barger_etal_2012","10.1002%2Fcne.23118","Barger_etal_2012_Table3","10.1002%2Fcne.23118_Table3","10.1002%2Fcne.23118_Table3.tsv","Table 3. Average Neuron Number x10^6 (SD) for each nucleus in each species","","","FINISHED","","","","","","","Primates","amygdala neuron numbers (basolateral + central nuclei)","","","","neuron count (stereology)","","","primary","",""
"Barger_etal_2014_Table1","Barger, N., Hanson, K. L., Teffer, K., Schenker-Ahmed, N. M., & Semendeferi, K. (2014). Evidence for evolutionary specialization in human limbic structures. Front Hum Neurosci, 8, 277. https://doi.org/10.3389/fnhum.2014.00277","","","Table 1","Barger","etal","2014","Barger_etal_2014","10.3389%2Ffnhum.2014.00277","Barger_etal_2014_Table1","10.3389%2Ffnhum.2014.00277_Table1","10.3389%2Ffnhum.2014.00277_Table1.tsv","Table 1 | Volume of amygdala, hippocampus, and striatum in hominoid species collected with stereological methods.","","","FINISHED","","","","","","","","","","histological sections","","","Zilles","Zilles","","",""
"Barks_etal_2014_Fig4A","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","","","Fig 4 A","Barks","etal","2014","Barks_etal_2014","10.1002%2Fajpa.22646","Barks_etal_2014_Fig4A","10.1002%2Fajpa.22646_Fig4A","10.1002%2Fajpa.22646_Fig4A.tsv","Fig4A_allsubjects_volumes","","","FINISHED","","","","","","","","","","","","","Barks","","","",""
"Barks_etal_2014_Fig5A","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","","","Fig 5 A","Barks","etal","2014","Barks_etal_2014","10.1002%2Fajpa.22646","Barks_etal_2014_Fig5A","10.1002%2Fajpa.22646_Fig5A","10.1002%2Fajpa.22646_Fig5A.tsv","Fig5A_adultsonly_volumes","","","FINISHED","","","","","","","","","","","","","","","","",""
"Barks_etal_2014_TABLE1","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","","","TABLE 1","Barks","etal","2014","Barks_etal_2014","10.1002%2Fajpa.22646","Barks_etal_2014_TABLE1","10.1002%2Fajpa.22646_TABLE1","10.1002%2Fajpa.22646_TABLE1.tsv","TABLE 1. Individual data","","","FINISHED","","","","","","","","","","","","","Barks","","","",""
"Barks_etal_2014_TABLE2","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","","","TABLE 2","Barks","etal","2014","Barks_etal_2014","10.1002%2Fajpa.22646","Barks_etal_2014_TABLE2","10.1002%2Fajpa.22646_TABLE2","10.1002%2Fajpa.22646_TABLE2.tsv","TABLE 2. Stereological sampling of brains","","","FINISHED","","","","","","","","","","","","","","","","",""
"Barks_etal_2014_unpublishedviaDeCasien","Barks, S. K., Calhoun, M. E., Hopkins, W. D., Cranfield, M. R., Mudakikwa, A., Stoinski, T. S., Patterson, F. G., Erwin, J. M., Hecht, E. E., Hof, P. R., & Sherwood, C. C. (2014). Brain organization of gorillas reflects species differences in ecology. Am J Phys Anthropol. https://doi.org/10.1002/ajpa.22646","","","unpublishedviaDeCasien","Barks","etal","2014","Barks_etal_2014","10.1002%2Fajpa.22646","Barks_etal_2014_unpublishedviaDeCasien","10.1002%2Fajpa.22646_unpublishedviaDeCasien","10.1002%2Fajpa.22646_unpublishedviaDeCasien.tsv","","","""Sherwood et al.64 and Barks et al.65 provided neocortex, hippocampus, striatum, thalamus, cerebellum, amygdala and insula measures for multiple gorilla species (Gorilla gorilla gorilla, G. g. graueri and G. beringei) from post-mortem MRI scans"" (DeCasien and Higham 2019)","FINISHED","","","","","","","","","","","","","","","","",""
"Baron_etal_1983_Table1","Baron, G., Frahm, H. D., Bhatnagar, K. P., & Stephan, H. (1983). Comparison of brain structure volumes in Insectivora and Primates. III. Main olfactory bulb (MOB). J Hirnforsch, 24(5), 551-568. https://www.ncbi.nlm.nih.gov/pubmed/6663055","","PMID:6663055","Table 1","Baron","etal","1983","Baron_etal_1983","PMID%3A6663055","Baron_etal_1983_Table1","PMID%3A6663055_Table1","PMID%3A6663055_Table1.tsv","","table","","FINISHED","","","","","","","Insectivora, Scandentia & Primates","main olfactory bulb (MOB) volume","","histological sections","","volume","Stephan","Stephan","primary","",""
"Baron_etal_1987_Table1","Baron, G., Stephan, H., & Frahm, H. D. (1987). Comparison of brain structure volumes in Insectivora and Primates. VI. Paleocortical components. J Hirnforsch, 28(4), 463-477. http://www.ncbi.nlm.nih.gov/pubmed/3116076","","PMID:3116076","Table 1","Baron","etal","1987","Baron_etal_1987","PMID%3A3116076","Baron_etal_1987_Table1","PMID%3A3116076_Table1","PMID%3A3116076_Table1.tsv","","table","","FINISHED","","","","","","","Insectivora, Scandentia & Primates","brain-structure volume (Comparison series, Part)","","histological sections","","volume","Stephan","Stephan","primary","",""
"Baron_etal_1988_Table1","Baron, G., Frahm, H. D., & Stephan, H. (1988). Comparison of brain structure volumes in Insectivora and Primates. VIII. Vestibular complex. J Hirnforsch, 29(5), 509-523. http://www.ncbi.nlm.nih.gov/pubmed/3216099","","PMID:3216099","Table 1","Baron","etal","1988","Baron_etal_1988","PMID%3A3216099","Baron_etal_1988_Table1","PMID%3A3216099_Table1","PMID%3A3216099_Table1.tsv","Table 1. Volumes and indices of the vestibular complex (VC) and its main components (VM, V1, VL, VS) in Insectivora and Scadentia","","","FINISHED","","","","","","","Insectivora, Scandentia & Primates","vestibular nuclear complex volume","","histological sections","","volume","Stephan","Stephan","primary","",""
"Baron_etal_1990_Table1","Baron, G., Stephan, H., & Frahm, H. D. (1990). Comparison of brain structure volumes in Insectivora and primates. IX. Trigeminal complex. J Hirnforsch, 31(2), 193-200. https://www.ncbi.nlm.nih.gov/pubmed/2358663","","PMID:2358663","Table 1","Baron","etal","1990","Baron_etal_1990","PMID%3A2358663","Baron_etal_1990_Table1","PMID%3A2358663_Table1","PMID%3A2358663_Table1.tsv","Table 1 .IX. Trigeminal complex","table","","FINISHED","","","","","","","Insectivora, Scandentia & Primates","trigeminal complex volume","","histological sections","volumetry","volume","Stephan","Stephan","primary","",""
"Baron_etal_1996_Table10","Baron, G., Stephan, H., & Frahm, H. D. (1996). Comparative Neurobiology in Chiroptera: Macromorphology, Brain Structures, Tables, and Atlases. Birkhäuser.","","ISBN:9783764353704","Table 10","Baron","etal","1996","Baron_etal_1996","ISBN%3A9783764353704","Baron_etal_1996_Table10","ISBN%3A9783764353704_Table10","ISBN%3A9783764353704_Table10.tsv","","","","FINISHED","","","","","","","","","","","","","","","primary","",""
"Baron_etal_1996_Table13","Baron, G., Stephan, H., & Frahm, H. D. (1996). Comparative Neurobiology in Chiroptera: Macromorphology, Brain Structures, Tables, and Atlases. Birkhäuser.","","ISBN:9783764353704","Table 13","Baron","etal","1996","Baron_etal_1996","ISBN%3A9783764353704","Baron_etal_1996_Table13","ISBN%3A9783764353704_Table13","ISBN%3A9783764353704_Table13.tsv","Volumes (in mm3) of the sensory trigeminal complex and of the tractus solitarii and funicular nuclei of the medulla oblongata","table","","","","","Structure list, species count and the table's size/index role confirmed against the book's own Table 1 key (PDF pp. 264-265) and the printed column header, 2026-08-31.","Inherits the whole-source merge gate already recorded for Tables 10/32: seven historical taxon concepts in MANUAL_REVIEW, and source rows that collapse to the same species must be averaged within the item before Tier-1 recency resolution. Resolving that gate once unblocks every Baron item, so build order need not wait on it.","","","Mammals","trigeminal and somatosensory brainstem nucleus volumes","trigeminal and somatosensory brainstem nucleus volumes","histological sections","","volume","Stephan","Stephan","primary","","Not yet transcribed. PDF pages 74-78; N = 150 printed rows. Extend Baron_etal_1996_extract_snapshots.py, which already reads this PDF's text layer for Tables 10 and 32 with an explicit literal OCR-repair table."
"Baron_etal_1996_Table16","Baron, G., Stephan, H., & Frahm, H. D. (1996). Comparative Neurobiology in Chiroptera: Macromorphology, Brain Structures, Tables, and Atlases. Birkhäuser.","","ISBN:9783764353704","Table 16","Baron","etal","1996","Baron_etal_1996","ISBN%3A9783764353704","Baron_etal_1996_Table16","ISBN%3A9783764353704_Table16","ISBN%3A9783764353704_Table16.tsv","Volumes of some motor and relay nuclei of the medulla oblongata","table","","","","","Structure list, species count and the table's size/index role confirmed against the book's own Table 1 key (PDF pp. 264-265) and the printed column header, 2026-08-31.","Inherits the whole-source merge gate already recorded for Tables 10/32: seven historical taxon concepts in MANUAL_REVIEW, and source rows that collapse to the same species must be averaged within the item before Tier-1 recency resolution. Resolving that gate once unblocks every Baron item, so build order need not wait on it.","","","Mammals","medullary motor and relay nucleus volumes","medullary motor and relay nucleus volumes","histological sections","","volume","Stephan","Stephan","primary","","Not yet transcribed. PDF pages 86-90; N = 150 printed rows. Extend Baron_etal_1996_extract_snapshots.py, which already reads this PDF's text layer for Tables 10 and 32 with an explicit literal OCR-repair table."
"Baron_etal_1996_Table19","Baron, G., Stephan, H., & Frahm, H. D. (1996). Comparative Neurobiology in Chiroptera: Macromorphology, Brain Structures, Tables, and Atlases. Birkhäuser.","","ISBN:9783764353704","Table 19","Baron","etal","1996","Baron_etal_1996","ISBN%3A9783764353704","Baron_etal_1996_Table19","ISBN%3A9783764353704_Table19","ISBN%3A9783764353704_Table19.tsv","Volumes of the vestibular nuclei of the medulla oblongata","table","","","","","Structure list, species count and the table's size/index role confirmed against the book's own Table 1 key (PDF pp. 264-265) and the printed column header, 2026-08-31.","Inherits the whole-source merge gate already recorded for Tables 10/32: seven historical taxon concepts in MANUAL_REVIEW, and source rows that collapse to the same species must be averaged within the item before Tier-1 recency resolution. Resolving that gate once unblocks every Baron item, so build order need not wait on it.","","","Mammals","vestibular nucleus volumes","vestibular nucleus volumes","histological sections","","volume","Stephan","Stephan","primary","","Not yet transcribed. PDF pages 98-102; N = 150 printed rows. Extend Baron_etal_1996_extract_snapshots.py, which already reads this PDF's text layer for Tables 10 and 32 with an explicit literal OCR-repair table."
"Baron_etal_1996_Table2","Baron, G., Stephan, H., & Frahm, H. D. (1996). Comparative Neurobiology in Chiroptera: Macromorphology, Brain Structures, Tables, and Atlases. Birkhäuser.","","ISBN:9783764353704","Table 2","Baron","etal","1996","Baron_etal_1996","ISBN%3A9783764353704","Baron_etal_1996_Table2","ISBN%3A9783764353704_Table2","notfound","Linear measures of brains in mm","table","","","","","Structure list, species count and the table's size/index role confirmed against the book's own Table 1 key (PDF pp. 264-265) and the printed column header, 2026-08-31.","Inherits the whole-source merge gate already recorded for Tables 10/32: seven historical taxon concepts in MANUAL_REVIEW, and source rows that collapse to the same species must be averaged within the item before Tier-1 recency resolution. Resolving that gate once unblocks every Baron item, so build order need not wait on it.","","","Mammals","linear brain measures (mm); corpus callosum length","linear brain measures (mm); corpus callosum length","histological sections","","linear measure (mm)","Stephan","Stephan","primary","","Not yet transcribed. PDF pages 4-11; N = 303 printed rows. Extend Baron_etal_1996_extract_snapshots.py, which already reads this PDF's text layer for Tables 10 and 32 with an explicit literal OCR-repair table."
