folder,n_files,paper_pdf,supp_pdf,n_frozen,frozen_files,n_derived,derived_files,n_registry_rows,registry_items,source_urls
Granatosky__2018,8,1,0,4,Granatosky__2018_TableS1.csv; Granatosky__2018_TableS1_snapshot.xlsx; jzo12608-sup-0001-tables1.xlsx; jzo12608-sup-0002-references.docx,0,,1,Granatosky__2018_TableS1,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
Haarlem_etal_2026,6,1,0,2,Haarlem_et_al_cff_dataset_21_10_2025.csv; Haarlem_etal_2026_CFFdataset.csv,0,,1,Haarlem_etal_2026_CFFdataset,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
Halley_Krubitzer_2019,5,1,0,0,,2,Halley_Krubitzer_2019_Figure1_source_audit.csv; Halley_Krubitzer_2019_Figure1_source_map.csv,1,Halley_Krubitzer_2019_Figure1,https://doi.org/10.1016/j.conb.2018.12.003
Hanson_etal_2018,12,1,0,2,Hanson_etal_2018_Table2_snapshot.csv; Hanson_etal_2018_Table3_snapshot.csv,3,Hanson_etal_2018_Table2_derived.csv; Hanson_etal_2018_analysis.csv; Hanson_etal_2018_Table3_derived.csv,0,,
Heesy__2004,7,1,0,1,Heesy__2004_Table1_snapshot.xlsx,1,Heesy__2004_Table1.csv,1,Heesy__2004_Table1,https://doi.org/10.1002/ar.a.20116
Heffner_Heffner_1992_a,9,1,0,1,Heffner_Heffner_1992_a_Table1_snapshot.csv,1,Heffner_Heffner_1992_a_Table1.csv,2,Heffner_Heffner_1992_a_Table1; Heffner_Heffner_1992_a_TableI,
Heffner_Masterton_1975,8,1,0,2,Heffner_Masterton_1975_TableI_snapshot.xlsx; pyramidal_tract_data.xlsx,1,Heffner_Masterton_1975_TableI.csv,1,Heffner_Masterton_1975_TableI,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
Heffner_Masterton_1983,9,1,0,3,Heffner-1983-The role of the corticospinal tra.xlsx; Heffner_Masterton_1983_TableI_snapshot.xlsx; Heffner_Masterton_1983_Tables.xlsx,1,Heffner_Masterton_1983_TableI.csv,1,Heffner_Masterton_1983_TableI,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
Heffner_etal_2020,11,1,0,1,Heffner_etal_2020_Figure3_snapshot.csv,1,Heffner_etal_2020_Figure3.csv,2,Heffner_etal_2020_Figure3,
Heiss_etal_2004,8,1,0,3,Evo_M1_Heiss_hominin_brain_expansion_dataset.csv; Evo_M1_Heiss_hominin_brain_expansion_dataset.xlsx; Heiss_etal_2004_TABLE1_snapshot.xlsx,1,Heiss_etal_2004_TABLE1.csv,1,Heiss_etal_2004_TABLE1,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
Heldstab_etal_2016,8,2,0,2,Heldstab_etal_2016_TableS1.csv; Heldstab_etal_2016_TableS1_snapshot.xlsx,1,Heldstab_etal_2016.txt,1,Heldstab_etal_2016_TableS1,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
HerculanoHouzel__2015,29,1,0,2,HerculanoHouzel__2015_Table1_snapshot.csv; HerculanoHouzel__2015_Table2_snapshot.csv,2,HerculanoHouzel__2015_Table1.csv; HerculanoHouzel__2015_Table2.csv,7,HerculanoHouzel__2015_Table1; HerculanoHouzel__2015_Table2; HerculanoHouzel_etal_2015_Table1; HerculanoHouzel_etal_2015_Table2; HerculanoHouzel_etal_2015_Table3; HerculanoHouzel_etal_2015_Table4; HerculanoHouzel_etal_2015_Table5,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
HerculanoHouzel_etal_2013,11,1,0,2,HerculanoHouzel_etal_2013_Table1-a_snapshot.xlsx; HerculanoHouzel_etal_2013_Table1-b_snapshot.xlsx,2,HerculanoHouzel_etal_2013_Table1-a.csv; HerculanoHouzel_etal_2013_Table1-b.csv,3,HerculanoHouzel_etal_2013_Figure2TopLeft; HerculanoHouzel_etal_2013_Table1-a; HerculanoHouzel_etal_2013_Table1-b,
HerculanoHouzel_etal_2015,23,1,0,6,Herculano-Houze-2015-Mammalian Brains Are Made.xlsx; HerculanoHouzel_etal_2015_Table1_snapshot.xlsx; HerculanoHouzel_etal_2015_Table2_snapshot.xlsx; HerculanoHouzel_etal_2015_Table3_snapshot.xlsx; HerculanoHouzel_etal_2015_Table4_snapshot.xlsx; HerculanoHouzel_etal_2015_Table5_snapshot.xlsx,5,HerculanoHouzel_etal_2015_Table3.csv; HerculanoHouzel_etal_2015_Table2.csv; HerculanoHouzel_etal_2015_Table1.csv; HerculanoHouzel_etal_2015_Table5.csv; HerculanoHouzel_etal_2015_Table4.csv,7,HerculanoHouzel__2015_Table1; HerculanoHouzel__2015_Table2; HerculanoHouzel_etal_2015_Table1; HerculanoHouzel_etal_2015_Table2; HerculanoHouzel_etal_2015_Table3; HerculanoHouzel_etal_2015_Table4; HerculanoHouzel_etal_2015_Table5,https://karger.com/bbe/article-pdf/86/3-4/145/2264694/000437413.pdf
HerculanoHouzel_etal_2016,6,1,0,1,HerculanoHouzel_etal_2016_Table2_snapshot.csv,1,HerculanoHouzel_etal_2016_Table2.csv,1,HerculanoHouzel_etal_2016_Table2,
HerculanoHouzel_etal_2020,9,1,0,2,HerculanoHouzel_etal_2020_TABLE1_snapshot.csv; HerculanoHouzel_etal_2020_TABLE2_snapshot.csv,2,HerculanoHouzel_etal_2020_TABLE2.csv; HerculanoHouzel_etal_2020_TABLE1.csv,2,HerculanoHouzel_etal_2020_TABLE1; HerculanoHouzel_etal_2020_TABLE2,https://doi.org/10.1002/cne.24985
Heuer_etal_2019,11,1,0,2,Heuer_etal_2019_Table1_snapshot.xlsx; S1_QCtable_mmc1.tsv,2,Heuer_etal_2019_S1.csv; Heuer_etal_2019_Table1.csv,2,Heuer_etal_2019_S1; Heuer_etal_2019_Table1,
Heuer_etal_2023,18,1,0,11,LICENSE.author-repository.txt; elife-85907-supp1-v2.xlsx; source_data/01_cb_area_length.csv; source_data/01_cb_data.csv; source_data/02_ctx_area_length.csv; source_data/02_scale.csv; source_data/03_cb_width.csv; source_data/04_cb_period.csv; source_data/05_cb_thickness.csv; source_data/data.csv; source_data/rosetta.csv,1,Heuer_etal_2023_Data.csv,1,Heuer_etal_2023_Data,https://doi.org/10.7554/eLife.85907
Hutsler_etal_2005,26,1,0,5,Hutsler_etal_2005_Figure3_snapshot.csv; Hutsler_etal_2005_Figure6_snapshot.csv; Hutsler_etal_2005_ReportedValues_snapshot.csv; Hutsler_etal_2005_Table1_snapshot.csv; PROPOSED_species_key_rows.csv,5,Hutsler_etal_2005_Table1.csv; Hutsler_etal_2005_Figure6.csv; Hutsler_etal_2005_ReportedValues.csv; Hutsler_etal_2005_Figure3.csv; outputs/01a00701-b6a8-7343-9e6c-abf25a22eb95/Hutsler_etal_2005_build.xlsx,0,,
Isler_etal_2008,2,1,0,1,_NEEDS_PDF_AND_DATA.txt,0,,6,Isler_etal_2008_Table2; Isler_etal_2008_Table7; Isler_etal_2008_TableS1; Isler_etal_2008_TableS2; Isler_etal_2008_TableS3; Isler_etal_2008_Tree.nex,
Iwaniuk_etal_1999,16,1,0,5,10.1016%2Fs0166-4328(98)00151-x _Table1.docx; Iwaniuk-1999-Is digital dexterity really relat.docx; Iwaniuk-1999-Is digital dexterity really relat.txt; Iwaniuk-1999-Is digital dexterity really relat.xlsx; Iwaniuk_etal_1999_Table1_snapshot.xlsx,3,Iwaniuk_etal_1999_Table1.csv; Iwaniuk_etal_1999_References.csv; Iwaniuk_etal_1999_References.txt,2,Iwaniuk_etal_1999_References; Iwaniuk_etal_1999_Table1,
Iwaniuk_etal_2001,22,1,0,4,Iwaniuk_etal_2001_Table1_snapshot.xlsx; Iwaniuk_etal_2001_Table2_snapshot.xlsx; Iwaniuk_etal_2001_Table3_snapshot.xlsx; Iwaniuk_etal_2001_Table4_snapshot.xlsx,5,Iwaniuk_etal_2001.xlsx; Iwaniuk_etal_2001_Table4.csv; Iwaniuk_etal_2001_Table3.csv; Iwaniuk_etal_2001_Table2.csv; Iwaniuk_etal_2001_Table1.csv,4,Iwaniuk_etal_2001_Table1; Iwaniuk_etal_2001_Table2; Iwaniuk_etal_2001_Table3; Iwaniuk_etal_2001_Table4,
Jacob_etal_2021,23,1,0,4,Jacob_etal_2021_FIGURE4_snapshot.csv; Jacob_etal_2021_TABLE1_snapshot.csv; Jacob_etal_2021_TABLE2_snapshot.csv; Jacob_etal_2021_TABLE3_snapshot.csv,4,Jacob_etal_2021_FIGURE4.csv; Jacob_etal_2021_TABLE1.csv; Jacob_etal_2021_TABLE3.csv; Jacob_etal_2021_TABLE2.csv,4,Jacob_etal_2021_FIGURE4; Jacob_etal_2021_TABLE1; Jacob_etal_2021_TABLE2; Jacob_etal_2021_TABLE3,
Jacobs_etal_2015,6,1,0,1,Jacobs_etal_2015_Table1_snapshot.csv,1,Jacobs_etal_2015_Table1.csv,3,Jacobs_etal_2015_Table1; Jacobs_etal_2015_Table3; Jacobs_etal_2015_Table4,
Jacobs_etal_2016,6,1,0,1,Jacobs_etal_2016_Table1_snapshot.csv,1,Jacobs_etal_2016_Table1.csv,2,Jacobs_etal_2016_Table1,https://www.coloradocollege.edu/dotAsset/f0f0cd15-dac1-4695-9a39-6f7eba5810f5.pdf
