severity,kind,repo,path,line,found,canonical,in_scope,note
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,13,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,V"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,14,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,15,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,16,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,17,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,LGB,volume,mm3,"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,18,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,MGBp,volume,mm3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,19,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,VB,volume,mm3,3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,20,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,LGB,volume,"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,21,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,MGBp,volume"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,22,Armstrong_1979,Armstrong__1979,yes,"Table1,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,VB,volume,m"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,34,Armstrong_1979,Armstrong__1979,yes,"Table2,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,35,Armstrong_1979,Armstrong__1979,yes,"Table2,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,36,Armstrong_1979,Armstrong__1979,yes,"Table2,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,37,Armstrong_1979,Armstrong__1979,yes,"Table2,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,M"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,38,Armstrong_1979,Armstrong__1979,yes,"Table2,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,39,Armstrong_1979,Armstrong__1979,yes,"Table2,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,MGBp,neuronal_density,neur"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,40,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,41,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,42,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,43,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,44,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBp,neuronal_density,neur"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,45,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,46,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,47,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,48,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,49,Armstrong_1979,Armstrong__1979,yes,"Table3,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBm,neuronal_density,neur"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,50,Armstrong_1979,Armstrong__1979,yes,"Table4,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,51,Armstrong_1979,Armstrong__1979,yes,"Table4,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,52,Armstrong_1979,Armstrong__1979,yes,"Table4,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,53,Armstrong_1979,Armstrong__1979,yes,"Table4,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,V"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,54,Armstrong_1979,Armstrong__1979,yes,"Table4,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,55,Armstrong_1979,Armstrong__1979,yes,"Table4,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,VB,neuronal_density,neuron"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,56,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,57,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,58,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,59,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,60,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,61,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,62,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,63,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,64,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,65,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,66,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,LGBp,volume,mm3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,67,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Homo s.-s,Homo_volume_1,Homo sapiens,Homo sapiens,male,28,NA,1890,Yakovlev Collection,sagittal,LGBm,volume,mm3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,68,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,LGBp,volume"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,69,Armstrong_1979,Armstrong__1979,yes,"Table5,Armstrong_1979,primary,Homo s.-t,Homo_volume_2,Homo sapiens,Homo sapiens,female,32,NA,1200,Yakovlev Collection,transverse,LGBm,volume"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,70,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,71,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,72,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,73,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,74,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,75,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,76,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,77,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,78,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,79,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,80,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,M"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,81,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,V"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,82,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,83,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,84,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,85,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Homo s.,Homo_combined,Homo sapiens,Homo sapiens,mixed,derived,NA,NA,Yakovlev Collection + cell-count specimen,"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,86,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Homo s.,Homo_combined,Homo sapiens,Homo sapiens,mixed,derived,NA,NA,Yakovlev Collection + cell-count specimen,"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,87,Armstrong_1979,Armstrong__1979,yes,"Table6,Armstrong_1979,primary,Homo s.,Homo_combined,Homo sapiens,Homo sapiens,mixed,derived,NA,NA,Yakovlev Collection + cell-count specimen,"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,88,Armstrong_1979,Armstrong__1979,yes,"Table7,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,89,Armstrong_1979,Armstrong__1979,yes,"Table7,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,90,Armstrong_1979,Armstrong__1979,yes,"Table7,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,91,Armstrong_1979,Armstrong__1979,yes,"Table7,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,M"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,92,Armstrong_1979,Armstrong__1979,yes,"Table7,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,93,Armstrong_1979,Armstrong__1979,yes,"Table7,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,MGBp,perikaryal_volume,um3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,94,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,95,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,96,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,97,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Pan t.,Pan_1,Pan troglodytes,Pan troglodytes,male,10-12,63.5,405.5,University of Wisconsin comparative brain c"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,98,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBp,perikaryal_volume,um3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,99,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,100,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,101,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,L"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,102,Armstrong_1979,Armstrong__1979,yes,"Table8,Armstrong_1979,primary,Homo s.-c,Homo_cell_1,Homo sapiens,Homo sapiens,male,19,113,1500,not stated,coronal,LGBm,perikaryal_volume,um3"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,103,Armstrong_1979,Armstrong__1979,yes,"Table9,Armstrong_1979,primary,Hylo.-s,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,104,Armstrong_1979,Armstrong__1979,yes,"Table9,Armstrong_1979,primary,Hylo.-h,Hylobates_unknown_1,Hylobates sp.,Hylobates sp.,unknown,unknown,NA,NA,Thomas Jefferson Medical College"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,105,Armstrong_1979,Armstrong__1979,yes,"Table9,Armstrong_1979,primary,H. lar-t,Hylobates_lar_1,Hylobates lar,Hylobates lar,male,unknown,5.93,101.9,Max Planck Institute Frankfurt,tr"
P2,data_value,PUB,Armstrong__1979/Armstrong__1979_Tables1-9.csv,106,Armstrong_1979,Armstrong__1979,yes,"Table9,Armstrong_1979,primary,Gorilla g.,Gorilla_1,Gorilla gorilla,Gorilla gorilla,male,14,203,540,Columbia University / Bronx Zoo,coronal,V"
