"species_sci","Species","MSW3_ID","Family","Diet_Inv","Diet_Vend","Diet_Vect","Diet_Vfish","Diet_Vunk","Diet_Scav","Diet_Fruit","Diet_Nect","Diet_Seed","Diet_PlantO","Diet_dominant","Diet_breadth","Trophic_guild","Diet_Certainty","ForStrat_Value","ForStrat_stratum","ForStrat_Certainty","Activity_Nocturnal","Activity_Crepuscular","Activity_Diurnal","Activity_pattern","Activity_Certainty","BodyMass.g","BodyMass_SpecLevel"
"Myotis ricketti","Myotis ricketti","4633","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis tricolor","Myotis tricolor","4634","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",13.94,"1"
"Myotis riparius","Myotis riparius","4635","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.55,"1"
"Myotis sicarius","Myotis sicarius","4636","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",17.43,"2"
"Myotis septentrionalis","Myotis septentrionalis","4637","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis scotti","Myotis scotti","4638","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",6.86,"2"
"Myotis schaubi","Myotis schaubi","4639","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",9.46,"2"
"Myotis ruber","Myotis ruber","4640","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5,"1"
"Myotis punicus","Myotis punicus","4641","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","D1","A","Aerial","A","1","0","0","Nocturnal","ABC",7.74,"0"
"Myotis dominicensis","Myotis dominicensis","4642","Vespertilionidae",100,0,0,0,0,0,0,0,0,0,"Invertebrates",1,"Faunivore","ABC","A","Aerial","A","1","0","0","Nocturnal","ABC",5.9,"2"
