"species_sci","Species","MSW3_ID","Family","Diet_Inv","Diet_Vend","Diet_Vect","Diet_Vfish","Diet_Vunk","Diet_Scav","Diet_Fruit","Diet_Nect","Diet_Seed","Diet_PlantO","Diet_dominant","Diet_breadth","Trophic_guild","Diet_Certainty","ForStrat_Value","ForStrat_stratum","ForStrat_Certainty","Activity_Nocturnal","Activity_Crepuscular","Activity_Diurnal","Activity_pattern","Activity_Certainty","BodyMass.g","BodyMass_SpecLevel"
"Dicrostonyx nunatakensis","Dicrostonyx nunatakensis","1455","Cricetidae",0,0,0,0,0,0,20,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",60.82,"2"
"Dicrostonyx richardsoni","Dicrostonyx richardsoni","1456","Cricetidae",0,0,0,0,0,0,20,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",55,"1"
"Dicrostonyx torquatus","Dicrostonyx torquatus","1457","Cricetidae",0,0,0,0,0,0,20,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",85,"1"
"Dicrostonyx unalascensis","Dicrostonyx unalascensis","1458","Cricetidae",0,0,0,0,0,0,20,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",60.84,"2"
"Dicrostonyx vinogradovi","Dicrostonyx vinogradovi","1459","Cricetidae",0,0,0,0,0,0,20,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",60.78,"2"
"Dicrostonyx groenlandicus","Dicrostonyx groenlandicus","1460","Cricetidae",0,0,0,0,0,0,20,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",54.4,"1"
"Dinaromys bogdanovi","Dinaromys bogdanovi","1461","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",56,"1"
"Ellobius alaicus","Ellobius alaicus","1462","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",67.61,"2"
"Ellobius talpinus","Ellobius talpinus","1463","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",40,"1"
"Ellobius tancrei","Ellobius tancrei","1464","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",67.92,"2"
"Ellobius lutescens","Ellobius lutescens","1465","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",117.31,"1"
"Ellobius fuscocapillus","Ellobius fuscocapillus","1466","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",80,"1"
"Eolagurus przewalskii","Eolagurus przewalskii","1467","Cricetidae",0,0,0,0,0,0,0,0,30,70,"Other plant",2,"Herbivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",28.03,"2"
"Eolagurus luteus","Eolagurus luteus","1468","Cricetidae",0,0,0,0,0,0,0,0,30,70,"Other plant",2,"Herbivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",26,"1"
"Eothenomys custos","Eothenomys custos","1469","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",30.8,"1"
"Eothenomys chinensis","Eothenomys chinensis","1470","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",45.3,"1"
"Eothenomys cachinus","Eothenomys cachinus","1471","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","D1",34.83,"0"
"Eothenomys miletus","Eothenomys miletus","1472","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",50.7,"1"
"Eothenomys olitor","Eothenomys olitor","1473","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",22,"1"
"Eothenomys wardi","Eothenomys wardi","1474","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",34.83,"0"
"Eothenomys proditor","Eothenomys proditor","1475","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",42.5,"1"
"Eothenomys melanogaster","Eothenomys melanogaster","1476","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",27,"1"
"Hyperacrius wynnei","Hyperacrius wynnei","1477","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",52.6,"1"
"Hyperacrius fertilis","Hyperacrius fertilis","1478","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",22.25,"1"
"Lagurus lagurus","Lagurus lagurus","1479","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20.3,"1"
"Lasiopodomys mandarinus","Lasiopodomys mandarinus","1480","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",47.48,"2"
"Lasiopodomys fuscus","Lasiopodomys fuscus","1481","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",42.5,"1"
"Lasiopodomys brandtii","Lasiopodomys brandtii","1482","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",93.82,"1"
"Lemmiscus curtatus","Lemmiscus curtatus","1483","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",28.27,"1"
"Lemmus amurensis","Lemmus amurensis","1484","Cricetidae",0,0,0,0,0,0,10,0,0,90,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",42.81,"2"
"Lemmus lemmus","Lemmus lemmus","1485","Cricetidae",0,0,0,0,0,0,10,0,0,90,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",47.5,"1"
"Lemmus portenkoi","Lemmus portenkoi","1486","Cricetidae",0,0,0,0,0,0,10,0,0,90,"Other plant",2,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",55.76,"0"
"Lemmus trimucronatus","Lemmus trimucronatus","1487","Cricetidae",0,0,0,0,0,0,10,0,0,90,"Other plant",2,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",69.82,"1"
"Lemmus sibiricus","Lemmus sibiricus","1488","Cricetidae",0,0,0,0,0,0,10,0,0,90,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",52.27,"1"
"Myodes rutilus","Myodes rutilus","1489","Cricetidae",20,0,0,0,0,0,0,0,30,50,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",19.94,"1"
"Myodes rufocanus","Myodes rufocanus","1490","Cricetidae",20,0,0,0,0,0,0,0,30,50,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",36.43,"1"
"Myodes andersoni","Myodes andersoni","1491","Cricetidae",20,0,0,0,0,0,0,0,20,60,"Other plant",3,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",24,"0"
"Myodes californicus","Myodes californicus","1492","Cricetidae",20,0,0,0,0,0,0,0,30,50,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",18.3,"1"
"Myodes centralis","Myodes centralis","1493","Cricetidae",20,0,0,0,0,0,0,0,30,50,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",24,"0"
"Myodes gapperi","Myodes gapperi","1494","Cricetidae",20,0,0,0,0,0,0,0,30,50,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",19.83,"1"
"Myodes glareolus","Myodes glareolus","1495","Cricetidae",20,0,0,0,0,0,0,0,30,50,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",20.73,"1"
"Myodes imaizumii","Myodes imaizumii","1496","Cricetidae",20,0,0,0,0,0,0,0,20,60,"Other plant",3,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","D1",24,"0"
"Myodes smithii","Myodes smithii","1497","Cricetidae",20,0,0,0,0,0,0,0,20,60,"Other plant",3,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",34.94,"1"
"Myodes rex","Myodes rex","1498","Cricetidae",20,0,0,0,0,0,0,0,20,60,"Other plant",3,"Herbivore","D1","G","Ground","A","1","1","1","Cathemeral","ABC",24,"0"
"Myodes shanseius","Myodes shanseius","1499","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",29.22,"2"
"Myodes regulus","Myodes regulus","1500","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",29.84,"2"
"Myopus schisticolor","Myopus schisticolor","1501","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",25,"1"
"Neodon sikimensis","Neodon sikimensis","1502","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",40.51,"2"
"Neodon forresti","Neodon forresti","1503","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","D1","G","Ground","A","1","1","0","Nocturnal","D1",47.71,"0"
"Neodon irene","Neodon irene","1504","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",41.87,"2"
"Neodon juldaschi","Neodon juldaschi","1505","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",47.71,"0"
"Neofiber alleni","Neofiber alleni","1506","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",266,"1"
"Ondatra zibethicus","Ondatra zibethicus","1507","Cricetidae",10,0,0,0,0,0,0,0,0,90,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",1065.75,"1"
"Phaiomys leucurus","Phaiomys leucurus","1508","Cricetidae",0,0,0,0,0,0,0,0,20,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",41.87,"2"
"Phenacomys ungava","Phenacomys ungava","1509","Cricetidae",0,0,0,0,0,0,20,0,20,60,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",32.5,"1"
"Phenacomys intermedius","Phenacomys intermedius","1510","Cricetidae",0,0,0,0,0,0,20,0,20,60,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","1","0","Nocturnal","ABC",25.2,"1"
"Proedromys bedfordi","Proedromys bedfordi","1511","Cricetidae",20,0,0,0,0,0,10,0,40,30,"Seed",4,"Herbivore","D2","G","Ground","A","1","1","1","Cathemeral","ABC",55.86,"2"
"Prometheomys schaposchnikowi","Prometheomys schaposchnikowi","1512","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","0","0","1","Diurnal","ABC",75,"1"
"Synaptomys cooperi","Synaptomys cooperi","1513","Cricetidae",20,0,0,0,0,0,0,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",31.92,"1"
"Synaptomys borealis","Synaptomys borealis","1514","Cricetidae",20,0,0,0,0,0,0,0,0,80,"Other plant",2,"Herbivore","ABC","G","Ground","A","1","1","1","Cathemeral","ABC",21.3,"1"
"Volemys musseri","Volemys musseri","1515","Cricetidae",20,0,0,0,0,0,10,0,40,30,"Seed",4,"Herbivore","D2","G","Ground","A","1","1","1","Cathemeral","ABC",42.5,"1"
"Volemys millicens","Volemys millicens","1516","Cricetidae",20,0,0,0,0,0,10,0,40,30,"Seed",4,"Herbivore","D2","G","Ground","A","1","1","1","Cathemeral","ABC",49.02,"2"
"Lophiomys imhausi","Lophiomys imhausi","1517","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",755.01,"1"
"Baiomys musculus","Baiomys musculus","1518","Cricetidae",10,0,0,0,0,0,0,0,10,80,"Other plant",3,"Herbivore","ABC","G","Ground","A","0","1","1","Diurnal","ABC",9,"1"
"Baiomys taylori","Baiomys taylori","1519","Cricetidae",10,0,0,0,0,0,0,0,10,80,"Other plant",3,"Herbivore","ABC","G","Ground","A","0","1","1","Diurnal","ABC",8,"1"
"Habromys simulatus","Habromys simulatus","1520","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",40,"1"
"Habromys chinanteco","Habromys chinanteco","1521","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",40,"1"
"Habromys lepturus","Habromys lepturus","1522","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",85,"1"
"Habromys lophurus","Habromys lophurus","1523","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",40,"1"
"Habromys ixtlani","Habromys ixtlani","1524","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","D1","G","Ground","A","1","0","0","Nocturnal","D2",48.29,"0"
"Habromys delicatulus","Habromys delicatulus","1525","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","D1","G","Ground","A","1","0","0","Nocturnal","D2",48.29,"0"
"Reithrodontomys zacatecae","Reithrodontomys zacatecae","1526","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",14.49,"2"
"Reithrodontomys megalotis","Reithrodontomys megalotis","1527","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",9.37,"1"
"Reithrodontomys hirsutus","Reithrodontomys hirsutus","1528","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20,"1"
"Reithrodontomys fulvescens","Reithrodontomys fulvescens","1529","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",11.4,"1"
"Reithrodontomys chrysopsis","Reithrodontomys chrysopsis","1530","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",19,"1"
"Reithrodontomys burti","Reithrodontomys burti","1531","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20,"1"
"Reithrodontomys humulis","Reithrodontomys humulis","1532","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",8.31,"1"
"Reithrodontomys montanus","Reithrodontomys montanus","1533","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",10.9,"1"
"Reithrodontomys sumichrasti","Reithrodontomys sumichrasti","1534","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",19,"1"
"Reithrodontomys raviventris","Reithrodontomys raviventris","1535","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",11.05,"1"
"Reithrodontomys creper","Reithrodontomys creper","1536","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",22.8,"1"
"Reithrodontomys rodriguezi","Reithrodontomys rodriguezi","1537","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",19.29,"2"
"Reithrodontomys tenuirostris","Reithrodontomys tenuirostris","1538","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20,"1"
"Reithrodontomys paradoxus","Reithrodontomys paradoxus","1539","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",16.22,"2"
"Reithrodontomys mexicanus","Reithrodontomys mexicanus","1540","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",16,"1"
"Reithrodontomys brevirostris","Reithrodontomys brevirostris","1541","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",12.9,"1"
"Reithrodontomys spectabilis","Reithrodontomys spectabilis","1542","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20.2,"1"
"Reithrodontomys gracilis","Reithrodontomys gracilis","1543","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",12.27,"1"
"Reithrodontomys microdon","Reithrodontomys microdon","1544","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",20,"1"
"Reithrodontomys darienensis","Reithrodontomys darienensis","1545","Cricetidae",0,0,0,0,0,0,0,0,50,50,"Seed",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",13,"1"
"Hodomys alleni","Hodomys alleni","1546","Cricetidae",20,0,0,0,0,0,10,0,40,30,"Seed",4,"Herbivore","D2","G","Ground","A","1","0","0","Nocturnal","ABC",367.6,"1"
"Isthmomys flavidus","Isthmomys flavidus","1547","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","D2",233.68,"1"
"Isthmomys pirrensis","Isthmomys pirrensis","1548","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","D2",138,"1"
"Megadontomys cryophilus","Megadontomys cryophilus","1549","Cricetidae",0,0,0,0,0,0,80,0,0,20,"Fruit",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",76.56,"2"
"Megadontomys thomasi","Megadontomys thomasi","1550","Cricetidae",0,0,0,0,0,0,80,0,0,20,"Fruit",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",111,"1"
"Megadontomys nelsoni","Megadontomys nelsoni","1551","Cricetidae",0,0,0,0,0,0,80,0,0,20,"Fruit",2,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","D2",76.55,"2"
"Nelsonia goldmani","Nelsonia goldmani","1552","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",88.08,"2"
"Nelsonia neotomodon","Nelsonia neotomodon","1553","Cricetidae",0,0,0,0,0,0,0,0,0,100,"Other plant",1,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",80,"1"
"Neotoma stephensi","Neotoma stephensi","1554","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",152.5,"1"
"Neotoma mexicana","Neotoma mexicana","1555","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",203,"1"
"Neotoma fuscipes","Neotoma fuscipes","1556","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",229.83,"1"
"Neotoma albigula","Neotoma albigula","1557","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",206.03,"1"
"Neotoma angustapalata","Neotoma angustapalata","1558","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",198,"1"
"Neotoma anthonyi","Neotoma anthonyi","1559","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",195.4,"1"
"Neotoma bryanti","Neotoma bryanti","1560","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",182,"1"
"Neotoma bunkeri","Neotoma bunkeri","1561","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",375,"1"
"Neotoma chrysomelas","Neotoma chrysomelas","1562","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",169.5,"1"
"Neotoma nelsoni","Neotoma nelsoni","1563","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",198,"1"
"Neotoma floridana","Neotoma floridana","1564","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",244.75,"1"
"Neotoma goldmani","Neotoma goldmani","1565","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",198,"1"
"Neotoma lepida","Neotoma lepida","1566","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",163.75,"1"
"Neotoma leucodon","Neotoma leucodon","1567","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","D1","G","Ground","A","1","0","0","Nocturnal","ABC",220.57,"0"
"Neotoma macrotis","Neotoma macrotis","1568","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","D1","G","Ground","A","1","0","0","Nocturnal","ABC",225.74,"1"
"Neotoma magister","Neotoma magister","1569","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","D1","G","Ground","A","1","0","0","Nocturnal","ABC",447,"1"
"Neotoma martinensis","Neotoma martinensis","1570","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",246,"1"
"Neotoma micropus","Neotoma micropus","1571","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",237.5,"1"
"Neotoma palatina","Neotoma palatina","1572","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",198,"1"
"Neotoma devia","Neotoma devia","1573","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",200,"1"
"Neotoma cinerea","Neotoma cinerea","1574","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",299.15,"1"
"Neotoma phenax","Neotoma phenax","1575","Cricetidae",10,0,0,0,0,0,0,0,20,70,"Other plant",3,"Herbivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","ABC",227.5,"1"
"Neotomodon alstoni","Neotomodon alstoni","1576","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",40,"1"
"Ochrotomys nuttalli","Ochrotomys nuttalli","1577","Cricetidae",0,0,0,0,0,0,0,0,100,0,"Seed",1,"Herbivore","ABC","Ar","Arboreal","A","1","0","0","Nocturnal","ABC",22.37,"1"
"Onychomys arenicola","Onychomys arenicola","1578","Cricetidae",90,0,0,0,0,0,0,0,0,10,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",30,"1"
"Onychomys leucogaster","Onychomys leucogaster","1579","Cricetidae",90,0,0,0,0,0,0,0,0,10,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",27.92,"1"
"Onychomys torridus","Onychomys torridus","1580","Cricetidae",90,0,0,0,0,0,0,0,0,10,"Invertebrates",2,"Faunivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",24.97,"1"
"Osgoodomys banderanus","Osgoodomys banderanus","1581","Cricetidae",30,0,0,0,0,0,30,0,40,0,"Seed",3,"Herbivore","ABC","S","Scansorial","A","1","0","0","Nocturnal","D2",50,"1"
"Peromyscus stephani","Peromyscus stephani","1582","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",32.17,"2"
"Peromyscus gossypinus","Peromyscus gossypinus","1583","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",29.39,"1"
"Peromyscus gratus","Peromyscus gratus","1584","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",27.35,"1"
"Peromyscus zarhynchus","Peromyscus zarhynchus","1585","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",40,"1"
"Peromyscus yucatanicus","Peromyscus yucatanicus","1586","Cricetidae",50,0,0,0,0,10,20,0,20,0,"Invertebrates",4,"Omnivore","ABC","G","Ground","A","1","0","0","Nocturnal","ABC",26.3,"1"
