"species_sci","Species","taxon_group","AG_own_mm2","FI_own","T_own_mm","AG_other_mm2","FI_other","T_other_mm","Reference"
"Tupaia belangeri","Tupaia belangeri","Scandentia",497,1.041,1.07,NA,NA,NA,"19"
"Callimico goeldii","Callimico goeldii","Primata",1953,1.262,1.6,NA,NA,NA,"19"
"Callithrix sp.","Callithrix sp.","Primata",NA,NA,NA,2020,1.224,1.507,"1"
"Callithrix jacchus","Callithrix jacchus","Primata",1534,1.175,1.327,NA,NA,NA,"19"
"Otolemur garnettii","Otolemur garnettii","Primata",1745,1.247,1.428,NA,NA,NA,"19"
"Aotus trivirgatus","Aotus trivirgatus","Primata",2214,1.356,1.488,1890,NA,1.971,"19, 1"
"Saimiri sciureus","Saimiri sciureus","Primata",5250,1.574,1.468,3980,1.598,1.671,"19, 1"
"Cebus apella","Cebus apella","Primata",7653,1.694,1.761,NA,NA,NA,"19"
"Galagoides demidoff","Galagoides demidoff","Primata",NA,NA,NA,675,NA,0.946,"1"
"Perodicticus potto","Perodicticus potto","Primata",NA,NA,NA,1990,NA,1.927,"1"
"Cercopithecus aethiops","Cercopithecus aethiops","Primata",NA,NA,NA,10000,1.852,1.8,"1"
"Macaca mulatta","Macaca mulatta","Primata",NA,NA,NA,12500,1.701,2.204,"1"
"Macaca radiata","Macaca radiata","Primata",8441,1.807,1.566,NA,NA,NA,"19"
"Macaca fascicularis","Macaca fascicularis","Primata",9381,1.652,1.411,NA,NA,NA,"19"
"Papio anubis cynocephalus","Papio anubis cynocephalus","Primata",16689,1.919,2.032,NA,NA,NA,"19"
"Homo sapiens","Homo sapiens","Primata",94050,2.21,2.938,121500,2.826,2.811,"10, 21"
"Homo sapiens","Homo sapiens","Primata",NA,NA,NA,113750,2.862,NA,"1"
"Sorex minutus","Sorex minutus","Eulipotyphla",NA,NA,NA,40,1,0.367,"1"
"Sorex araneus","Sorex araneus","Eulipotyphla",NA,NA,NA,70,1,0.388,"1"
"Crocidura russala","Crocidura russala","Eulipotyphla",NA,NA,NA,61,1,0.438,"1"
"Crocidura flavescens","Crocidura flavescens","Eulipotyphla",NA,NA,NA,97,1,0.619,"1"
"Erinaceus europaeus","Erinaceus europaeus","Eulipotyphla",NA,NA,NA,462,1,1.047,"1"
"Neomys fodiens","Neomys fodiens","Eulipotyphla",NA,NA,NA,106,1,0.415,"1"
"Talpa europaea","Talpa europaea","Eulipotyphla",NA,NA,NA,194,1,0.858,"1"
"Galemys pyrenaicus","Galemys pyrenaicus","Eulipotyphla",NA,NA,NA,247,1,0.996,"1"
"Felis catus","Felis catus","Carnivora",NA,NA,NA,4165,1.593,1.837,"1"
"Procyon lotor","Procyon lotor","Carnivora",NA,NA,NA,6100,1.848,NA,"1"
"Vulpes vulpes","Vulpes vulpes","Carnivora",NA,NA,NA,6750,1.985,NA,"22"
"Vulpes vulpes","Vulpes vulpes","Carnivora",NA,NA,NA,7550,1.804,1.815,"1"
"Canis latrans","Canis latrans","Carnivora",NA,NA,NA,11350,1.802,NA,"1"
"Sus scrofa domesticus","Sus scrofa domesticus","Artiodactyla",6594,1.889,1.336,18000,2.169,2.189,"16, 1"
"Antidorcas marsupialis","Antidorcas marsupialis","Artiodactyla",9623,2.018,1.669,NA,NA,NA,"16"
"Damaliscus dorcas","Damaliscus dorcas","Artiodactyla",16915,2.008,2.169,NA,NA,NA,"16"
"Tragelaphus stripceros","Tragelaphus stripceros","Artiodactyla",22203,2.026,2.344,NA,NA,NA,"16"
"Giraffa camelopardalis","Giraffa camelopardalis","Artiodactyla",40128,2.408,2.394,NA,NA,NA,"16"
"Bos taurus","Bos taurus","Artiodactyla",NA,NA,NA,52750,2.488,2.142,"1"
"Ovis aries","Ovis aries","Artiodactyla",NA,NA,NA,14900,1.935,1.738,"1"
"Equus caballus","Equus caballus","Perissodactyla",NA,NA,NA,57550,NA,1.99,"24"
"Equus caballus","Equus caballus","Perissodactyla",NA,NA,NA,61400,2.797,2.296,"1"
"Phocaena phocaena","Phocaena phocaena","Cetacea",NA,NA,NA,65000,4.127,1.577,"1"
"Stenella styx","Stenella styx","Cetacea",NA,NA,NA,73700,NA,3.087,"1"
"Delphinus delphis","Delphinus delphis","Cetacea",NA,NA,NA,85850,3.993,NA,"1"
"Tursiops truncatus","Tursiops truncatus","Cetacea",NA,NA,NA,135000,4.762,1.715,"1"
"Grampus griseus","Grampus griseus","Cetacea",NA,NA,NA,156600,4.29,1.992,"1"
"Globicephala macrorhyncha","Globicephala macrorhyncha","Cetacea",NA,NA,NA,290750,5.239,2.024,"1"
"Pseudorca crassidiens","Pseudorca crassidiens","Cetacea",NA,NA,NA,739200,9.935,NA,"1"
