paper_folder,table,column,n_distinct,n_matched,match_rate,looks_like_row_index,registered,column_rejected,tier,species_code_overlap_rate
Turner_etal_2016,Turner_etal_2016_Table1.csv,case_number,5,2,0.4,FALSE,TRUE,FALSE,B_review_then_register,0
Turner_etal_2016,Turner_etal_2016_Table1.csv,case,6,2,0.3333333333333333,FALSE,TRUE,FALSE,C_rejected_low_match_rate,0
Bauernfeind_etal_2013,Bauernfeind_etal_2013_Table2.csv,Individual,15,4,0.26666666666666666,FALSE,FALSE,FALSE,C_rejected_low_match_rate,0
Seymour_etal_2017,Seymour_etal_2017_TableS1.csv,Specimen,30,1,0.033333333,FALSE,FALSE,FALSE,C_rejected_low_match_rate,0
Schleifenbaum__1973,Schleifenbaum__1973_Tables1-2.csv,individual_printed,33,1,0.030303030303030304,FALSE,FALSE,FALSE,C_rejected_low_match_rate,0.2727272727272727
DeCasien_Higham_2019,DeCasien_Higham_2019_references_braindata.csv,ref_number,18,4,0.2222222222222222,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.2222222222222222
Iwaniuk_etal_1999,Iwaniuk_etal_1999_References.csv,ref_number,69,12,0.17391304347826086,TRUE,FALSE,TRUE,C_rejected_non_identifier_column,0.36231884057971014
Baker_etal_2025,Baker_etal_2025_references.csv,ref_number,43,7,0.16279069767441862,TRUE,FALSE,TRUE,C_rejected_non_identifier_column,0.4418604651162791
Capellini_etal_2008,Capellini_etal_2008_sleep-dataFemale.csv,search_id,40,6,0.15,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.225
Capellini_etal_2008,sleep-data_Female.csv,search_id,40,6,0.15,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.225
Capellini_etal_2008,sleep-data_Male.csv,search_id,89,12,0.1348314606741573,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.30337078651685395
Capellini_etal_2008,Capellini_etal_2008_sleep-dataMale.csv,search_id,89,12,0.1348314606741573,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.30337078651685395
Capellini_etal_2008,Capellini_etal_2008_sleep-dataMixed.csv,search_id,54,7,0.12962962962962962,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.25925925925925924
Capellini_etal_2008,sleep-data_Mixed.csv,search_id,54,7,0.12962962962962962,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.25925925925925924
Kochiyama_etal_2018,Kochiyama_etal_2018_FossilSpecimensText_dateReferences.csv,Ref_number,12,1,0.083333333,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.25
Powell_etal_2017,Powell_etal_2017_Dataset1.csv,%animal prey,118,8,0.06779661,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.1440677966101695
Genoud_etal_2018,Genoud_etal_2018_TableS2.csv,No,1739,109,0.062679701,TRUE,FALSE,TRUE,C_rejected_non_identifier_column,0.043703278
Jacobs_etal_2018,Jacobs_etal_2018_Table5.csv,dendritic_spine_number_M1,52,3,0.057692307692307696,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0
Wilman_etal_2014,Wilman_etal_2014_MamFuncDat.csv,MSW3_ID,5400,159,0.029444444444444443,FALSE,FALSE,TRUE,C_rejected_non_identifier_column,0.013888888888888888
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019_tidy.tsv,specimen,23,6,0.2608695652173913,TRUE,FALSE,FALSE,C_rejected_row_index_like,
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019_volumes.tsv,specimen,23,6,0.2608695652173913,TRUE,FALSE,FALSE,C_rejected_row_index_like,
Collins_etal_2010,Collins_etal_2010_DatasetS1.csv,piece_id,155,29,0.1870967741935484,TRUE,TRUE,FALSE,C_rejected_row_index_like,0.3032258064516129
Barger_etal_2014,Barger_etal_2014_Table1.csv,case_index,20,6,0.3,TRUE,FALSE,TRUE,C_rejected_species_code_column,0.7
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019_tidy.csv,specimen,23,6,0.2608695652173913,TRUE,FALSE,FALSE,C_rejected_species_code_column,0.7391304347826086
BarbeitoAndrés_etal_2019,BarbeitoAndrés_etal_2019_volumes.csv,specimen,23,6,0.2608695652173913,TRUE,FALSE,FALSE,C_rejected_species_code_column,0.7391304347826086
Schleifenbaum__1973,Schleifenbaum__1973_Tables1-2.csv,individual,33,6,0.18181818181818182,TRUE,FALSE,FALSE,C_rejected_species_code_column,0.5757575757575758
