Species,Domain,Standardized_Term,Value,source,team,dependency_group
Macaca nemestrina,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Macaca radiata,Vocalization,VocalRepertoire,21,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Macaca silenus,Vocalization,VocalRepertoire,15,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Macaca sylvanus,Vocalization,VocalRepertoire,14,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Mandrillus sphinx,Vocalization,VocalRepertoire,10,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Miopithecus talapoin,Vocalization,VocalRepertoire,12,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Pan paniscus,Vocalization,VocalRepertoire,11,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Pan troglodytes,Vocalization,VocalRepertoire,12,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Perodicticus potto,Vocalization,VocalRepertoire,5,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Piliocolobus badius,Vocalization,VocalRepertoire,17,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Pongo pygmaeus,Vocalization,VocalRepertoire,10,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Saguinus fuscicollis,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Saguinus oedipus,Vocalization,VocalRepertoire,14,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Saimiri sciureus,Vocalization,VocalRepertoire,21,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Semnopithecus entellus,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Theropithecus gelada,Vocalization,VocalRepertoire,22,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Trachypithecus johnii,Vocalization,VocalRepertoire,16,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Varecia variegata,Vocalization,VocalRepertoire,11,Schniter_Penaherrera-Aguirre_2026_data,Schniter_2026,McComb_Semple_2005_lineage
Ateles chamek,Vocalization,VocalRepertoire,14,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Callithrix jacchus,Vocalization,VocalRepertoire,13,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Cebus capucinus,Vocalization,VocalRepertoire,27,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Cercopithecus diana,Vocalization,VocalRepertoire,4,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Chlorocebus sabaeus,Vocalization,VocalRepertoire,25,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Colobus polykomos,Vocalization,VocalRepertoire,6,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Eulemur coronatus,Vocalization,VocalRepertoire,13,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Eulemur flavifrons,Vocalization,VocalRepertoire,10,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Eulemur fulvus,Vocalization,VocalRepertoire,11,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Eulemur macaco,Vocalization,VocalRepertoire,10,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Eulemur mongoz,Vocalization,VocalRepertoire,9,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Gorilla gorilla,Vocalization,VocalRepertoire,16,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Hylobates lar,Vocalization,VocalRepertoire,14,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Hylobates moloch,Vocalization,VocalRepertoire,14,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Hylobates muelleri,Vocalization,VocalRepertoire,14,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Lagothrix lagothricha,Vocalization,VocalRepertoire,6,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Lemur catta,Vocalization,VocalRepertoire,22,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Leontopithecus rosalia,Vocalization,VocalRepertoire,16,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Macaca fascicularis,Vocalization,VocalRepertoire,17,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Macaca mulatta,Vocalization,VocalRepertoire,18,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Macaca silenus,Vocalization,VocalRepertoire,15,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Macaca sylvanus,Vocalization,VocalRepertoire,14,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Macaca tonkeana,Vocalization,VocalRepertoire,20,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Nomascus leucogenys,Vocalization,VocalRepertoire,19,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Pan paniscus,Vocalization,VocalRepertoire,38,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Pan troglodytes,Vocalization,VocalRepertoire,29,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Papio anubis,Vocalization,VocalRepertoire,6,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Pongo sp.,Vocalization,VocalRepertoire,17,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Pongo pygmaeus,Vocalization,VocalRepertoire,23,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Propithecus coquereli,Vocalization,VocalRepertoire,6,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Saguinus imperator,Vocalization,VocalRepertoire,33,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Saguinus midas,Vocalization,VocalRepertoire,33,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Saimiri sciureus,Vocalization,VocalRepertoire,21,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Sapajus apella,Vocalization,VocalRepertoire,31,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Symphalangus syndactylus,Vocalization,VocalRepertoire,9,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Trachypithecus auratus,Vocalization,VocalRepertoire,5,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Trachypithecus francoisi,Vocalization,VocalRepertoire,15,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Varecia rubra,Vocalization,VocalRepertoire,13,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Varecia variegata,Vocalization,VocalRepertoire,13,ManyPrimates__2022_speciespredictors,ManyPrimates_2022,McComb_Semple_2005_lineage
Orycteropus afer,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Myrmecophaga jubata,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Dasypus novemcinctus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Desmodus rufus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Horpyiocepalus leucogostra,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Myotis,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Pteropus edulis,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Rhinolophus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Tadarida cynocephala,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
NA,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Castor canadensis,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Otolemur garnettii,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Galago senegalensis,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Camelus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Felis catus,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Pan troglodytes,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Tamias striatus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
NA,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Myocastor coypus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
NA,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Canis latrans,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Elephas maximus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Mustela putorius furo,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Hylobates lar,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Hylobates syndactylus,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Capra hircus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Spermophilus tridecemlineatus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Cavia aperea,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Cricetus auratus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Erinaceus,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Paraechinus,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Sus scrofa,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Equus caballus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Potos flavus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Lemur catta,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Homo sapiens,Dexterity,Dexterity,7,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Scalopus aquaticus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Ateles ater,Dexterity,Dexterity,4,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Sapajus apella,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Chlorocebus sabaeus,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Lagothrix lagotricha,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Macaca irus,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Macaca mulatta,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Papio anubis,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Saguinus oedipus,Dexterity,Dexterity,4,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Saimiri boliviensis boliviensis,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Mus musculus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Equus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Didelphis virginiana,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Pongo pygmaeus,Dexterity,Dexterity,6,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Manis pentadactyla,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Trichosurus vulpecula,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Microsorex hoyi,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Setonix brachyurus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Oryctolagus cuniculus,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Procyon lotor,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Rattus norvegicus,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Procavia capensis,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Callorhinus ursinus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Ovis aries,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Nycticebus coucang,Dexterity,Dexterity,5,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Tachyglossus aculeatus,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Sciurus hudsonius,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Tapirus,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Tarsius,Dexterity,Dexterity,4,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Potorous apicalis,Dexterity,Dexterity,2,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Tupaia belangeri,Dexterity,Dexterity,3,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Phocoena phocoena,Dexterity,Dexterity,1,Heffner_Masterton_1975_TableI,HeffnerMasterton_1975,HeffnerMasterton_1975_lineage
Ateles ater,Dexterity,Dexterity,4,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Canis latrans,Dexterity,Dexterity,2,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Capra hircus,Dexterity,Dexterity,1,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Sapajus apella,Dexterity,Dexterity,5,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Chlorocebus sabaeus,Dexterity,Dexterity,6,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Dasypus novemcinctus,Dexterity,Dexterity,1,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Didelphis virginiana,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Felis catus,Dexterity,Dexterity,2,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Otolemur garnettii,Dexterity,Dexterity,5,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Homo sapiens,Dexterity,Dexterity,7,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Hylobates lar,Dexterity,Dexterity,6,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Lagothrix lagotricha,Dexterity,Dexterity,5,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Macaca mulatta,Dexterity,Dexterity,6,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Myocastor coypus,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Nycticebus coucang,Dexterity,Dexterity,5,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Pan troglodytes,Dexterity,Dexterity,6,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Potorous tridactylus,Dexterity,Dexterity,2,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Potos flavus,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Procyon lotor,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Rattus norvegicus,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Saguinus oedipus,Dexterity,Dexterity,4,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Saimiri boliviensis boliviensis,Dexterity,Dexterity,5,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Setonix brachyurus,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Trichosurus vulpecula,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Tupaia belangeri,Dexterity,Dexterity,3,Iwaniuk_etal_1999_References,Iwaniuk_1999,HeffnerMasterton_1975_lineage
Ateles geoffroyi,Gait,Duty_Factor,60.68357468,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ateles fusciceps,Gait,Duty_Factor,59.80060125,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trichosurus vulpecula,Gait,Duty_Factor,56.55711,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Daubentonia madagascariensis,Gait,Duty_Factor,57.36413584,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Lemur catta,Gait,Duty_Factor,64.50073161,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pygathrix nemaeus,Gait,Duty_Factor,63.20615207,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Priodontes maximus,Gait,Duty_Factor,59.11835749,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Hapalemur griseus,Gait,Duty_Factor,61.92340311,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cyclopes didactylus,Gait,Duty_Factor,87.63,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Varecia variegata,Gait,Duty_Factor,57.19757351,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Pygathrix cinerea,Gait,Duty_Factor,66.18556425,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus poliocephalus,Gait,Duty_Factor,60.99488998,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Ateles paniscus,Gait,Duty_Factor,60.59999272,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Macaca fascicularis,Gait,Duty_Factor,60.20866946,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Macaca mulatta,Gait,Duty_Factor,62.76238395,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Propithecus coquereli,Gait,Duty_Factor,63.27471447,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Cebus capucinus,Gait,Duty_Factor,59.37513743,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Eulemur mongoz,Gait,Duty_Factor,53.53277563,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Rhinopithecus roxellana,Gait,Duty_Factor,69.43838721,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus hatinhensis,Gait,Duty_Factor,60.93216843,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus phayrei,Gait,Duty_Factor,63.83,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Trachypithecus delacouri,Gait,Duty_Factor,60.89086618,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Saimiri sciureus,Gait,Duty_Factor,54.255435,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Aotus nancymaae,Gait,Duty_Factor,59.59001804,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
Potos flavus,Gait,Duty_Factor,51.15862271,Wimberly_etal_2021_mammalgait.txt,Wimberly_2021,Wimberly_2021
