source,Domain,Standardized_Term,Species,Value
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Pan troglodytes,6
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Potorous tridactylus,2
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Potos flavus,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Procyon lotor,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Rattus norvegicus,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Saguinus oedipus,4
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Saimiri boliviensis boliviensis,5
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Setonix brachyurus,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Trichosurus vulpecula,3
Iwaniuk_etal_1999_References,Dexterity,Dexterity,Tupaia belangeri,3
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ateles geoffroyi,60.68357468
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ateles fusciceps,59.80060125
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Trichosurus vulpecula,56.55711
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Daubentonia madagascariensis,57.36413584
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Lemur catta,64.50073161
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pygathrix nemaeus,63.20615207
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Priodontes maximus,59.11835749
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Hapalemur griseus,61.92340311
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cyclopes didactylus,87.63
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Varecia variegata,57.19757351
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Pygathrix cinerea,66.18556425
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Trachypithecus poliocephalus,60.99488998
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Ateles paniscus,60.59999272
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Macaca fascicularis,60.20866946
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Macaca mulatta,62.76238395
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Propithecus coquereli,63.27471447
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Cebus capucinus,59.37513743
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Eulemur mongoz,53.53277563
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Rhinopithecus roxellana,69.43838721
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Trachypithecus hatinhensis,60.93216843
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Trachypithecus phayrei,63.83
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Trachypithecus delacouri,60.89086618
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Saimiri sciureus,54.255435
Wimberly_etal_2021_mammalgait.txt,Gait,Duty_Factor,Aotus nancymaae,59.59001804
