Species,measure_class,Measure,Team,role,Value
Chlorocebus aethiops,vocalization,VocalRepertoire,Schniter,primary,25
Chlorocebus sabaeus,dexterity,Dexterity,Heffner,primary,6
Chlorocebus sabaeus,dexterity,Dexterity,Iwaniuk,secondary,6
Chlorocebus sabaeus,vocalization,VocalRepertoire,ManyPrimates,secondary,25
Choloepus didactylus,gait,Duty_Factor,Wimberly,primary,72.63339384
Choloepus didactylus,gait,Foot_Posture,Wimberly,primary,plantigrade
Choloepus didactylus,gait,Gait,Wimberly,primary,LSDC
Choloepus didactylus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.16745710622922
Choloepus didactylus,gait,Phase,Wimberly,primary,49.43348146
Chrysocyon brachyurus,gait,Duty_Factor,Wimberly,primary,62.84858552
Chrysocyon brachyurus,gait,Foot_Posture,Wimberly,primary,digitigrade
Chrysocyon brachyurus,gait,Gait,Wimberly,primary,LSLC
Chrysocyon brachyurus,gait,Phase,Wimberly,primary,13.18249
Colobus angolensis palliatus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Colobus angolensis palliatus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.36153853780977
Colobus guereza,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Colobus guereza,manipulation,Extractive_foraging,Heldstab,primary,0
Colobus guereza,locomotion,Intermembral_index,Granatosky,primary,79
Colobus guereza,locomotion,Locomotor_diversity_index,Granatosky,primary,1.17402880124957
Colobus guereza,manipulation,Manipulation_complexity,Heldstab,primary,2.38
Colobus guereza,manipulation,Tool_use,Heldstab,primary,0
Colobus polykomos,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Colobus polykomos,locomotion,Intermembral_index,Granatosky,primary,78
Colobus polykomos,locomotion,Locomotor_diversity_index,Granatosky,primary,1.28263841381107
Colobus polykomos,vocalization,VocalRepertoire,ManyPrimates,secondary,6
Colobus vellerosus,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Colobus vellerosus,locomotion,Locomotor_diversity_index,Granatosky,primary,1.41868231852566
Connochaetes taurinus,gait,Duty_Factor,Wimberly,primary,72
Connochaetes taurinus,gait,Foot_Posture,Wimberly,primary,unguligrade
Connochaetes taurinus,gait,Gait,Wimberly,primary,LSLC
Connochaetes taurinus,gait,Phase,Wimberly,primary,18
Cricetus auratus,dexterity,Dexterity,Heffner,primary,3
Crocuta crocuta,gait,Duty_Factor,Wimberly,primary,66
Crocuta crocuta,gait,Foot_Posture,Wimberly,primary,digitigrade
Crocuta crocuta,gait,Gait,Wimberly,primary,LSLC
Crocuta crocuta,gait,Phase,Wimberly,primary,10
Cryptoprocta ferox,gait,Duty_Factor,Wimberly,primary,70.43010753
Cryptoprocta ferox,gait,Foot_Posture,Wimberly,primary,digitigrade
Cryptoprocta ferox,gait,Gait,Wimberly,primary,LSDC
Cryptoprocta ferox,gait,Phase,Wimberly,primary,27.47909
Cuon alpinus,gait,Duty_Factor,Wimberly,primary,69.61538462
Cuon alpinus,gait,Foot_Posture,Wimberly,primary,digitigrade
Cuon alpinus,gait,Gait,Wimberly,primary,LSLC
Cuon alpinus,gait,Phase,Wimberly,primary,17.94872
Cyclopes didactylus,gait,Duty_Factor,Wimberly,primary,87.63
Cyclopes didactylus,gait,Foot_Posture,Wimberly,primary,plantigrade
Cyclopes didactylus,gait,Gait,Wimberly,primary,DSDC
Cyclopes didactylus,gait,Phase,Wimberly,primary,64.59
Dasypus novemcinctus,dexterity,Dexterity,Heffner,primary,1
Dasypus novemcinctus,dexterity,Dexterity,Iwaniuk,secondary,1
Dasypus novemcinctus,gait,Duty_Factor,Wimberly,primary,54.54
Dasypus novemcinctus,gait,Foot_Posture,Wimberly,primary,digitigrade
Dasypus novemcinctus,gait,Gait,Wimberly,primary,LSDC
Dasypus novemcinctus,gait,Phase,Wimberly,primary,36.36
Dasyurus maculatus,gait,Duty_Factor,Wimberly,primary,64.27399
Dasyurus maculatus,gait,Foot_Posture,Wimberly,primary,digitigrade
Dasyurus maculatus,gait,Gait,Wimberly,primary,LSDC
Dasyurus maculatus,gait,Phase,Wimberly,primary,41.39767
Daubentonia madagascariensis,locomotion,Arboreal_terrestrial,Granatosky,primary,A
Daubentonia madagascariensis,gait,Duty_Factor,Wimberly,primary,57.36413584
Daubentonia madagascariensis,gait,Foot_Posture,Wimberly,primary,plantigrade
Daubentonia madagascariensis,gait,Gait,Wimberly,primary,DSDC
Daubentonia madagascariensis,locomotion,Intermembral_index,Granatosky,primary,71
Daubentonia madagascariensis,locomotion,Locomotor_diversity_index,Granatosky,primary,1.24022837119808
Daubentonia madagascariensis,gait,Phase,Wimberly,primary,65.79056326
Daubentonia madagascariensis,vocalization,VocalRepertoire,Schniter,primary,9
Dendrohyrax arboreus,gait,Duty_Factor,Wimberly,primary,55.55
Dendrohyrax arboreus,gait,Gait,Wimberly,primary,LSLC
Dendrohyrax arboreus,gait,Phase,Wimberly,primary,22.22
Dendrolagus goodfellowi,gait,Duty_Factor,Wimberly,primary,68
Dendrolagus goodfellowi,gait,Foot_Posture,Wimberly,primary,plantigrade
Dendrolagus goodfellowi,gait,Gait,Wimberly,primary,LSLC
Dendrolagus goodfellowi,gait,Phase,Wimberly,primary,22
Desmodus rotundus,gait,Duty_Factor,Wimberly,primary,68.15073417000001
Desmodus rotundus,gait,Gait,Wimberly,primary,LSDC
Desmodus rotundus,gait,Phase,Wimberly,primary,29.50951127
Desmodus rufus,dexterity,Dexterity,Heffner,primary,1
Didelphis virginiana,dexterity,Dexterity,Heffner,primary,3
Didelphis virginiana,dexterity,Dexterity,Iwaniuk,secondary,3
Didelphis virginiana,gait,Duty_Factor,Wimberly,primary,76.54000000000001
Didelphis virginiana,gait,Foot_Posture,Wimberly,primary,plantigrade
Didelphis virginiana,gait,Gait,Wimberly,primary,LSDC
Didelphis virginiana,gait,Phase,Wimberly,primary,34.86
Eira barbara,locomotion,Locomotor_diversity_index,Granatosky,primary,1.31805406764601
Elephas maximus,dexterity,Dexterity,Heffner,primary,1
Elephas maximus,gait,Duty_Factor,Wimberly,primary,73
Elephas maximus,gait,Foot_Posture,Wimberly,primary,plantigrade
Elephas maximus,gait,Gait,Wimberly,primary,LSLC
Elephas maximus,gait,Phase,Wimberly,primary,19
Enhydra lutris,gait,Duty_Factor,Wimberly,primary,67.155
Enhydra lutris,gait,Gait,Wimberly,primary,LSDC
Enhydra lutris,gait,Phase,Wimberly,primary,27.285
Equus,dexterity,Dexterity,Heffner,primary,1
Equus asinus,gait,Duty_Factor,Wimberly,primary,73
Equus asinus,gait,Foot_Posture,Wimberly,primary,unguligrade
Equus asinus,gait,Gait,Wimberly,primary,LSLC
Equus asinus,gait,Phase,Wimberly,primary,25
Equus burchelli,gait,Duty_Factor,Wimberly,primary,67
Equus burchelli,gait,Foot_Posture,Wimberly,primary,unguligrade
Equus burchelli,gait,Gait,Wimberly,primary,LSLC
Equus burchelli,gait,Phase,Wimberly,primary,24
Equus caballus,dexterity,Dexterity,Heffner,primary,1
Equus caballus,gait,Duty_Factor,Wimberly,primary,67
Equus caballus,gait,Foot_Posture,Wimberly,primary,unguligrade
Equus caballus,gait,Gait,Wimberly,primary,LSLC
Equus caballus,gait,Phase,Wimberly,primary,24
Erethizon dorsatum,gait,Duty_Factor,Wimberly,primary,75
Erethizon dorsatum,gait,Foot_Posture,Wimberly,primary,plantigrade
Erethizon dorsatum,gait,Gait,Wimberly,primary,LSDC
Erethizon dorsatum,gait,Phase,Wimberly,primary,29
Erinaceus,dexterity,Dexterity,Heffner,primary,2
Erinaceus europaeus,gait,Duty_Factor,Wimberly,primary,62.96
Erinaceus europaeus,gait,Gait,Wimberly,primary,LSDC
Erinaceus europaeus,gait,Phase,Wimberly,primary,33.33
Erythrocebus patas,locomotion,Arboreal_terrestrial,Granatosky,primary,T
Erythrocebus patas,locomotion,Intermembral_index,Granatosky,primary,92
Erythrocebus patas,locomotion,Locomotor_diversity_index,Granatosky,primary,0.509101870244824
