Species,Arboreal_terrestrial,Dexterity,Duty_Factor,Extractive_foraging,Foot_Posture,Gait,Handedness_index_mean,Handedness_strength_mean,Intermembral_index,Locomotor_diversity_index,Manipulation_complexity,Phase,Tool_use,VocalRepertoire
Macaca fascicularis,A,,60.20866946,1,plantigrade,DSDC,-0.036,0.684,93,1.23184052217936,4.11,63.07784027,1,17
Macaca fuscata,T,,,,,,,,,0.80440397625966,,,,34
Macaca irus,,6,,,,,,,,,,,,
Macaca mulatta,T,6,62.76238395,,plantigrade,DSDC,,,93,1.02674163828187,,63.03289724,,18
Macaca nemestrina,,,,,,,0.035,0.527,,,,,,16
Macaca radiata,,,,,,,,,,,,,,21
Macaca silenus,,,,,,,-0.051,0.467,,,,,,15
Macaca sylvanus,,,,1,,,-0.025,0.67,,,3.76,,0,14
Macaca tonkeana,,,,0,,,-0.057,0.543,,,3,,0,20
Mandrillus sphinx,,,63.9957265,0,plantigrade,DSDC,0.034,0.389,,,2.21,56.08974,0,10
Manis pentadactyla,,1,,,,,,,,,,,,
Mellivora capensis,,,62.05,,plantigrade,LSDC,,,,,,26.14,,
Mephitis mephitis,,,74.17,,digitigrade,LSLC,,,,,,25.63,,
Mesocricetus auratus,,,70,,plantigrade,LSDC,,,,,,45,,
Microcebus murinus,A,,,,,,,,72,1.37713994283633,,,,
Micromys minutus,,,65.63,,plantigrade,LSDC,,,,1.36527966118353,,34.05,,
Microsciurus flaviventer,,,,,,,,,,1.39151305970536,,,,
Microsorex hoyi,,2,,,,,,,,,,,,
Miopithecus talapoin,,,,,,,,,,,,,,12
Mirza coquereli,A,,,,,,,,70,1.55871076469281,,,,
Monodelphis domestica,,,68.60473333,,plantigrade,LSDC,,,,,,46.31073333,,
Moschiola meminna,,,68.17528736,,unguligrade,LSLC,,,,,,20.76149,,
Moschus leucogaster,,,72.02,,unguligrade,LSDC,,,,,,30.21,,
Mungos mungo,,,60,,digitigrade,LSLC,,,,,,16,,
Muntiacus muntjak,,,67.63833992,,unguligrade,LSLC,,,,,,23.41897,,
Mus musculus,,3,86,,plantigrade,LSDC,,,,,,40,,
Muscardinus avellanarius,,,64.25,,plantigrade,LSDC,,,,,,36.74,,
Mustela putorius furo,,3,,,,,,,,,,,,
Myocastor coypus,,3,,,,,,,,,,,,
Myodes glareolus,,,68.35,,plantigrade,LSLC,,,,,,25.86,,
Myotis,,1,,,,,,,,,,,,
Myrmecobius fasciatus,,,55,,digitigrade,LSDC,,,,,,30,,
Myrmecophaga jubata,,1,,,,,,,,,,,,
Myrmecophaga tridactyla,,,70,,plantigrade,LSDC,,,,,,27,,
Mystacina tuberculata,,,60.77757143,,,LSDC,,,,,,40.67614286,,
NA,,2,,,,,,,,,,,,
Nandinia binotata,,,58.93,,,LSLC,,,,,,21.43,,
Nanger granti,,,67.38351254,,unguligrade,LSLC,,,,,,21.0492,,
Nasua nasua,,,70.51411278,,plantigrade,LSLC,,,,,,22.5366778,,
Nomascus gabriellae,,,,,,,-0.173,0.618,,,,,,
Nomascus leucogenys,,,,,,,-0.031,0.555,,,,,,19
Nomascus nasutus,A,,,,,,,,,1.12300989482099,,,,
Nycticebus coucang,A,5,,,,,,,88,1.49154515081169,,,,
Nycticebus pygmaeus,,,53.51858708,,plantigrade,DSDC,,,,,,55.66518816,,
Odocoileus virginianus,,,69,,unguligrade,LSDC,,,,,,31,,
Okapia johnstoni,,,60.65281462,,unguligrade,LSLC,,,,,,16.90813,,
Oreotragus oreotragus,,,64.28571429,,unguligrade,LSDC,,,,,,42.85714,,
Ornithorhynchus anatinus,,,58.59656149,,plantigrade,LSDC,,,,,,44.35640697,,
Orycteropus afer,,2,69.98224148,,digitigrade,LSDC,,,,,,49.46041,,
Oryctolagus cuniculus,,2,,,,,,,,,,,,
Oryx gazella,,,66.66,,unguligrade,LSLC,,,,,,14.81,,
Otolemur garnettii,,5,,,,,,,,,,,,
Ovis aries,,1,68,,unguligrade,LSDC,,,,,,28,,
Ovis canadensis,,,59.44028095,,unguligrade,LSLC,,,,,,21.6864,,
Pan paniscus,A,,,,,,0.044,0.529,102,1.64480703854916,,,,11
Pan troglodytes,T,6,62.77777778,1,plantigrade,LSDC,0.133,0.507,106,0.375029668019445,4.38,48.05556,1,12
Panthera leo,,,68,,digitigrade,LSLC,,,,,,15,,
Panthera onca,,,64.1,,digitigrade,LSLC,,,,,,10.256,,
Panthera tigris,,,64.41289317,,digitigrade,LSLC,,,,,,20.32129476,,
Papio anubis,T,6,,,,,0.108,0.527,97,0.164594459315598,,,,6
Papio hamadryas,,,,,,,0.066,0.408,,,,,,
Papio ursinus,,,64.76190476,,plantigrade,DSDC,,,,,,56.90476,,
Paradoxurus hermaphroditus,,,74.46,,digitigrade,LSLC,,,,,,24.12,,
Paraechinus,,2,,,,,,,,,,,,
Pecari tajacu,,,65.17137097,,unguligrade,LSLC,,,,,,23.79032,,
Perodicticus potto,A,,,,,,,,88,1.40937422547883,,,,5
Petaurista leucogenys,,,,,,,,,,1.63042790406195,,,,
Petaurus breviceps,,,61.5,,plantigrade,LSDC,,,,,,45,,
Phascolarctos cinereus,,,69.69869844,,plantigrade,LSDC,,,,,,45.50568,,
Philander opossum,,,62.83527778,,plantigrade,DSDC,,,,,,54.058,,
Phocoena phocoena,,1,,,,,,,,,,,,
Piliocolobus badius,A,,,,,,,,79,1.27618355697741,,,,17
Pithecia pithecia,A,,65.78083963,0,plantigrade,LSDC,-0.385,0.934,75,0.746032664714785,1.86,28.91843349,0,
Pongo pygmaeus,A,6,,,,,,,139,1.38150120846112,,,,10
Pongo sp.,A,,,1,,,-0.225,0.487,139,2.03067787197455,3.89,,1,17
Potorous apicalis,,2,,,,,,,,,,,,
Potorous tridactylus,,2,,,,,,,,,,,,
Potos flavus,,3,51.15862271,,plantigrade,DSDC,,,,,,58.32665589,,
Presbytis melalophos,A,,,,,,,,78,1.35929449357798,,,,
Presbytis siamensis,A,,,,,,,,80,0.914285581467099,,,,
Priodontes maximus,,,59.11835749,,digitigrade,DSDC,,,,,,64.79469,,
Procavia capensis,,2,,,,,,,,,,,,
Procolobus verus,A,,,,,,,,80,1.27276673020437,,,,
Procyon lotor,,3,71,,,LSLC,,,,,,14,,
Propithecus coquereli,,,63.27471447,,plantigrade,DSDC,,,,,,62.88913796,,6
Propithecus diadema,A,,,,,,,,64,0.422365483073509,,,,
Propithecus verreauxi,A,,,0,,,,,59,1.37244158736962,1.44,,0,
Propithecus verreauxi verreauxi,A,,,,,,,,59,1.00425154506567,,,,
Pseudocheirus peregrinus,,,58.14084615,,plantigrade,DSDC,,,,,,53.17378571,,
Pteropus edulis,,1,,,,,,,,,,,,
Pteropus vampyrus,,,73.19434535,,,LSDC,,,,,,29.84214946,,
Pygathrix cinerea,A,,66.18556425,,,DSDC,0.165,0.499,,1.01677920543083,,64.50219231,,
Pygathrix nemaeus,A,,63.20615207,,plantigrade,DSDC,,,94,1.09113888121898,,64.94111999,,
Rattus norvegicus,,3,62,,plantigrade,LSDC,,,,,,36,,
Rhinolophus,,1,,,,,,,,,,,,
Rhinopithecus roxellana,,,69.43838721,,plantigrade,DSDC,-0.319,0.729,,,,62.15191445,,
Saguinus bicolor,,,,0,,,,,,,1,,0,
Saguinus fuscicollis,A,,,,,,,,79,1.11825939911062,,,,16
Saguinus geoffroyi,A,,,,,,,,76,1.1706981366311,,,,
Saguinus imperator,,,,1,,,,,,,1.62,,0,33
Saguinus labiatus,A,,,0,,,,,73,1.63379907179792,2.27,,0,
Saguinus midas,A,,,,,,,,77,1.38602395226123,,,,33
Saguinus mystax,A,,,,,,,,74,1.11906615148242,,,,
Saguinus oedipus,,4,,0,,,,,,,1.7,,0,14
Saiga tatarica,,,66.59090909,,unguligrade,LSLC,,,,,,21.36364,,
Saimiri boliviensis,A,,,,,,,,,1.03218172597006,,,,
Saimiri boliviensis boliviensis,,5,,,,,,,,,,,,
Saimiri oerstedii,A,,,,,,,,80,0.798357325771174,,,,
Saimiri sciureus,A,,54.255435,1,plantigrade,DSDC,-0.119,0.757,80,1.52127517730103,1.94,58.76699956,0,21
Sapajus apella,A,5,65.5979992,1,,LSDC,-0.028,0.687,81,1.83687468245124,2.54,49.53562611,1,31
Sapajus flavius,,,,,,,-0.13,0.769,,,,,,
Sapajus xanthosternos,,,,,,,0.089,0.677,,,,,,
Sarcophilus harrisii,,,62.315,,,LSLC,,,,,,20.12,,
Scalopus aquaticus,,1,,,,,,,,,,,,
Sciurillus pusillus,,,,,,,,,,1.05509170923132,,,,
Sciurus griseus,,,66.2929198,,plantigrade,LSDC,,,,,,35.32612782,,
Sciurus hudsonius,,3,,,,,,,,,,,,
Sciurus igniventris,,,,,,,,,,1.76932881551122,,,,
Sciurus niger,,,67.06451811,,,LSDC,,,,,,26.26435189,,
Sciurus vulgaris,,,,,,,,,,1.36056602293838,,,,
Semnopithecus entellus,,,,,,,-0.184,0.56,,,,,,16
Setonix brachyurus,,3,,,,,,,,,,,,
Spermophilus tridecemlineatus,,3,,,,,,,,,,,,
Sus scrofa,,1,70.80209895,,unguligrade,LSLC,,,,,,25.74963,,
Symphalangus syndactylus,A,,,0,,,-0.048,0.482,147,0.639031859650177,3.08,,0,9
Tachyglossus aculeatus,,2,67,,plantigrade,LSLC,,,,,,13,,
Tadarida cynocephala,,1,,,,,,,,,,,,
Talpa europaea,,,63.66,,plantigrade,DSDC,,,,,,33.33,,
Tamias sibiricus,,,,,,,,,,1.48235863288788,,,,
Tamias striatus,,3,,,,,,,,1.02614009593832,,,,
Tamiasciurus hudsonicus,,,,,,,,,,1.16010264004331,,,,
Tapirus,,1,,,,,,,,,,,,
Tapirus bairdii,,,65.0060024,,digitigrade,LSLC,,,,,,21.96879,,
Tapirus indicus,,,61,,digitigrade,LSDC,,,,,,26,,
Tapirus terrestris,,,70,,digitigrade,LSDC,,,,,,26,,
Tarsius,,4,,,,,,,,,,,,
Tarsius bancanus,A,,,,,,,,52,0.861711959324643,,,,
Tarsius dentatus,A,,,,,,,,55,1.10856520816426,,,,
Tarsius tarsier,A,,,,,,,,55,0.904363612551585,,,,
Thallomys paedulcus,,,71.875,,plantigrade,LSDC,,,,,,31.885,,
Theropithecus gelada,,,,0,,,0.053,0.257,,,4.17,,0,22
Trachypithecus auratus,,,,,,,-0.256,0.984,,,,,,5
Trachypithecus delacouri,A,,60.89086618,,,DSDC,,,77,0.880966134812287,,59.72837684,,
Trachypithecus francoisi,A,,,,,,,,,1.27772088326507,,,,15
Trachypithecus hatinhensis,,,60.93216843,,,DSDC,-0.248,0.817,,,,61.45227488,,
Trachypithecus johnii,,,,,,,,,,,,,,16
Trachypithecus leucocephalus,A,,,,,,,,80,1.11352363236587,,,,
Trachypithecus obscurus,A,,,,,,,,83,0.930549435609321,,,,
Trachypithecus phayrei,,,63.83,,plantigrade,DSDC,,,,,,61.25,,
Trachypithecus poliocephalus,,,60.99488998,,,DSDC,,,,,,64.09781361,,
Tragelaphus strepsiceros,,,62.67948718,,unguligrade,LSDC,,,,,,32.03419,,
Trichosurus vulpecula,,3,56.55711,,plantigrade,DSDC,,,,,,66.972,,
Tupaia belangeri,,3,,,,,,,,,,,,
Tupaia minor,,,,,,,,,,1.16912339604188,,,,
Tupaia tana,,,64.62,,digitigrade,LSDC,,,,0.673597909201366,,38.08,,
Ursus americanus,,,67,,plantigrade,LSLC,,,,,,18,,
Ursus arctos,,,65,,plantigrade,LSLC,,,,,,17,,
Ursus maritimus,,,68,,plantigrade,LSLC,,,,,,16,,
Varecia rubra,,,,0,,,,,,,1.33,,0,13
Varecia variegata,A,,57.19757351,,plantigrade,DSDC,,,72,1.40007561095226,,64.53997173,,11
Varecia variegata rubra,A,,,,,,,,72,1.49699401198051,,,,
Vicugna pacos,,,55.80683333,,,LSLC,,,,,,12.92514634,,
Vombatus ursinus,,,67.33333333,,plantigrade,LSLC,,,,,,22.41667,,
Vulpes vulpes,,,63.69606004,,digitigrade,LSDC,,,,,,32.52033,,
Zaglossus bruijni,,,67.1637005,,plantigrade,LSLC,,,,,,24.28250762,,
Zalophus wollebaeki,,,59.48,,,LSLC,,,,,,19.11,,
