	Duty_Factor	Phase	Body_Mass_.g.	Hindlimb_Length_.mm.	Log_HL	Log_BM	Log_HL_BM.1.3	Habitat	Order	Gait	ArcSin_Phase	Foot_Posture	ArcSin_DF
Nycticebus_pygmaeus	53.51858708	55.66518816	342.32	144.04	2.158483113	2.534432273	1.313672355	arboreal	Primates	DSDC	0.842171964	plantigrade	0.82061314
Cheirogaleus_medius	54.58070367	55.44482598	196.76	89.27	1.950705535	2.293936814	1.18605993	arboreal	Primates	DSDC	0.839954614	plantigrade	0.831269521
Philander_opossum	62.83527778	54.058	425.81	125.05	2.097083696	2.629215856	1.220678411	terrestrial	Didelphimorphia	DSDC	0.826022846	plantigrade	0.915204154
Pseudocheirus_peregrinus	58.14084615	53.17378571	895.22	133.4	2.12515583	2.951929776	1.141179238	arboreal	Diprotodontia	DSDC	0.817157372	plantigrade	0.867170665
Bradypus_variegatus	78.57	52.04	4136.36	217.35	2.337159645	3.61661833	1.131620201	arboreal	Pilosa	DSDC	0.805803827	plantigrade	1.089503545
Acrobates_pygmaeus	55.35	50.19	13.84	36.888	1.566885109	1.14113609	1.186506413	arboreal	Diprotodontia	LSDC	0.787298168	plantigrade	0.83900078
Sapajus_apella	65.5979992	49.53562611	2758.38	290.62	2.463325498	3.440654095	1.3164408	arboreal	Primates	LSDC	0.780754358		0.944025798
Orycteropus_afer	69.98224148	49.46041	56175.2	442	2.645422269	4.749544627	1.062240727	terrestrial	Afrotheria	LSDC	0.780002159	digitigrade	0.990962841
Choloepus_didactylus	72.63339384	49.43348146	6646.5	382.99	2.583187435	3.822593009	1.308989765	arboreal	Pilosa	LSDC	0.779732857	plantigrade	1.020275685
Pan_troglodytes	62.77777778	48.05556	45000	643.14	2.808305521	4.653212514	1.257234683	terrestrial	Primates	LSDC	0.765948859	plantigrade	0.914609312
Monodelphis_domestica	68.60473333	46.31073333	70	56.19	1.749659032	1.84509804	1.134626352	terrestrial	Didelphimorphia	LSDC	0.748471939	plantigrade	0.97603052
Phascolarctos_cinereus	69.69869844	45.50568	6528.74	267.58	2.427453649	3.814829374	1.155843858	arboreal	Diprotodontia	LSDC	0.740394222	plantigrade	0.987873797
Hippopotamus_amphibius	76	45	1536310.4	857.47	2.933218934	6.186478971	0.871059278	terrestrial	Artiodactyla	LSDC	0.735314453	digitigrade	1.058823639
Mesocricetus_auratus	70	45	98.6	65.02	1.813046965	1.993876915	1.148421327	terrestrial	Rodentia	LSDC	0.735314453	plantigrade	0.991156586
Petaurus_breviceps	61.5	45	120.76	77.818	1.891080065	2.081923104	1.197105697	arboreal	Diprotodontia	LSDC	0.735314453	plantigrade	0.901437005
Chiropotes_satanas	66.84392775	44.79006856	2967.27	291.38	2.464459739	3.472357066	1.307007384	arboreal	Primates	LSDC	0.733204109	plantigrade	0.957198012
Ornithorhynchus_anatinus	58.59656149	44.35640697	1484.25	157.79	2.198079476	3.171507058	1.140910457	terrestrial	Monotremata	LSDC	0.728841708	plantigrade	0.871793042
Gorilla_gorilla	61.54791155	43.42752	112588.99	753.32	2.876979498	5.051495923	1.193147523	terrestrial	Primates	LSDC	0.7194826	plantigrade	0.901929376
Oreotragus_oreotragus	64.28571429	42.85714	13486.55	409	2.611723308	4.129900867	1.235089686	terrestrial	Artiodactyla	LSDC	0.71372435	unguligrade	0.930274014
Isoodon_macrourus	74.38809091	41.78658333	1505.77	192.98	2.285512302	3.17775864	1.226259422	terrestrial	Peramelemorphia	LSDC	0.702890052	plantigrade	1.040160194
Dasyurus_maculatus	64.27399	41.39767	3284.15	181.877	2.259777782	3.516422985	1.087636787	terrestrial	Dasyuromorphia	LSDC	0.698944727	digitigrade	0.930151676
Mystacina_tuberculata	60.77757143	40.67614286	13.9	41.573	1.618811365	1.1430148	1.237806432	arboreal	Chiroptera	LSDC	0.691610581		0.894026412
Mus_musculus	86	40	19.3	31.2	1.494154594	1.285557309	1.065635491	terrestrial	Rodentia	LSDC	0.684719203	plantigrade	1.187299323
Tupaia_tana	64.62	38.08	182.33	108.85	2.036828433	2.260858132	1.283209056	arboreal	Scandentia	LSDC	0.665039156	digitigrade	0.933765944
Muscardinus_avellanarius	64.25	36.74	29.19	41.44	1.617419747	1.465234095	1.129008382	terrestrial	Rodentia	LSDC	0.651192492	plantigrade	0.929901377
Castor_canadensis	74.15624349	36.6823	18124.41	201.94	2.305222352	4.258263878	0.885801059	terrestrial	Rodentia	LSDC	0.650593965	plantigrade	1.037508285
Dasypus_novemcinctus	54.54	36.36	3580	163.78	2.214260867	3.553883027	1.029633191	terrestrial	Cingulata	LSDC	0.647247051	digitigrade	0.83086078
Rattus_norvegicus	62	36	282.89	94.63	1.97602884	2.451617596	1.158822975	terrestrial	Rodentia	LSDC	0.643501109	plantigrade	0.906581089
Apodemus_agrarius	74.01	35.52	21.11	59.96	1.777861624	1.324488233	1.336365546	terrestrial	Rodentia	LSDC	0.638493712	plantigrade	1.035839517
Sciurus_griseus	66.2929198	35.32612782	703.85	143.94	2.158181498	2.847480115	1.20902146	arboreal	Rodentia	LSDC	0.636466944	plantigrade	0.951357933
Didelphis_virginiana	76.54	34.86	2290	154.79	2.1897429	3.359835482	1.069797739	terrestrial	Didelphimorphia	LSDC	0.631583558	plantigrade	1.065170285
Micromys_minutus	65.63	34.05	6.99	28.41	1.453471234	0.844477176	1.171978842	terrestrial	Rodentia	LSDC	0.623061076	plantigrade	0.944362652
Erinaceus_europaeus	62.96	33.33	777.95	101.65	2.007107383	2.890951685	1.043456821	terrestrial	Eulipotyphla	LSDC	0.615444353		0.916495064
Talpa_europaea	63.66	33.33	87.53	46.28	1.66539335	1.942156928	1.018007707	terrestrial	Eulipotyphla	DSDC	0.955245909	plantigrade	0.923757173
Vulpes_vulpes	63.69606004	32.52033	4750	318.38	2.502945778	3.67669361	1.277381242	terrestrial	Carnivora	LSDC	0.606829621	digitigrade	0.924132074
Tragelaphus_strepsiceros	62.67948718	32.03419	206056.41	1018	3.007747778	5.313986129	1.236419068	terrestrial	Artiodactyla	LSDC	0.601630636	unguligrade	0.913592919
Thallomys_paedulcus	71.875	31.885	77.7	49.64	1.695831773	1.890421019	1.065691433	terrestrial	Rodentia	LSDC	0.600030982	plantigrade	1.011806461
Odocoileus_virginianus	69	31	75901.25	560	2.748188027	4.880248928	1.121438384	terrestrial	Artiodactyla	LSDC	0.590500015	unguligrade	0.980296312
Moschus_leucogaster	72.02	30.21	17000	465	2.667452953	4.230448921	1.257303312	terrestrial	Artiodactyla	LSDC	0.581928749	unguligrade	1.013420242
Myrmecobius_fasciatus	55	30	511.44	112.04	2.0493731	2.708794691	1.146441536	terrestrial	Dasyuromorphia	LSDC	0.57963974	digitigrade	0.835481874
Pteropus_vampyrus	73.19434535	29.84214946	1027.54	199.05	2.298962182	3.011798737	1.29502927	arboreal	Chiroptera	LSDC	0.57791615		1.026587031
Desmodus_rotundus	68.15073417	29.50951127	23.1	47.471	1.67642838	1.36361198	1.221891054	arboreal	Chiroptera	LSDC	0.574275408		0.97114879
Bos_taurus	69	29	618642.42	958	2.981365509	5.791439696	1.05088561	terrestrial	Artiodactyla	LSDC	0.568675503	unguligrade	0.980296312
Erethizon_dorsatum	75	29	7419.46	206	2.31386722	3.870372298	1.023743121	terrestrial	Rodentia	LSDC	0.568675503	plantigrade	1.047197551
Pithecia_pithecia	65.78083963	28.91843349	1667.19	285.07	2.454951516	3.221985097	1.380956484	arboreal	Primates	LSDC	0.567776348	plantigrade	0.945951464
Apodemus_flavicollis	72.51	28.77	31.6	59.96	1.777861624	1.499687083	1.27796593	terrestrial	Rodentia	LSDC	0.566138145	plantigrade	1.018892818
Cervus_elaphus	63.47494553	28.19172	240867.13	859.0135	2.933999989	5.381777538	1.140074143	terrestrial	Artiodactyla	LSDC	0.559731576	unguligrade	0.921834489
Hydrochoerus_hydrochaeris	69.21052632	28.15789	48144.91	461	2.663700925	4.682550379	1.102850799	terrestrial	Rodentia	LSDC	0.559355563	digitigrade	0.982574445
Ovis_aries	68	28	39097.89	537	2.729974286	4.59215332	1.199256512	terrestrial	Artiodactyla	LSDC	0.557598827	unguligrade	0.96953211
Cryptoprocta_ferox	70.43010753	27.47909	9500	268.1	2.428296814	3.977723605	1.102388946	arboreal	Carnivora	LSDC	0.551781319	digitigrade	0.995859165
Enhydra_lutris	67.155	27.285	27410.93	276.6	2.441852176	4.437923771	0.962544252	terrestrial	Carnivora	LSDC	0.549605019		0.960505789
Myrmecophaga_tridactyla	70	27	29531.83	513.29	2.710362803	4.47029036	1.220266017	terrestrial	Pilosa	LSDC	0.546400564	plantigrade	0.991156586
Sciurus_niger	67.06451811	26.26435189	765.9	179.8	2.254789687	2.88417207	1.293398998	arboreal	Rodentia	LSDC	0.538079225		0.959542835
Mellivora_capensis	62.05	26.14	8000	207.3	2.316599302	3.903089987	1.015569306	terrestrial	Carnivora	LSDC	0.536665281	plantigrade	0.907096208
Ammotragus_lervia	71	26	94202.22	655.97	2.816883978	4.974061138	1.158863599	terrestrial	Artiodactyla	LSDC	0.535070807	unguligrade	1.002120823
Tapirus_indicus	61	26	311209.19	703	2.846955325	5.493052413	1.015937854	terrestrial	Perissodactyla	LSDC	0.535070807	digitigrade	0.896305399
Tapirus_terrestris	70	26	169496.64	640.54	2.806546255	5.229161093	1.063492558	terrestrial	Perissodactyla	LSDC	0.535070807	digitigrade	0.991156586
Myodes_glareolus	68.35	25.86	20.73	38.86	1.589502796	1.316599302	1.150636362	terrestrial	Rodentia	LSLC	0.533473546	plantigrade	0.973289124
Sus_scrofa	70.80209895	25.74963	84471.54	559.89	2.748102711	4.926710412	1.105865907	terrestrial	Artiodactyla	LSLC	0.532212349	unguligrade	0.999942343
Mephitis_mephitis	74.17	25.63	2386	184	2.264817823	3.377670439	1.138927677	terrestrial	Carnivora	LSLC	0.530843342	digitigrade	1.037665417
Equus_asinus	73	25	164998.49	748.1695	2.874	5.21747997	1.13484001	terrestrial	Perissodactyla	LSLC	0.523598776	unguligrade	1.024395763
Zaglossus_bruijni	67.1637005	24.28250762	8951.71	212.558	2.327477455	3.951906004	1.010175454	terrestrial	Monotremata	LSLC	0.515273487	plantigrade	0.960598419
Canis_aureus	73.28703704	24.25926	11000	319.09	2.503913194	4.041392685	1.156782299	terrestrial	Carnivora	LSLC	0.515002359	digitigrade	1.027633912
Paradoxurus_hermaphroditus	74.46	24.12	3200	227.38	2.356752262	3.505149978	1.188368936	arboreal	Carnivora	LSLC	0.513376369	digitigrade	1.040984296
Equus_caballus	67	24	403598.53	1063	3.026533265	5.605949576	1.157883406	terrestrial	Perissodactyla	LSLC	0.511972688	unguligrade	0.958856612
Equus_burchellii	67	24	279160.65	881	2.944975908	5.445854201	1.129691175	terrestrial	Perissodactyla	LSLC	0.511972688	unguligrade	0.958856612
Pecari_tajacu	65.17137097	23.79032	21133.69	350.54	2.544737582	4.324975333	1.103079138	terrestrial	Artiodactyla	LSLC	0.509514207	unguligrade	0.939541966
Leptailurus_serval	58.31083859	23.49302641	13950	433	2.636487896	4.144574208	1.25496316	terrestrial	Carnivora	LSLC	0.506015641	digitigrade	0.868894073
Muntiacus_muntjak	67.63833992	23.41897	17611.59	368	2.565847819	4.245798566	1.15058163	terrestrial	Artiodactyla	LSLC	0.505141764	unguligrade	0.965661341
Cephalophus_silvicultor	67.2	23.12	62006.6	646	2.810232518	4.792437918	1.212753212	terrestrial	Artiodactyla	LSLC	0.501604054	unguligrade	0.960984953
Capra_aegagrus	72	23	47386.47	546	2.737192643	4.675654358	1.17864119	terrestrial	Artiodactyla	LSLC	0.500179609	unguligrade	1.0131975
Camelus_dromedarius	75.01622323	22.78823	492714.47	1478	3.169674434	5.692595317	1.272142662	terrestrial	Artiodactyla	LSLC	0.497659439	digitigrade	1.047384901
Nasua_nasua	70.51411278	22.5366778	3775.5	250.03454	2.398000007	3.576974475	1.205675182	terrestrial	Carnivora	LSLC	0.494655086	plantigrade	0.996779936
Cephalophus_natalensis	60	22.5	12724.51	328.93	2.517103485	4.104641067	1.148889796	terrestrial	Artiodactyla	LSLC	0.494216044	unguligrade	0.886077124
Vombatus_ursinus	67.33333333	22.41667	26000	275.66	2.440373752	4.414973348	0.968715969	terrestrial	Diprotodontia	LSLC	0.49321762	plantigrade	0.962405691
Dendrohyrax_arboreus	55.55	22.22	2981.11	147.37	2.168409084	3.474378001	1.010283083	arboreal	Afrotheria	LSLC	0.490855952		0.841012769
Dendrolagus_goodfellowi	68	22	7948.78	308.61	2.489409995	3.900300477	1.189309836	arboreal	Diprotodontia	LSLC	0.488205263	plantigrade	0.96953211
Tapirus_bairdii	65.0060024	21.96879	293781.59	693.65	2.841140391	5.468024577	1.018465532	terrestrial	Perissodactyla	LSLC	0.487828459	digitigrade	0.937807414
Felis_catus	63.8762843	21.71555499	3790	272.71	2.435701063	3.57863921	1.242821327	terrestrial	Carnivora	LSLC	0.484763948	digitigrade	0.926006995
Ovis_canadensis	59.44028095	21.6864	74644.87	739	2.868644438	4.872999966	1.244311116	terrestrial	Artiodactyla	LSLC	0.484410305	unguligrade	0.880371037
Nandinia_binotata	58.93	21.43	2167.2	209.86	2.321929669	3.335898992	1.209963338	arboreal	Carnivora	LSLC	0.481292781		0.875179858
Arctictis_binturong	70.64	21.41	12999.99	344.8	2.537567257	4.113943018	1.166252918	arboreal	Carnivora	LSLC	0.481049037		0.998161201
Saiga_tatarica	66.59090909	21.36364	37734.01	577	2.761175813	4.57673296	1.23559816	terrestrial	Artiodactyla	LSLC	0.480483719	unguligrade	0.954513315
Nanger_granti	67.38351254	21.0492	55464.46	788	2.896526217	4.744014789	1.315187954	terrestrial	Artiodactyla	LSLC	0.476637524	unguligrade	0.962940763
Camelus_bactrianus	72	21	554515.91	1318	3.11991541	5.743914011	1.205277406	terrestrial	Artiodactyla	LSLC	0.476033818	digitigrade	1.0131975
Ceratotherium_simum	68	21	2285939.43	1057	3.024074987	6.359064719	0.904386748	terrestrial	Perissodactyla	LSLC	0.476033818	digitigrade	0.96953211
Kobus_ellipsiprymnus	67.16	20.9	204393.48	946	2.975891136	5.310467038	1.205735457	terrestrial	Artiodactyla	LSLC	0.47480517	unguligrade	0.960559021
Moschiola_meminna	68.17528736	20.76149	3130.95	193.35	2.286344176	3.495676132	1.121118799	terrestrial	Artiodactyla	LSLC	0.473099791	unguligrade	0.971412325
Ailurus_fulgens	61.16666667	20.41667	5170.08	236.4	2.373647472	3.713497263	1.135815051	arboreal	Carnivora	LSLC	0.468835889	plantigrade	0.898014587
Panthera_tigris	64.41289317	20.32129476	142000	744.94	2.872121295	5.152288344	1.154691846	terrestrial	Carnivora	LSLC	0.467651811	digitigrade	0.931601651
Ailuropoda_melanoleuca	66.04377104	20.16835	117999.99	552.3	2.742175043	5.071881971	1.05154772	terrestrial	Carnivora	LSLC	0.465748679	plantigrade	0.948724983
Sarcophilus_harrisii	62.315	20.12	8202.25	214.237	2.330894478	3.913933002	1.026250144	terrestrial	Dasyuromorphia	LSLC	0.465145928		0.909828556
Caracal_caracal	65.76364335	20.07495141	17630	365.52	2.562911145	4.246252312	1.147493708	terrestrial	Carnivora	LSLC	0.464583845	digitigrade	0.945770249
Leopardus_pardalis	60.88318534	19.12393178	13500	334.76	2.524733559	4.130333768	1.147955636	terrestrial	Carnivora	LSLC	0.452604398	digitigrade	0.895108236
Zalophus_wollebaeki	59.48	19.11	158000	415	2.618048097	5.198657087	0.885162401	terrestrial	Carnivora	LSLC	0.452427249		0.880775534
Aepyceros_melampus	68	19	52591.69	723	2.859138297	4.720917127	1.285499255	terrestrial	Artiodactyla	LSLC	0.451026812	unguligrade	0.96953211
Elephas_maximus	73	19	3269794.34	1902.45	3.279313252	6.514520438	1.107806439	terrestrial	Afrotheria	LSLC	0.451026812	plantigrade	1.024395763
Alcelaphus_buselaphus	72.4137931	18.96552	160937.86	805	2.90579588	5.206658222	1.17024314	terrestrial	Artiodactyla	LSLC	0.4505872	unguligrade	1.017815969
Canis_lupus	60.34	18.965	44590	557.49	2.746237082	4.649237472	1.196491257	terrestrial	Carnivora	LSLC	0.450580568	digitigrade	0.889549724
Acinonyx_jubatus	70	18	49270	616.87	2.79019365	4.692582562	1.225999462	terrestrial	Carnivora	LSLC	0.438149031	digitigrade	0.991156586
Connochaetes_taurinus	72	18	198619.68	920	2.963787827	5.298022278	1.197780401	terrestrial	Artiodactyla	LSLC	0.438149031	unguligrade	1.0131975
Lasiorhinus_krefftii	73	18	31849.99	275.66	2.440373752	4.5031093	0.939337318	terrestrial	Diprotodontia	LSLC	0.438149031	plantigrade	1.024395763
Ursus_americanus	67	18	110500	639.7348	2.805999976	5.043362278	1.124879217	terrestrial	Carnivora	LSLC	0.438149031	plantigrade	0.958856612
Antilocapra_americana	62.01923077	17.94872	47450.01	733	2.865103975	4.676236308	1.306358539	terrestrial	Artiodactyla	LSLC	0.437481276	unguligrade	0.906779196
Cuon_alpinus	69.61538462	17.94872	15800	429.23	2.632690068	4.198657087	1.233137706	terrestrial	Carnivora	LSLC	0.437481276	digitigrade	0.986967698
Lama_glama	72	17	78322.67	836	2.922206277	4.893887484	1.290910449	terrestrial	Artiodactyla	LSLC	0.424988783	digitigrade	1.0131975
Loxodonta_africana	74	17	3824539.93	1860	3.269512944	6.5825792	1.075319878	terrestrial	Afrotheria	LSLC	0.424988783	plantigrade	1.03572552
Lynx_rufus	71	17	10850	400.62	2.602732627	4.035429738	1.257589381	terrestrial	Carnivora	LSLC	0.424988783	digitigrade	1.002120823
Ursus_arctos	65	17	196287.5	709.5778	2.85100002	5.292892644	1.086702472	terrestrial	Carnivora	LSLC	0.424988783	plantigrade	0.93774449
Bubalus_bubalis	63.16964286	16.96429	929500.97	815	2.911157609	5.968249847	0.921740993	terrestrial	Artiodactyla	LSLC	0.424513253	unguligrade	0.918666949
Okapia_johnstoni	60.65281462	16.90813	230001.14	938	2.972202838	5.361729989	1.184959509	terrestrial	Artiodactyla	LSLC	0.423764595	unguligrade	0.89274917
Bison_bison	71	16	624577.07	992	2.996511672	5.795586036	1.06464966	terrestrial	Artiodactyla	LSLC	0.411516846	unguligrade	1.002120823
Mungos_mungo	60	16	1400	147.2	2.16790781	3.146128036	1.119198465	terrestrial	Carnivora	LSLC	0.411516846	digitigrade	0.886077124
Ursus_maritimus	68	16	371703.81	785.2356	2.894999981	5.570197013	1.038267643	terrestrial	Carnivora	LSLC	0.411516846	plantigrade	0.96953211
Panthera_leo	68	15	175890	741.72	2.87023999	5.245241149	1.121826273	terrestrial	Carnivora	LSLC	0.397699415	digitigrade	0.96953211
Oryx_gazella	66.66	14.81	188404.45	865	2.937016107	5.275091156	1.178652389	terrestrial	Artiodactyla	LSLC	0.395031896	unguligrade	0.955245909
Giraffa_camelopardalis	68	14	964654.73	1448.5	3.1609185	5.984371898	1.166127867	terrestrial	Artiodactyla	LSLC	0.383497004	unguligrade	0.96953211
Procyon_lotor	71	14	6179	320	2.505149978	3.790918195	1.24151058	terrestrial	Carnivora	LSLC	0.383497004		1.002120823
Chrysocyon_brachyurus	62.84858552	13.18249	22000	716.27	2.855076762	4.342422681	1.407602535	terrestrial	Carnivora	LSLC	0.371568121	digitigrade	0.915341851
Tachyglossus_aculeatus	67	13	3700	127.74	2.106326912	3.568201724	0.916926337	terrestrial	Monotremata	LSLC	0.368862984	plantigrade	0.958856612
Vicugna_pacos	55.80683333	12.92514634	44400	718	2.856124444	4.64738297	1.306996788	terrestrial	Artiodactyla	LSLC	0.367748729		0.84359783
Panthera_onca	64.1	10.256	82550	549.75	2.740165238	4.916717078	1.101259545	terrestrial	Carnivora	LSLC	0.325993271	digitigrade	0.928337202
Crocuta_crocuta	66	10	63369.98	515.2286	2.711999962	4.80188357	1.111372106	terrestrial	Carnivora	LSLC	0.321750554	digitigrade	0.948262907
