"Species","BOL","RB","PRPI","TOL","TRL","COA","SIN"
"Crocidura russula",15.5,3.5,13,4.4,0.64,0.57,0.71
"Suncus etruscus",4.7,1.2,4,1.4,0.2,0.14,0.15
"Suncus murinus",36,7.2,28.6,6.6,1.3,0.98,1.6
"Sylvisorex granti",15.4,3.3,14.1,4.4,0.56,0.57,0.49
"Sylvisorex negalura",16.6,3.2,15.3,4.8,0.55,0.55,0.5
"Ruwensorisorex suncoides",17.5,4.1,17.8,5.1,0.71,0.63,0.63
"Myosorex babaulti",34.5,7.3,30,11,1.4,1.4,1.2
"Scuisorex somereni",58.3,13,48.9,13.8,3.5,2.2,1.9
"Desmana moschata",141.4,34.3,135.8,40,6.7,4.4,8.4
"Galemys pyrenaicus",39,8,36.5,18.8,1.8,0.93,4.1
"Talpa europaea",59.6,11.7,45.4,19.1,2.5,4,2.9
"Tupaia glis",131.6,29,104.7,28.3,7.2,7.1,5.3
"Tupaia minor",94.3,22.8,81.2,20.2,4.8,4,4.9
"Urogale everetti",184.2,37.5,137.8,51.4,12.8,12.1,4.9
"Microcebus murinus",43,8.1,38.2,12.3,1.6,2,4.3
"Cheirogaleus major",157.5,19.4,144,39.4,5.1,10,11.8
"Cheirogaleus medius",102,14,75.1,27.5,3.2,5.7,6.9
"Eulemur albifrons",206.7,39,208.5,92.6,12.4,12.9,14.6
"Varecia variegata",369,66.4,307.8,128.1,21.5,35.1,57.8
"Lepilemur ruficaudatus",112.7,14.3,104,27.1,4.8,6,12.4
"Avahi laniger laniger",89.1,14.4,96.5,33,4.2,5.7,16.8
"Avahi laniger occidentalis",70,10.9,85.4,26.8,3.2,6.2,13.5
"Propithecus verreauxi",147.4,35.3,182.9,82.7,10.1,17.6,33.7
"Indri indri",167.4,33,221.2,91.5,10.9,34.1,49
"Daubentonia madagascariensis",684.9,130.1,524.1,240,26.4,43.5,92.3
"Loris tardigradus",85.8,11.1,100,22.5,2.5,7.9,7.9
"Nycticebus coucang",159.3,38.5,179,52.2,6.4,22.9,21.5
"Perodicticus potto",309.7,69.4,246.6,84.3,11.5,20.6,26.6
"Galago senegalensis",79.2,11.1,50.3,15.2,3.1,4.3,5.2
"Otolemur crassicaudatus",165.9,27.2,145.2,35.7,6.1,10.4,12.5
"Galagoides demidoff",83.1,7.4,83.9,19.4,2.6,3.4,6.3
"Tarsius sp.",18.8,2.9,16.3,8.3,0.99,5.6,5.2
"Callithrix jacchus",22.8,2.7,34.6,19.4,3.6,14.1,10.1
"Cebuella pygmaea",11.4,2.1,24.5,7.8,1.3,6.1,5.8
"Saguinus midas",17.3,4.4,40.3,16.8,4.2,22.4,9.9
"Saguinus oedipus",19.1,3.9,54,23.9,5.4,16,11.2
"Callimico goeldii",27,3.3,41.5,29.3,5.4,16.8,9.6
"Cebus albifrons",39.9,8.6,199.4,103.5,12.9,84.4,63.6
"Aotus trivirgatus",56,9.7,90.6,42.3,13,26.3,18.7
"Callicebus moloch",19.2,4.4,96.7,34.7,8,28.6,27.2
"Saimiri sciureus",26.8,6.5,60.4,41.7,8.7,34.4,19
"Pithecia monachus",34.8,9.2,141.4,2.3,17.5,31.4,21.9
"Alouatta seniculus",41.4,26.2,158.3,93.6,17.2,79.8,30.7
"Ateles geoffroyi",90.4,9.5,324.8,163.7,26.3,98.1,134.1
"Lagothrix lagothricha",73.4,16.1,342.9,115.5,23.2,61.5,82.7
"Macaca mulatta",84.3,15.2,203.1,113.8,35.1,123.4,50.9
"Cercocebus albigena",121.4,22.2,364,158.5,59.7,185.2,67.9
"Papio anubis",286.8,42.9,412.9,201.3,87.7,326.2,84.8
"Cercopithecus ascanius",99.5,12.5,223.3,86.5,24.9,101.8,30.1
"Cercopithecus mitis",116.7,24.6,191.8,103.6,33.7,152.4,55
"Miopithecus talapoin",27.8,8.8,132.1,51.5,14.1,46,40.2
"Erythrocebus patas",51.8,25,235,121.2,29.7,180,59.8
"Procolobus badius",51.3,17.5,187.1,86.6,22.8,65.4,56.6
"Pygathrix nemaeus",10.7,13,151.8,121.5,13.1,98.9,54.2
"Nasalis larvatus",30.3,14.6,196.3,164.8,26.6,88.7,58.1
"Hylobates lar",43.9,19,215.4,139.9,17.3,109.2,96.5
"Pan troglodytes",257.2,61.3,577.5,298,75,174.8,141.5
"Gorilla gorilla",315.7,56.4,798.2,610.2,129.4,236,287.8
"Homo sapiens",113.5,109.5,1674.8,692.2,148.3,848.6,211.8
