"group","species","common_name","brain_volume_mm3","total_cb_volume_mm3","vermis_excl_cb10_mm3","hemisphere_excl_fl_mm3","flocculo_nodular_cb_cx_mm3","ratio_hemisph_vermis","total_cb_cx_volume_mm3","cb_white_matter_mm3","pn_rttg_volume_mm3","deep_cb_nu_volume_mm3","cb_ext_surface_esa_mm2","cb_pial_surface_psa_mm2","foliation_index","source"
"Diprotodontid","Petrogale inornata","Unadorned rock wallaby",18624,2298,980,777,91.4,0.79,1848,399,69.2,49.7,758,2134,2.82,"Ashwell__2020"
"Diprotodontid","Petrogale lateralis","Black-footed rock wallaby",14399,1827,705,661,110,0.94,1476,321,53.4,30.5,578,2005,3.47,"Ashwell__2020"
"Diprotodontid","Petrogale penicillata","Brush-tailed rock wallaby",18470,2333,1035,633,132,0.61,1799,485,76.2,48.4,686,2077,3.03,"Ashwell__2020"
"Diprotodontid","Petrogale puella (assimilis)","Allied rock-wallaby",16073,2301,877,697,135,0.79,1710,521,64.8,70.5,702,1915,2.73,"Ashwell__2020"
"Diprotodontid","Petrogale purpureicollis","Purple-necked rock-wallaby",17042,2125,772,651,113,0.84,1536,534,61.9,54.9,672,1978,2.94,"Ashwell__2020"
"Diprotodontid","Petropseudes dahli","Rock ringtail possum",3989,544,219,183,28.6,0.84,430,101,10.3,12,313,780,2.49,"Ashwell__2020"
"Diprotodontid","Phalanger gymnotis","Ground cuscus",10072,1289,539,421,56.5,0.78,1017,228,34.9,44.5,546,1509,2.76,"Ashwell__2020"
"Diprotodontid","Phalanger maculatus","Common spotted cuscus",14485,1789,784,630,68,0.8,1482,262,33.2,45.4,687,2025,2.95,"Ashwell__2020"
"Diprotodontid","Phalanger vestitus","Stein's cuscus",7359,817,347,303,42.9,0.87,693,102,22.7,22.6,393,1031,2.62,"Ashwell__2020"
"Dasyuromorphid","Phascogale tapoatafa","Brush-tailed phascogale",1495,165,57.4,57.2,7.92,1,122,35.7,5.28,6.3,156,252,1.62,"Ashwell__2020"
"Diprotodontid","Phascolarctos cinereus","Koala",18323,2663,1140,827,131,0.73,2098,481,90.1,84.2,948,2433,2.57,"Ashwell__2020"
"Carnivore","Phoca vitulina","Harbor (common) seal",263221,26904,3715,17457,914,4.7,22087,4103,862,714,5724,22695,3.96,"Ashwell__2020"
"Dasyuromorphid","Planigale maculata","Common planigale",148,15.5,7.96,4.06,0.94,0.51,13,2.06,0.45,0.47,32.2,46.3,1.44,"Ashwell__2020"
"Diprotodontid","Potorous tridactylus","Long-nosed potoroo",8333,884,340,310,39.4,0.91,689,168,29.1,26.8,356,1041,2.93,"Ashwell__2020"
"Hyracoid","Procavia capensis","Rock hyrax",17021,2199,1281,361,53,0.28,1695,389,44.7,116,833,2242,2.69,"Ashwell__2020"
"Dasyuromorphid","Pseudantechinus bilarni","Sandstone antechinus",513,42.8,22,10.4,2.39,0.47,34.8,6.71,1.55,1.26,57.2,91.3,1.6,"Ashwell__2020"
"Diprotodontid","Pseudocheirus canescens","Lowland ringtail possum",2566,316,127,115,20.5,0.9,262,41.5,5.04,12.5,205,469,2.29,"Ashwell__2020"
"Diprotodontid","Pseudocheirus cinereus","Cinereus ringtail possum",2759,382,186,105,18.2,0.57,309,61.3,7.93,11.2,196,463,2.37,"Ashwell__2020"
"Diprotodontid","Pseudocheirus forbesi","Painted ringtail possum",1141,321,124,127,18.1,1.02,269,43.8,7.93,8.55,201,478,2.38,"Ashwell__2020"
"Diprotodontid","Pseudocheirus peregrinus","Common ringtail possum",5060,786,314,254,45.5,0.81,614,151,17.9,21.5,399,1143,2.86,"Ashwell__2020"
"Diprotodontid","Pseudochirops archeri","Green ringtail possum",5487,640,306,200,22.4,0.65,529,89.9,18,21.6,377,908,2.41,"Ashwell__2020"
"Diprotodontid","Pseudochirops cupreus","Coppery ringtail possum",5865,879,373,307,42.5,0.82,722,133,23.1,24.3,427,1063,2.49,"Ashwell__2020"
"Diprotodontid","Pseudochirulus herbertensis","Herbert River ringtail possum",2642,307,123,106,19.7,0.86,249,49.2,8.47,8.77,173,421,2.43,"Ashwell__2020"
"Chiropteran","Pteropus giganteus","Indian flying fox",8654,1001,411,429,15.9,1.04,856,114,23.6,31.2,504,1421,2.82,"Ashwell__2020"
"Didelphimorphid","Rhyncholestes raphanurus","Chilean shrew opossum",957,106,71.5,13.6,3.87,0.19,88.9,14.6,1.82,2.09,91.7,162,1.76,"Ashwell__2020"
"Primate","Saimiri sciureus","Common squirrel monkey",15955,1322,502,535,52.9,1.07,1090,178,43.4,53.8,619,1546,2.5,"Ashwell__2020"
"Dasyuromorphid","Sarcophilus harissii","Tasmanian devil",13239,1962,835,649,78.6,0.78,1562,338,40.5,61.5,686,1931,2.82,"Ashwell__2020"
"Eulipotyphlan","Scalopus aquaticus","Eastern mole",570,29.9,14.4,12.6,1.61,0.88,28.7,0.45,1.39,0.78,40,97.5,2.44,"Ashwell__2020"
"Rodent","Sciurus carolinensis","Grey squirrel",15029,2543,808,1178,88.4,1.46,2075,375,NA,93.4,1355,3163,2.34,"Ashwell__2020"
"Primate","Semnopithecus entellus","Grey langur",93125,11184,2817,6456,158,2.29,9431,1366,271,387,2671,9224,3.45,"Ashwell__2020"
"Dasyuromorphid","Sminthopsis crassicaudata","Fat-tailed dunnart",246,34.1,19,9.27,2.18,0.49,30.4,2.5,1.49,1.22,50.3,84.5,1.68,"Ashwell__2020"
