Species_canonical,Order,Suborder,Family,code_Stephan1981,Common_name,n_distinct_variant_strings,all_variant_strings,Species_Baron1983,Species_Baron1987,Species_Baron1988,Species_Baron1990,Species_Bauernfeind2013,Species_Frahm1982,Species_Frahm1994,Species_Frahm1997,Species_Frahm98,Species_Frahm_1984,Species_Matano1985a,Species_Matano1985b,Species_Sherwood_2005,Species_Stephan1981,Species_Stephan1982,Species_Stephan1984,Species_Stephan1987,Species_Zilles1988,Species_deSousa2010,Species_deSousa2013
Desmana moschata,Insectivora,Progressive Insectivora,,83,Russian desman,1,Desmana moschata,Desmana moschata,Desmana moschata,Desmana moschata,Desmana moschata,,,,,,,,,,Desmana moschata,Desmana moschata,Desmana moschata,Desmana moschata,,,
Echinops telfairi,Insectivora,Basal Insectivora,Tenrecinae,5,lesser hedgehog tenrec,1,Echinops telfairi,Echinops telfairi,Echinops telfairi,Echinops telfairi,Echinops telfairi,,Echinops telfairi,Echinops telfairi,,,,Echinops telfairi,Echinops telfairi,,Echinops telfairi,Echinops telfairi,Echinops telfairi,Echinops telfairi,,,
Echinosorex gymnura,Insectivora,,,,moonrat,1,Echinosorex gymnura,,,,Echinosorex gymnura,,,,,,,,,,,,,,,,
Elephantulus fuscipes,Macroscelidea,,,31,dusky footed elephant shrew,2,Elephantulus fuscip.; Elephantulus fuscipes,Elephantulus fuscipes,Elephantulus fuscipes,,,,,,,,,,,,Elephantulus fuscipes,Elephantulus fuscip.,Elephantulus fuscipes,Elephantulus fuscipes,,,
Erinaceus europaeus,Insectivora,Basal Insectivora,Erinaceidae,22,European hedgehog,1,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,,Erinaceus europaeus,,,,,,Erinaceus europaeus,,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,Erinaceus europaeus,,,
Erythrocebus patas,Primates,Simians,,234,patasÊmonkey,1,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,,,Erythrocebus patas,,Erythrocebus patas,,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,Erythrocebus patas,,Erythrocebus patas,Erythrocebus patas,,,Erythrocebus patas
Eulemur fulvus,Primates,Prosimians,Lemuridae,118,white headed lemur ,3,Eulemur fulvus; Lemur albifrons; Lemur fulvus,Lemur albifrons,Lemur albifrons,Lemur albifrons,Lemur albifrons,,Lemur albifrons,Lemur albifrons,,,Lemur albifrons,Lemur fulvus,Lemur fulvus,Eulemur fulvus,Lemur fulvus,Lemur albifrons,Lemur albifrons,Lemur albifrons,,Eulemur fulvus,
Galago senegalensis,Primates,Prosimians,Lorisidae,143,Senegal bushbaby,1,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,,,Galago senegalensis,,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,Galago senegalensis,,Galago senegalensis,
Galagoides demidoff,Primates,Prosimians,Lorisidae,142,Demidoff s Dwarf Galago,3,Galago demidovii; Galagoides demid.; Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galagoides demidoff,Galago demidovii,Galagoides demid.,Galagoides demidoff,Galagoides demidoff,,Galagoides demidoff,
Galemys pyrenaicus,Insectivora,Progressive Insectivora,,84,Pyrenean desman,1,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,,,,,,,,,,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,Galemys pyrenaicus,,,
Gorilla sp.,Primates,Simians,,279,,1,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,Gorilla gorilla,,,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,Gorilla gorilla,,Gorilla gorilla,Gorilla gorilla,,Gorilla gorilla,Gorilla gorilla
Hemicentetes semispinosus,Insectivora,Basal Insectivora,Tenrecinae,4,lowland streaked tenrec,3,Hemicentetes semisp.; Hemicentetes semispin.; Hemicentetes semispinosus,Hemicentetes semispin.,Hemicentetes semispinosus,Hemicentetes semispinosus,Hemicentetes semispinosus,,Hemicentetes semispinosus,Hemicentetes semispinosus,,,,,Hemicentetes semispin.,,Hemicentetes semispinosus,Hemicentetes semisp.,Hemicentetes semispin.,Hemicentetes semispinosus,,,
Hemiechinus auritus,Insectivora,Basal Insectivora,Erinaceidae,23,long eared hedgehog,1,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,,Hemiechinus auritus,,,,,,,,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,Hemiechinus auritus,,,
Homo sapiens,Primates,Simians,,280,human,2,Homo sapiens; Homo sapiens sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,,,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens,Homo sapiens sapiens,,Homo sapiens,Homo sapiens,,Homo sapiens,Homo sapiens
Hylobates lar,Primates,Simians,,271,lar gibbon,1,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,,,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,Hylobates lar,,Hylobates lar,Hylobates lar,,Hylobates lar,Hylobates lar
Hylobates muelleri,,,,,Mller s gibbon,1,Hylobates muelleri,,,,,Hylobates muelleri,,,,,,,,,,,,,,,Hylobates muelleri
Hylomys suillus,Insectivora,,,,short tailed gymnure,1,Hylomys suillus,,,,Hylomys suillus,,,,,,,,,,,,,,,,
Indri indri,Primates,Prosimians,Indriidae,133,indri,2,Indri indri; lndri indri,Indri indri,Indri indri,Indri indri,Indri indri,Indri indri,Indri indri,Indri indri,,Indri indri,Indri indri,Indri indri,lndri indri,Indri indri,Indri indri,Indri indri,Indri indri,Indri indri,,Indri indri,
Lagothrix lagothricha,Primates,Simians,,186,brown woolly monkey,4,Lagothix lagathricha; Lagothrix lagothr.; Lagothrix lagothricha; Lagothrix lagotricha,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,,Lagothrix lagothricha,Lagothrix lagothricha,,,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagothricha,Lagothrix lagotricha,Lagothrix lagothr.,Lagothrix lagothricha,Lagothrix lagothricha,,Lagothix lagathricha,
Leontopithecus rosalia,,,,,golden lion tamarin,1,Leontopithecus rosalia,,,,,Leontopithecus rosalia,,,,,,,,,,,,,,,
Lepilemur ruficaudatus,Primates,Prosimians,Lemuridae,117,red tailed sportive lemur,2,Lepilemur ruficaud.; Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,,Lepilemur ruficaudatus,Lepilemur ruficaudatus,,,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaudatus,Lepilemur ruficaud.,Lepilemur ruficaudatus,Lepilemur ruficaudatus,,Lepilemur ruficaudatus,
