"Order"	"Species"	"Subspecies_size"	"Sex"	"Body weight (g)"	"Spinal cord weight (mg)"	"Body weight (mg)"	"Spinal cord length (mm) (Dissection//ΣDCL)"	"References (all data for a species come from a single source except where indicated)"
"Primate"	"Homo  sapiens"	NA	"U"	"60 000 *Martin & MacLarnon (unpublished data collection)"	"29 700"	"1 273 700 *Martin & MacLarnon (unpublished data collection)"	"448(♂), 413(♀)/367·1"	"Present study (non-FS subset); Krompecher & Lipák (1966); Ravenel (1877)"
"Cetacean"	"Lagenorhyncus  obliquidens"	NA	"M"	"93 000"	"33 300"	"1 157 000"	"—"	"Ridgway et al. (1966)"
"Cetacean"	"Lagenorhyncus  obliquidens"	NA	"F"	"79 000"	"31 000"	"1 079 000"	"—"	"Ridgway et al. (1966)"
"Cetacean"	"Phocoenoides  dalli"	NA	"F"	"90 000"	"29 500"	"776 500"	"—"	"Ridgway et al. (1966)"
"Cetacean"	"Tursiops  truncatus"	NA	"M"	"86 000"	"35 000"	"1 495 000"	"—"	"Ridgway et al. (1966)"
"Cetacean"	"Tursiops  truncatus"	NA	"F"	"70 500"	"35 300"	"1 412 000"	"—"	"Ridgway et al. (1966)"
"Rodent"	"Mus  musculus"	NA	"U"	"19·6"	"85"	"430"	"—"	"Krompecher & Lipák  (1966)"
"Rodent"	"Rattus  norvegicus"	"Small"	"M"	"213·5"	"530"	"1930"	"—"	"Krompecher & Lipák  (1966)"
"Rodent"	"Rattus  norvegicus"	"Small"	"F"	"211"	"547"	"1793"	"—"	"Krompecher & Lipák  (1966)"
"Rodent"	"Rattus  norvegicus"	"Large"	"M"	"273"	"715"	"2278"	"—"	"Donaldson & Hatai (1911)"
"Rodent"	"Rattus  norvegicus"	"Large"	"F"	"258"	"664"	"2164"	"—"	"Donaldson & Hatai (1911)"
"Rodent"	"Cavia  porcellus"	NA	"U"	"649·4"	"1100"	"4000"	"162·98(♂)/—"	"Latimer (1950)"
"Lagomorph"	"Oryctolagus  cuniculus"	"Small"	"M"	"1972"	"3945"	"9265"	"—"	"Latimer & Sawin (1955)"
"Lagomorph"	"Oryctolagus  cuniculus"	"Small"	"F"	"2480"	"4537"	"9755"	"—"	"Latimer & Sawin (1955)"
"Lagomorph"	"Oryctolagus  cuniculus"	"Large"	"M"	"3352"	"5781"	"11 711"	"—"	"Latimer & Sawin (1957)"
"Lagomorph"	"Oryctolagus  cuniculus"	"Large"	"F"	"3579"	"5940"	"11 557"	"—"	"Latimer & Sawin (1957)"
"Bird"	"Adapornis  personata"	NA	"U"	"40"	"120"	"1920"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Passer  domesticus"	NA	"U"	"27"	"85"	"1000"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Hirundo  rustica"	NA	"U"	"18"	"80"	"535"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Hirundo  rustica"	NA	"U"	"20"	"75"	"492"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Columba  domestica"	NA	"U"	"335"	"620"	"2030"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Columba  domestica"	NA	"U"	"326"	"575"	"1790"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Gallus  domesticus"	NA	"F"	"1340"	"1554"	"3525"	"—"	"Krompecher & Lipák  (1966)"
"Bird"	"Gallus  domesticus"	NA	"M"	"1800"	"2175"	"3680"	"—"	"Krompecher & Lipák  (1966)"
"Amphibian"	"Rana  esculenta"	NA	"U"	"48"	"54"	"117"	"—"	"Krompecher & Lipák  (1966)"
