"species_sci"	"Notes (re: gray cells; see next tab)"	"Taxon"	"References"	"N"	"BV"	"Medulla"	"Cerebellum"	"Mesencephalon"	"Diencephalon"	"Telencephalon"	"MOB"	"AOB"	"Piriform Lobe"	"Septum"	"Striatum"	"Striatum (incl. NAcc)"	"Schizocortex"	"Hippocampus"	"Neocortex (GM+WM)"	"Neocortex (GM)"	"Epithalamus"	"Thalamus"	"Hypothalamus"	"Subthalamus"	"Pallidum"	"Subthalamic Nucleus"	"Optic Tract"	"V1 (GM)"	"LGN"	"Paleocortex"	"Amygdala"	"Vmo"	"VII"	"XII"	"Granular Insula"	"Dysgranular Insula"	"Agranular Insula"	"Insula (GM)"
"Erythrocebus patas"	"B"	"Erythrocebus_patas"	"24,51-52"	2	103167		8738	1621	5423	84770	51.8		1339	330	3624	3624	693	1591	77141																			
"Eulemur fulvus"		"Eulemur_fulvus_fulvus"	"34"	2	22512.6225126225																							1253										
"Eulemur fulvus"		"Eulemur_fulvus_fulvus"	"53"	3	22106	909.39																										2.08	2.78	3.04				
"Eulemur fulvus"	"B"	"Eulemur_fulvus_fulvus"	"24,51-52"	3	22106		3328	590	1713	15566	207	3.21	641	119	1215	1215	422	752	12207		12.2	1028	239	225	212	13.9	108		51.6	389	251							
"Eulemur mongoz"		"Eulemur_mongoz"	"54-55"	1	22240														12030	8200								1060	50									
"Galago senegalensis"		"Galago_senegalensis"	"53"	1	4512	254.3																										0.58	1.18	0.7				
"Galago senegalensis"	"B"	"Galago_senegalensis"	"24,51-52"	1	4512		672	205	382	2997	79.2	2.58	163	35.7	210	210	107	261	2139										16									
"Galago senegalensis"		"Galago_senegalensis"	"54-55"	1	3580														1570	1340								220	10									
"Galagoides demidoff"		"Galagoides_demidoff"	"34"	2	3268.0639823497																							214										
"Galagoides demidoff"		"Galagoides_demidoff"	"43"	1	3185.3																														10	10	4	24
"Galagoides demidoff"		"Galagoides_demidoff"	"53"	2	3203	169.13																										0.44	0.96	0.56				
"Galagoides demidoff"	"B"	"Galagoides_demidoff"	"24,51-52"	2	3203		413	135	246	2240	83.1	1.26	181	25.7	169	169	59.9	152	1568		2.09	153	45.1	18.3	17	1.4	11.5		10.9	122	50.2							
"Gorilla beringei"	"F"	"Gorilla_beringei"	"64"	1	401600																	8200																
"Gorilla beringei"	"F"	"Gorilla_beringei"	"64"	1	460600																	8300																
"Gorilla beringei"	"F"	"Gorilla_beringei"	"64"	1	486700																	10200																
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	445620		50939.5833333334								10759.5833333333			2846.66666666667	292357.5	196935											1053.75							4200
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	488910		58717.3611111111								7836.59722222222			2838.88888888889	288076.25	171045											1150.625							3281.25
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	411670		50001.3888888889								8908.47222222222			2815.55555555556	243460	159486.25											1728.125							2485
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	369430		43611.4583333333								7550.76388888889			3328.88888888889	227071.25	123392.5											1137.5							2668.75
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	398130		43684.0709771707								8480.97167584813			2890.22686823307	234115.178639068	128645.328134993											1792.40926203314							2734.52950033139
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	325990		37164.9305555556								8353.81944444445			2394.44444444444	200118.75	148193.75											1062.5							2656.25
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	360490		49668.4027777778								8765.55555555555			2916.66666666667	210988.75	142563.75											988.75							2572.5
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	405960		42046.1805555555								8074.79166666667			3274.44444444444	246207.5	140656.25											1067.5							2738.75
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	358870		37124.3055555556								7360.20833333333			2877.77777777778	268738.75	158182.5											1351.875							2231.25
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	434580		44145.633987								8853.702585			3975.225345	284096.410325	165943.115065											1631.661122							2899.270465
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	359840		36448.0723658								8589.5153469			4126.0845189	235423.3656032	138294.9856507											957.1521909							2678.4899963
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	336430		35989.2361111111								8193.88888888889			2162.22222222222	231122.5	151480											511.875							1855
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	363500		42106.9444444444								9027.56944444445			2504.44444444444	272352.5	196875											1159.375							2415
"Gorilla beringei"		"Gorilla_beringei"	"65"	1	410320		46243.75								10456.7361111111			2621.11111111111	282756.25	205082.5											1185.625							2590
"Gorilla sp."	"E"	"Gorilla_gorilla_gorilla"	"34"	1																																		
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"43"	1	434360																														1284	1586	1108	5020
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"43"	1	405410																														815	1871	755	3739
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"43"	1	404440																														696	2340	992	4360
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"43"	1	362930																														404	1890	1549	3994
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"53"	3	415919.53	8393.91																										18.98	26.52	20.4				
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"60"	1	362900														254300									8000										
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"60"	1	434400														313100									10200										
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"60"	2	398600																								309									
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"61"	1	330700		56100																															
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"61"	1	362900		48500																															
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"61"	1	414500		51000																															
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"61"	1	434400		60100																															
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"61"	1	463900		81200																															
"Gorilla sp."	"F"	"Gorilla_gorilla_gorilla"	"64"	1	490200																	9900																
"Gorilla sp."	"F"	"Gorilla_gorilla_gorilla"	"64"	1	459400																	11400																
"Gorilla sp."	"F"	"Gorilla_gorilla_gorilla"	"64"	1	564300																	11000																
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	461500		58780.5555555556								8711.11111111111			3093.33333333333	241710	143740											1430							3220
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	338990		46110.0694444444								7002.91666666667			3196.66666666667	182288.75	107800											1098.125							1907.5
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	346350		39165.1082239988								10123.6688234938			3266.79733464	225980.705623722	130843.011341224											1085.043400434							1991.190756352
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	445680		72268.5185185185								11179.2592592593			3567.40740740741	313304.444444444	189233.333333333											1462.22222222222							3640
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	380700		57477.7777777778								6764.72222222222			3632.22222222222	233597.777777778	142006.666666667											1470							1680
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	433370		57630.9027777778								9146.66666666667			3647.77777777778	236652.5	135047.5											949.375							2642.5
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	435210		41897.9166666667								7550.76388888889			4262.22222222222	298627.777777778	173588.333333333											2065							1960
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	449220		69781.25											4262.22222222222	290838.333333333	172235											1316.875							1388.33333333333
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	540440		77063.1944444444								6788.54166666667			4277.77777777778	338193.333333333	208623.333333333											717.5							1878.33333333333
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	459400		69371.622936								11335.126408			4283.702	277038.506698	172179.343646											1204.847552							3381.87
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	490670		59159.6579819962								10623.8971653605			4332.395512844	344837.681982374	201444.724213908											1378.18012555125							2858.44766781
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	401750		48078.311963675								6264.76447195025			4495.735379576	263463.31599427	152714.997305528											647.525900259							2733.998245538
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	417200		68625								9493.75			4500	344461.111111111	216255.555555556											1081.25							2038.88888888889
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	488260		61045.8333333333								6478.88888888889			4682.22222222222	308521.111111111	183030.555555556											1920.625							1858.88888888889
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	380500		48781.25								8098.61111111111			5040	263841.666666667	159246.111111111											1478.75							1711.11111111111
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"65"	1	490200		78079.3935774								6685.06314			5262.2946	275778.9292044	148233.7714872											1151.4680184							3047.8430724
"Gorilla sp."	"A,B,C,D"	"Gorilla_gorilla_gorilla"	"24,51-52"	1	470359			4352	19370	369878	316		4871	1193	14567	14567	2729	4781			106	10547	2215	2782	2604	178	671											
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"56-57"	1	362900										9252			2700													1306							
"Gorilla sp."		"Gorilla_gorilla_gorilla"	"62-63"	2	397300		64700												246900	152700																		
"Gorilla gorilla graueri"		"Gorilla_gorilla_graueri"	"65"	1	442650		52504.8611111111								8527.36111111111			2940	261222.5	137760											1246.875							3018.75
"Gorilla gorilla graueri"		"Gorilla_gorilla_graueri"	"65"	1	372350		49527.4305555555								9551.59722222222			2644.44444444444	226003.75	149590											1863.75							2957.5
"Gorilla gorilla graueri"		"Gorilla_gorilla_graueri"	"65"	1	430650		45760.0694444444								10742.5694444444			3243.33333333333	300046.25	198546.25											1378.125							3430
"Hylobates lar"		"Hylobates_lar"	"34"	1	99110.5901820188																							4574										
"Hylobates lar"		"Hylobates_lar"	"43"	1	88803																														234	262	80	578
"Hylobates lar"		"Hylobates_lar"	"53"	3	100701.812666667	2249.16																										3.92	4.12	4.88				
"Hylobates lar"		"Hylobates_lar"	"60"	1	88800														59600									3600										
"Hylobates lar"		"Hylobates_lar"	"60"	1	115800														77000									4600										
"Hylobates lar"		"Hylobates_lar"	"60"	2	102300																								166									
"Hylobates lar"		"Hylobates_lar"	"61"	1	76100		10400																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	76300		9000																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	79300		12300																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	80000		13600																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	88800		10600																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	98400		12000																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	99700		13500																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	107900		14500																															
"Hylobates lar"		"Hylobates_lar"	"61"	1	115800		13800																															
"Hylobates lar"	"A,B"	"Hylobates_lar"	"24,51-52"	1	97505			1459	5716	76001	43.9		1264	302	4784	4784	1136	2673	65800		31.2	3226	629	777	715	61.6	302											
"Hylobates lar"		"Hylobates_lar"	"54-55"	1	101280														65620	45120								4400	150									
"Hylobates lar"		"Hylobates_lar"	"56-57"	1	88800										3020			1610													407							
"Hylobates lar"		"Hylobates_lar"	"62-63"	4	83000		10900												56600	39900																		
"Hylobates muelleri"		"Hylobates_muelleri"	"43"	1	98263																														222	572	284	1078
"Hylobates muelleri"		"Hylobates_muelleri"	"56-57"	1	98262.5482625483																										512							
"Indri indri"		"Indri_indri"	"34"	2	37114.8459383754																							1648										
"Indri indri"		"Indri_indri"	"43"	1	32481																														100	170	66	334
"Indri indri"		"Indri_indri"	"53"	2	36285	1342.01																										3.44	4.9	3.68				
"Indri indri"	"B"	"Indri_indri"	"24,51-52"	2	36285		5504	978	2911	25551	168	2.32	838	205	1855	1855	848	1520	20114										99.6									
"Lagothrix lagothricha"		"Lagothrix_lagotricha"	"34"	1	97844.2728442728																							4856										
"Lagothrix lagothricha"		"Lagothrix_lagotricha"	"53"	3	95503.2193333333	2109.54																										5.12	5.36	4.26				
"Lagothrix lagothricha"	"B"	"Lagothrix_lagotricha"	"24,51-52"	3	95503		11268	1582	5721	74822	73.4	1.43	1395	266	4947	4947	680	1586	65873		31	2959	624	909	845	63.8	203		149									
"Lemur catta"		"Lemur_catta"	"54-55"	1	21000														11080	8960								1310	60									
"Leontopithecus rosalia"		"Leontopithecus_rosalia"	"43"	1	12259																														8	42	24	74
"Lepilemur ruficaudatus"		"Lepilemur_ruficaudatus"	"34"	3	7352.33713957118																							326										
"Lepilemur ruficaudatus"		"Lepilemur_ruficaudatus"	"53"	3	7175	449.28																										1.38	1.82	2.3				
"Lepilemur ruficaudatus"	"B"	"Lepilemur_ruficaudatus"	"24,51-52"	3	7175		1165	260	593	4708	113	2.72	302	56.7	366	366	194	392	3282		4.89	337	114	58.1	55.2	2.91	20.7		15.6	170	133							
"Lophocebus albigena"		"Lophocebus_albigena"	"34"	1	99903.4749034749																							5420										
"Lophocebus albigena"		"Lophocebus_albigena"	"43"	1	106660																														342	540	190	1072
"Lophocebus albigena"		"Lophocebus_albigena"	"53"	1	97641.851	2670.59																										6.54	8.62	6.12				
"Lophocebus albigena"		"Lophocebus_albigena"	"61"	1	112000		11700																															
"Lophocebus albigena"	"B"	"Lophocebus_albigena"	"24,51-52"	1	97603		10726	1770	5351	77049	121		1639	294	4146	4146	630	1485	68733		27.9	2933	681	726	674	52.4	308		182									
"Loris tardigradus"		"Loris_tardigradus"	"34"	1	6377.16368053447																							529										
"Loris tardigradus"		"Loris_tardigradus"	"43"	1	6612																														6	12	6	
"Loris tardigradus"		"Loris_tardigradus"	"53"	2	6771.23552123552	287.23																										1.06	1.12	0.94				
"Loris tardigradus"	"B"	"Loris_tardigradus"	"24,51-52"	1	6269		728	220	538	4551	85.8	2.3	256	41.1	351	351	99.7	191	3524		3.21	348	80.9	45.2	41.4	3.79	15.7		24.6									
"Macaca fascicularis"		"Macaca_fascicularis"	"60"	1	55600																							2800										
"Macaca fascicularis"		"Macaca_fascicularis"	"60"	1	55600																								92									
"Macaca maura"		"Macaca_maura"	"43"	1	80405																														362	480	142	984
"Macaca mulatta"		"Macaca_mulatta"	"34"	1	89537.2233400402																							5343										
"Macaca mulatta"		"Macaca_mulatta"	"53"	2	91816.2162162162	2329.14																										7.68	9.84	7.7				
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	72800		6300																															
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	82300		7700																															
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	84400		7600																															
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	85400		7500																															
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	99500		8300																															
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	101200		9800																															
"Macaca mulatta"		"Macaca_mulatta"	"61"	1	108300		9400																															
"Macaca mulatta"	"B"	"Macaca_mulatta"	"24,51-52"	1	87896		8965	1380	4480	71080	84.3		1220	271	4032	4032	639	1353	63482										158									
"Macaca mulatta"		"Macaca_mulatta"	"54-55"	1	65760														46890	30540								3260										
"Macaca mulatta"		"Macaca_mulatta"	"62-63"	4	79100		7100												55700	36500																		
"Mandrillus sphinx"		"Mandrillus_sphinx"	"54-55"	1	127610														99260	71330																		
"Microcebus murinus"		"Microcebus_murinus"	"34"	5	1716.00171600172																							136										
"Microcebus murinus"		"Microcebus_murinus"	"53"	6	1680	99.03																										0.26	0.58	0.5				
"Microcebus murinus"	"B"	"Microcebus_murinus"	"24,51-52"	6	1680		234	85.2	134	1129	43	1.62	103	15.3	85.7	85.7	40.1	100	740		1.44	78.3	29.8	11.4	10.7	0.65	6.17		7.03	66.8	36.4							
"Microcebus murinus"		"Microcebus_murinus"	"54-55"	1	1650														690	590								110	10									
"Miopithecus talapoin"		"Miopithecus_talapoin"	"34"	1	38711.6439748019																							2339										
"Miopithecus talapoin"		"Miopithecus_talapoin"	"53"	2	37775.961	1034.79																										2.94	3.72	2.44				
"Miopithecus talapoin"	"B"	"Miopithecus_talapoin"	"24,51-52"	2	37776		3374	826	2375	30166	27.8		706	133	1908	1908	259	705	26427										116									
"Nasalis larvatus"		"Nasalis_larvatus"	"53"	1	92796.732	2945.18																										5.64	8.82	4.36				
"Nasalis larvatus"	"B"	"Nasalis_larvatus"	"24,51-52"	1	92797		12113	1556	5310	70873	30.3		1268	333	3735	3735	855	1966	62685		29.6	3036	671	587	550	37.2	304											
"Nomascus concolor"		"Nomascus_concolor"	"56-57"	1	115800										3988			1900													637							
"Nycticebus coucang"		"Nycticebus_coucang"	"34"	1	12109.5121095121																							696										
"Nycticebus coucang"		"Nycticebus_coucang"	"53"	2	11755	528.14																										2.08	1.9	1.52				
"Nycticebus coucang"	"B"	"Nycticebus_coucang"	"24,51-52"	2	11755		1310	345	1077	8495	159	4.28	510	92	760	760	212	566	6192										37.3									
"Nycticebus coucang"		"Nycticebus_coucang"	"54-55"	1	11270														5470	4400								580	30									
"Otolemur crassicaudatus"		"Otolemur_crassicaudatus"	"34"	1	9980.33073504772																							479										
"Otolemur crassicaudatus"		"Otolemur_crassicaudatus"	"53"	2	9668	539.87																										1.74	2.82	1.62				
"Otolemur crassicaudatus"	"B"	"Otolemur_crassicaudatus"	"24,51-52"	2	9668		1414	384	785	6545	166	2.52	386	70	556	556	181	461	4723		5.71	437	127	67.4	63.3	4.1	33.9		22.1									
"Otolemur crassicaudatus"		"Otolemur_crassicaudatus"	"54-55"	1	7110														3670	3100								450	20									
"Pan paniscus"		"Pan_paniscus"	"43"	1	381270																														477	1499	878	3174
"Pan paniscus"		"Pan_paniscus"	"43"	1	325290																														517	1823	658	3245
"Pan paniscus"		"Pan_paniscus"	"43"	1	312740																														600	1867	621	3418
"Pan paniscus"		"Pan_paniscus"	"53"	2	345550	4152.02																										5.78	15	8.18				
"Pan paniscus"		"Pan_paniscus"	"58"	1	341023.166023166																										1486.46							
"Pan paniscus"		"Pan_paniscus"	"58"	1	325289.575289575																										1512.64							
"Pan paniscus"		"Pan_paniscus"	"58"	1	296718.146718147																										1327.14							
"Pan paniscus"		"Pan_paniscus"	"58"	1	315347.49034749																										1564.74							
"Pan paniscus"		"Pan_paniscus"	"58"	1	302316.602316602																										1291.34							
"Pan paniscus"		"Pan_paniscus"	"58"	1	294498.06949807																										1202.76							
"Pan paniscus"		"Pan_paniscus"	"60"	1	312700														214400									11400										
"Pan paniscus"		"Pan_paniscus"	"60"	1	325300																							8800										
"Pan paniscus"		"Pan_paniscus"	"60"	1	378400														279000									14600										
