"Species"	"Species_alt"	"Species_MS"	"Clade"	"Family"	"vocal_repertoire_size_MS2005"	"vocal_repertoire_size_updated"	"repertoire_update_reference"	"source"
"Eulemur fulvus"	NA	"Petterus fulvus"	"Strepsirrhine"	"Lemuridae"	"20"	"14"	"Fichtel, C., & Kappeler, P. M. (2022). Coevolution of social and communicative complexity in lemurs. Philosophical Transactions of the Royal Society B: Biological Sciences, 377(1860), 20210297. https://doi.org/10.1098/rstb.2021.0297
Gamba, M., Friard, O., Riondato, I., Righini, R., Colombo, C., Miaretsoa, L., Torti, V., Nadhurou, B., & Giacoma, C. (2015). Comparative Analysis of the Vocal Repertoire of Eulemur: A Dynamic Time Warping Approach. International Journal of Primatology, 36(5), 894–910. https://doi.org/10.1007/s10764-015-9861-1"	"Schniter_Penaherrera-Aguirre_2026"
"Eulemur macaco"	NA	"Petterus macaco"	"Strepsirrhine"	"Lemuridae"	"13"	"16"	"Fichtel, C., & Kappeler, P. M. (2022). Coevolution of social and communicative complexity in lemurs. Philosophical Transactions of the Royal Society B: Biological Sciences, 377(1860), 20210297. https://doi.org/10.1098/rstb.2021.0297"	"Schniter_Penaherrera-Aguirre_2026"
"Eulemur mongoz"	NA	"Petterus mongoz"	"Strepsirrhine"	"Lemuridae"	"9"	"15"	"Nadhurou, B., Gamba, M., Andriaholinirina, N. V., Ouledi, A., & Giacoma, C. (2016). The vocal communication of the mongoose lemur (Eulemur mongoz): Phonation mechanisms, acoustic features and quantitative analysis. Ethology Ecology & Evolution, 28(3), 241–260. https://doi.org/10.1080/03949370.2015.1039069"	"Schniter_Penaherrera-Aguirre_2026"
"Euoticus elegantulus"	NA	"Euoticus elegantulus"	"Strepsirrhine"	"Galagidae"	"6"	"6"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Galago alleni"	"Sciurocheirus alleni"	"Galago alleni"	"Strepsirrhine"	"Galagidae"	"5"	"5"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Galago senegalensis"	"Sciurocheirus senegalensis"	"Galago senegalensis"	"Strepsirrhine"	"Galagidae"	"18"	"18"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Galago demidovii"	"Galagoides demidoff"	"Galagoides demidoff"	"Strepsirrhine"	"Galagidae"	"8"	"8"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Gorilla gorilla"	NA	"Gorilla gorilla"	"Hominid"	"Hominidae"	"16"	"17"	"Salmi, R., Hammerschmidt, K., & Doran-Sheehy, D. M. (2013). Western Gorilla Vocal Repertoire and Contextual Use of Vocalizations. Ethology, 119(10), 831–847. https://doi.org/10.1111/eth.12122"	"Schniter_Penaherrera-Aguirre_2026"
"Lagothrix lagothricha"	NA	"Lagothrix lagotricha"	"Platyrrhine"	"Atelidae"	"6"	"8"	"León, J. J., Vargas, S. A., Ramírez, M. A., Galvis, N. F., Cifuentes, E. F., & Stevenson, P. R. (2014). Vocal Communication in Woolly Monkeys (Lagothrixlagothricha lugens) in Cueva de los Guacharos National Park, Colombia. In T. R. Defler & P. R. Stevenson (Eds), The Woolly Monkey: Behavior, Ecology, Systematics, and Captive Research (pp. 187–205). Springer. https://doi.org/10.1007/978-1-4939-0697-0 11"	"Schniter_Penaherrera-Aguirre_2026"
"Lemur catta"	NA	"Lemur catta"	"Strepsirrhine"	"Lemuridae"	"22"	"22"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Leontopithecus rosalia"	NA	"Leontopithecus rosalia"	"Platyrrhine"	"Callitrichidae"	"16"	"20"	"Lopes, R. J. (2020). Mission marmoset. Nature, 579(7799), 464. https://doi.org/10.1038/d41586-020-00770-6"	"Schniter_Penaherrera-Aguirre_2026"
"Macaca fascicularis"	NA	"Macaca fascicularis"	"Cercopithecoid"	"Cercopithecidae"	"17"	"17"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Macaca fuscata"	NA	"Macaca fuscata"	"Cercopithecoid"	"Cercopithecidae"	"34"	"34"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Macaca nemestrina"	NA	"Macaca nemestrina"	"Cercopithecoid"	"Cercopithecidae"	"16"	"16"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Macaca radiata"	NA	"Macaca radiata"	"Cercopithecoid"	"Cercopithecidae"	"21"	"21"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Macaca silenus"	NA	"Macaca silenus"	"Cercopithecoid"	"Cercopithecidae"	"15"	"15"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Macaca sylvanus"	NA	"Macaca sylvanus"	"Cercopithecoid"	"Cercopithecidae"	"14"	"14"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Mandrillus sphinx"	NA	"Mandrillus sphinx"	"Cercopithecoid"	"Cercopithecidae"	"10"	"10"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Miopithecus talapoin"	NA	"Miopithecus talapoin"	"Cercopithecoid"	"Cercopithecidae"	"12"	"12"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Pan paniscus"	NA	"Pan paniscus"	"Hominid"	"Hominidae"	"38"	"11"	"Wegdell, F., Schamberg, I., Berthet, M., Rothacher, Y., Dellwo, V., Surbeck, M., & Townsend, S. W. (2025). An updated vocal repertoire of wild adult bonobos (Pan paniscus ) (p. 2025.01.23.634282). bioRxiv. https://doi.org/10.1101/2025.01.23.634282"	"Schniter_Penaherrera-Aguirre_2026"
"Pan troglodytes"	NA	"Pan troglodytes"	"Hominid"	"Hominidae"	"29"	"12"	"Girard-Buttoz, C., Neumann, C., Bortolato, T., Zaccarella, E., Friederici, A. D., Wittig, R. M., & Crockford, C. (2025). Versatile use of chimpanzee call combinations promotes meaning expansion. Science Advances, 11(19), eadq2879. https://doi.org/10.1126/sciadv.adq2879; Crockford, C. (2019). Why does the chimpanzee vocal repertoire remain poorly understood and what can be done about it? In The Chimpanzees of the Taï Forest: 40 Years of Research, C. Boesch, R. M. Wittig, C. Crockford, L. Vigilant, T. Deschner, F. H. Leendertz, Eds. (pp. 394–409). Cambridge University Press."	"Schniter_Penaherrera-Aguirre_2026"
"Perodicticus potto"	NA	"Perodicticus potto"	"Strepsirrhine"	"Lorisidae"	"5"	"5"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Piliocolobus badius"	"Colobus badius"	"Procolobus badius"	"Cercopithecoid"	"Cercopithecidae"	"17"	"17"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Pongo pygmaeus"	NA	"Pongo pygmaeus"	"Hominid"	"Hominidae"	"10"	"10"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Saguinus fuscicollis"	"Leontocebus fuscicollis"	"Saguinus fuscicollis"	"Platyrrhine"	"Callitrichidae"	"16"	"16"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Saguinus oedipus"	NA	"Saguinus oedipus"	"Platyrrhine"	"Callitrichidae"	"33"	"14"	"Paulo-Morelo, M., & Sánchez-Palomino, P. (2021). Descripción de las unidades fonéticas y sintaxis fonológica del repertorio vocal del tití cabeciblanco (Saguinus oedipus) silvestre. Biota colombiana, 22(1), 184–199. https://doi.org/10.21068/c2021.v22n01a12"	"Schniter_Penaherrera-Aguirre_2026"
"Saimiri sciureus"	NA	"Saimiri sciureus"	"Platyrrhine"	"Cebidae"	"21"	"21"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Semnopithecus entellus"	NA	"Presbytis entellus"	"Cercopithecoid"	"Cercopithecidae"	"16"	"16"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Theropithecus gelada"	NA	"Theropithecus gelada"	"Cercopithecoid"	"Cercopithecidae"	"22"	"22"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Trachypithecus johnii"	NA	"Presbytis johnii"	"Cercopithecoid"	"Cercopithecidae"	"16"	"16"	NA	"Schniter_Penaherrera-Aguirre_2026"
"Varecia variegata"	NA	"Varecia variegata"	"Strepsirrhine"	"Lemuridae"	"13"	"11"	"Batist, C. H., Razafindraibe, M. N., Randriamanantena, F., & Baden, A. L. (2023). Bioacoustic characterization of the black-and-white ruffed lemur (Varecia variegata) vocal repertoire. Primates; Journal of Primatology, 64(6), 621–635. https://doi.org/10.1007/s10329-023-01083-8"	"Schniter_Penaherrera-Aguirre_2026"
