"species_sci"	"Binomial"	"order"	"family"	"genus"	"species"	"Sample_size.brain"	"Sample_size.body"	"Sex"	"Mean_brain_mass_g"	"Mean_body_mass_g"	"BrainReference1"	"BrainReference2"	"Brain.resid"	"T_resid"
"Gazella dorcas"	"Gazella_dorcas"	"Artiodactyla"	"Bovidae"	"Gazella"	"dorcas"	NA	NA	NA	"70.8"	"17275"	"IslerVanSchaik2012"	NA	"-0.068083295"	"-0.25556625"
"Sylvicapra grimmia"	"Sylvicapra_grimmia"	"Artiodactyla"	"Bovidae"	"Sylvicapra"	"grimmia"	NA	NA	NA	"77.2"	"12625"	"IslerVanSchaik2012"	NA	"0.071641689"	"-0.253426642"
"Cephalophus zebra"	"Cephalophus_zebra"	"Artiodactyla"	"Bovidae"	"Cephalophus"	"zebra"	NA	NA	NA	"83"	"10000"	"IslerVanSchaik2012"	NA	"0.17902672"	"-0.251695517"
"Cephalophus natalensis"	"Cephalophus_natalensis"	"Artiodactyla"	"Bovidae"	"Cephalophus"	"natalensis"	NA	NA	NA	"84.1"	"12500"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.112061445"	"-0.247613546"
"Cephalophus nigrifrons"	"Cephalophus_nigrifrons"	"Artiodactyla"	"Bovidae"	"Cephalophus"	"nigrifrons"	NA	NA	NA	"85"	"13650"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.088017132"	"-0.239882629"
"Capreolus capreolus"	"Capreolus_capreolus"	"Artiodactyla"	"Cervidae"	"Capreolus"	"capreolus"	NA	NA	NA	"92.7"	"17472"	"IslerVanSchaik2012"	NA	"0.045269724"	"-0.238212469"
"Cephalophus dorsalis"	"Cephalophus_dorsalis"	"Artiodactyla"	"Bovidae"	"Cephalophus"	"dorsalis"	NA	NA	NA	"92.897"	"19998.6187"	"Barton&Capellini2011"	NA	"0.00219824"	"-0.2244173"
"Cephalophus leucogaster"	"Cephalophus_leucogaster"	"Artiodactyla"	"Bovidae"	"Cephalophus"	"leucogaster"	NA	NA	NA	"93"	"13000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.142973275"	"-0.223265432"
"Pecari tajacu"	"Pecari_tajacu"	"Artiodactyla"	"Tayassuidae"	"Pecari"	"tajacu"	NA	NA	NA	"101.5"	"18309"	"IslerVanSchaik2012"	NA	"0.069414389"	"-0.219101038"
"Redunca fulvorufula"	"Redunca_fulvorufula"	"Artiodactyla"	"Bovidae"	"Redunca"	"fulvorufula"	NA	NA	NA	"109"	"31000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.071149535"	"-0.21897114"
"Antilope cervicapra"	"Antilope_cervicapra"	"Artiodactyla"	"Bovidae"	"Antilope"	"cervicapra"	NA	NA	NA	"110.8"	"28800"	"IslerVanSchaik2012"	NA	"-0.040059147"	"-0.21661238"
"Capra hircus"	"Capra_hircus"	"Artiodactyla"	"Bovidae"	"Capra"	"hircus"	NA	NA	NA	"115"	"27660"	"IslerVanSchaik2012"	NA	"-0.010745713"	"-0.208322349"
"Litocranius walleri"	"Litocranius_walleri"	"Artiodactyla"	"Bovidae"	"Litocranius"	"walleri"	NA	NA	NA	"117.5"	"39750"	"IslerVanSchaik2012"	NA	"-0.119520491"	"-0.204674723"
"Rupicapra rupicapra"	"Rupicapra_rupicapra"	"Artiodactyla"	"Bovidae"	"Rupicapra"	"rupicapra"	NA	NA	NA	"117.8"	"27167"	"IslerVanSchaik2012"	NA	"0.005559661"	"-0.203623029"
"Pelea capreolus"	"Pelea_capreolus"	"Artiodactyla"	"Bovidae"	"Pelea"	"capreolus"	NA	NA	NA	"121"	"24000"	"IslerVanSchaik2012"	NA	"0.057572943"	"-0.196358311"
"Redunca redunca"	"Redunca_redunca"	"Artiodactyla"	"Bovidae"	"Redunca"	"redunca"	NA	NA	NA	"123"	"47500"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.157671137"	"-0.192778288"
"Muntiacus muntjak"	"Muntiacus_muntjak"	"Artiodactyla"	"Cervidae"	"Muntiacus"	"muntjak"	NA	NA	NA	"124.5"	"16600"	"IslerVanSchaik2012"	NA	"0.190035394"	"-0.19240227"
"Antilocapra americana"	"Antilocapra_americana"	"Artiodactyla"	"Antilocapridae"	"Antilocapra"	"americana"	NA	NA	NA	"125.6"	"46750"	"IslerVanSchaik2012"	NA	"-0.143402566"	"-0.190227949"
"Babyrousa babyrussa"	"Babyrousa_babyrussa"	"Artiodactyla"	"Suidae"	"Babyrousa"	"babyrussa"	NA	NA	NA	"127"	"78000"	"IslerVanSchaik2012"	NA	"-0.305324758"	"-0.187743147"
"Phacochoerus africanus"	"Phacochoerus_africanus"	"Artiodactyla"	"Suidae"	"Phacochoerus"	"africanus"	NA	NA	NA	"132.5"	"67000"	"Count1947"	NA	"-0.237397296"	"-0.187021443"
"Antidorcas marsupialis"	"Antidorcas_marsupialis"	"Artiodactyla"	"Bovidae"	"Antidorcas"	"marsupialis"	NA	NA	NA	"135"	"36518"	"IslerVanSchaik2012"	NA	"-0.031601723"	"-0.186308576"
"Redunca arundinum"	"Redunca_arundinum"	"Artiodactyla"	"Bovidae"	"Redunca"	"arundinum"	NA	NA	NA	"136.8"	"38200"	"IslerVanSchaik2012"	NA	"-0.040516813"	"-0.185836146"
"Potamochoerus porcus"	"Potamochoerus_porcus"	"Artiodactyla"	"Suidae"	"Potamochoerus"	"porcus"	NA	NA	NA	"138"	"75000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.256474271"	"-0.18427217"
"Nanger granti"	"Nanger_granti"	"Artiodactyla"	"Bovidae"	"Nanger"	"granti"	NA	NA	NA	"139"	"40500"	"IslerVanSchaik2012"	NA	"-0.052632031"	"-0.181908484"
"Ovis ammon"	"Ovis_ammon"	"Artiodactyla"	"Bovidae"	"Ovis"	"ammon"	NA	NA	NA	"140"	"55000"	"IslerVanSchaik2012"	NA	"-0.149200462"	"-0.181546865"
"Hylochoerus meinertzhageni"	"Hylochoerus_meinertzhageni"	"Artiodactyla"	"Suidae"	"Hylochoerus"	"meinertzhageni"	NA	NA	NA	"141"	"2.00E+05"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.566613733"	"-0.179935299"
"Axis porcinus"	"Axis_porcinus"	"Artiodactyla"	"Cervidae"	"Axis"	"porcinus"	NA	NA	NA	"142"	"30000"	"IslerVanSchaik2012"	NA	"0.054392739"	"-0.176215857"
"Tragelaphus spekii"	"Tragelaphus_spekii"	"Artiodactyla"	"Bovidae"	"Tragelaphus"	"spekii"	NA	NA	NA	"145"	"42000"	"IslerVanSchaik2012"	NA	"-0.046124638"	"-0.17382768"
"Tayassu pecari"	"Tayassu_pecari"	"Artiodactyla"	"Tayassuidae"	"Tayassu"	"pecari"	"1"	NA	NA	"145.8"	"32233.33"	"Boddy2012"	"Warncke 1908; Silva & Downing 1995"	"0.042473764"	"-0.164390613"
"Nanger dama"	"Nanger_dama"	"Artiodactyla"	"Bovidae"	"Nanger"	"dama"	NA	NA	NA	"150"	"60000"	"IslerVanSchaik2012"	NA	"-0.14757892"	"-0.1639032"
"Hemitragus jemlahicus"	"Hemitragus_jemlahicus"	"Artiodactyla"	"Bovidae"	"Hemitragus"	"jemlahicus"	NA	NA	NA	"166"	"70000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.153772645"	"-0.14664572"
"Sus scrofa"	"Sus_scrofa"	"Artiodactyla"	"Suidae"	"Sus"	"scrofa"	"1"	NA	NA	"169.8"	"86772.73"	"Boddy2012"	"Warncke 1908; Silva & Downing 1995"	"-0.213907607"	"-0.143326098"
"Cephalophus silvicultor"	"Cephalophus_silvicultor"	"Artiodactyla"	"Bovidae"	"Cephalophus"	"silvicultor"	NA	NA	NA	"170"	"43000"	"IslerVanSchaik2012"	NA	"0.015291837"	"-0.142927191"
"Ovis aries"	"Ovis_aries"	"Artiodactyla"	"Bovidae"	"Ovis"	"aries"	NA	NA	NA	"175"	"55500"	"Savage and West 2006"	"Meddis R 1983"	"-0.055238196"	"-0.139216846"
"Addax nasomaculatus"	"Addax_nasomaculatus"	"Artiodactyla"	"Bovidae"	"Addax"	"nasomaculatus"	NA	NA	NA	"185"	"107000"	"IslerVanSchaik2012"	NA	"-0.244924579"	"-0.126273547"
"Odocoileus hemionus"	"Odocoileus_hemionus"	"Artiodactyla"	"Cervidae"	"Odocoileus"	"hemionus"	NA	NA	NA	"189.3"	"58990"	"IslerVanSchaik2012"	NA	"-0.040989873"	"-0.125072931"
"Vicugna vicugna"	"Vicugna_vicugna"	"Artiodactyla"	"Camelidae"	"Vicugna"	"vicugna"	NA	NA	NA	"199.9"	"46215"	"IslerVanSchaik2012"	NA	"0.062169617"	"-0.12438743"
"Cervus nippon"	"Cervus_nippon"	"Artiodactyla"	"Cervidae"	"Cervus"	"nippon"	NA	NA	NA	"200"	"46000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"0.063905677"	"-0.118608062"
"Kobus kob"	"Kobus_kob"	"Artiodactyla"	"Bovidae"	"Kobus"	"kob"	NA	NA	NA	"204"	"117500"	"IslerVanSchaik2012"	NA	"-0.232956987"	"-0.11697151"
"Ammotragus lervia"	"Ammotragus_lervia"	"Artiodactyla"	"Bovidae"	"Ammotragus"	"lervia"	NA	NA	NA	"209"	"110000"	"IslerVanSchaik2012"	NA	"-0.200956785"	"-0.114956953"
"Hexaprotodon liberiensis"	"Hexaprotodon_liberiensis"	"Artiodactyla"	"Hippopotamidae"	"Hexaprotodon"	"liberiensis"	NA	NA	NA	"215"	"81000"	"Perez-Barberia.etal.2007"	NA	"-0.088982945"	"-0.113149639"
"Boselaphus tragocamelus"	"Boselaphus_tragocamelus"	"Artiodactyla"	"Bovidae"	"Boselaphus"	"tragocamelus"	"2"	NA	NA	"271.75"	"125000"	"Boddy2012"	"Warncke 1908"	"-0.128571897"	"-0.098289773"
"Oryx beisa"	"Oryx_beisa"	"Artiodactyla"	"Bovidae"	"Oryx"	"beisa"	NA	NA	NA	"282"	"175000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.222089377"	"-0.082518613"
"Bos grunniens"	"Bos_grunniens"	"Artiodactyla"	"Bovidae"	"Bos"	"grunniens"	NA	NA	NA	"334"	"250000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.264769557"	"-0.0615929"
"Alcelaphus lichtensteinii"	"Alcelaphus_lichtensteinii"	"Artiodactyla"	"Bovidae"	"Alcelaphus"	"lichtensteinii"	NA	NA	NA	"357"	"165000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.100504514"	"-0.059360356"
"Alces americanus"	"Alces_americanus"	"Artiodactyla"	"Cervidae"	"Alces"	"americanus"	NA	NA	NA	"407"	"272000"	"Count1947"	NA	"-0.206393539"	"-0.051473305"
"Cervus elaphus"	"Cervus_elaphus"	"Artiodactyla"	"Cervidae"	"Cervus"	"elaphus"	"1"	NA	NA	"409.3"	"2.00E+05"	"Boddy2012"	"Warncke 1908"	"-0.103791101"	"-0.047631543"
"Alces alces"	"Alces_alces"	"Artiodactyla"	"Cervidae"	"Alces"	"alces"	"1"	NA	NA	"436"	"2.00E+05"	"Boddy2012"	"Warncke 1908"	"-0.076346356"	"-0.047184868"
"Okapia johnstoni"	"Okapia_johnstoni"	"Artiodactyla"	"Giraffidae"	"Okapia"	"johnstoni"	NA	NA	NA	"501"	"240000"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.0753816"	"-0.019740124"
"Camelus bactrianus"	"Camelus_bactrianus"	"Artiodactyla"	"Camelidae"	"Camelus"	"bactrianus"	NA	NA	NA	"575"	"4.00E+05"	"Perez-Barberia.etal.2007"	"Dunbar.2006"	"-0.181939574"	"0.00102404"
"Mustela erminea"	"Mustela_erminea"	"Carnivora"	"Mustelidae"	"Mustela"	"erminea"	"5"	NA	"Both"	"4.57"	"156.43"	"Boddy2012"	"Crile&Quiring1940,Warncke1908"	"0.274137251"	"0.067295272"
"Mephitis mephitis"	"Mephitis_mephitis"	"Carnivora"	"Mephitidae"	"Mephitis"	"mephitis"	"3"	NA	"Both"	"10.15"	"1980"	"Boddy2012"	"Crile&Quiring1940"	"-0.206079371"	"-0.303263127"
"Pusa caspica"	"Pusa_caspica"	"Carnivora"	"Phocidae"	"Pusa"	"caspica"	"2"	NA	"Both"	"162.5"	"62750"	"Boddy2012"	"Bininda-Emonds 2000"	"-0.127413808"	"-0.075287386"
"Pusa sibirica"	"Pusa_sibirica"	"Carnivora"	"Phocidae"	"Pusa"	"sibirica"	"2"	NA	"Both"	"187.5"	"89500"	"Boddy2012"	"Bininda-Emonds 2000"	"-0.180923944"	"-0.11345721"
"Pusa hispida"	"Pusa_hispida"	"Carnivora"	"Phocidae"	"Pusa"	"hispida"	"2"	NA	"Both"	"196.25"	"69085"	"Boddy2012"	"Bininda-Emonds 2000"	"-0.07678532"	"-0.020503731"
"Histriophoca fasciata"	"Histriophoca_fasciata"	"Carnivora"	"Phocidae"	"Histriophoca"	"fasciata"	"2"	NA	"Both"	"248.75"	"87580"	"Boddy2012"	"Bininda-Emonds 2000"	"-0.051098491"	"0.015431358"
"Phoca largha"	"Phoca_largha"	"Carnivora"	"Phocidae"	"Phoca"	"largha"	"2"	NA	"Both"	"253.75"	"91500"	"Boddy2012"	"Bininda-Emonds 2000"	"-0.056717775"	"0.011703747"
