species	body_weight_g	brain_weight_mg	total_brain_net_mm3	medulla_oblongata_mm3	cerebellum_mm3	mesencephalon_mm3	diencephalon_mm3	telencephalon_mm3	bulbus_olfactorius_mm3	palaeocortex_plus_amygdala_mm3	septum_mm3	striatum_mm3	schizocortex_mm3	hippocampus_mm3	neocortex_mm3	source
Cebus albifrons	3000	80000	75592	1896	8357	1487	4623	59229	37.2	892	161	3635	401	1029	53073	Stephan_etal_1970
Saimiri sciureus	680	22000	20691	661	2071	482	1311	16165	25.4	411	83	929	154	316	14246	Stephan_etal_1970
Ateles geoffroyi	8000	108000	101034	1834	12438	1482	5334	79946	92.6	1625	324	4950	732	1366	70856	Stephan_etal_1970
Lagothrix logotricha	5200	101000	94939	1742	12016	1423	5206	74553	83	1502	241	4662	597	1381	66087	Stephan_etal_1970
Macaca mulatta	6000	93000	87896	1992	8965	1380	4480	71080	84.3	1220	271	4032	639	1353	63481	Stephan_etal_1970
Cercocebus albigena	7900	104000	97603	2708	10725	1770	5351	77049	121	1639	294	4146	630	1485	68733	Stephan_etal_1970
Cercopithecus talapoin	1000	39000	36830	1139	3085	767	2460	29379	22.3	732	121	1835	237	684	25747	Stephan_etal_1970
Cercopithecus ascanius	3600	65000	61610	1583	5654	1127	3498	49748	96.5	1136	243	2627	673	1154	43818	Stephan_etal_1970
Cercopithecus mitis	6500	76000	71505	2026	6848	1372	4232	57027	118	1282	249	2769	625	1385	50599	Stephan_etal_1970
Colobus badius	7000	78000	73818	2007	8648	1333	3945	57885	51.3	998	288	3156	814	1671	50906	Stephan_etal_1970
Pan troglodytes	46000	420000	396255	6032	45280	3878	15962	325104	267	2852	882	12700	2093	3919	302392	Stephan_etal_1970
Gorilla gorilla	125000	465000	437433	6983	64402	4047	18014	343987	294	4530	1090	13547	2537	4446	317542	Stephan_etal_1970
Homo sapiens	65000	1330000	1251847	9622	137421	8087	33319	1063398	114	9161	2610	28559	6142	10287	1006525	Stephan_etal_1970
