"subject_no"	"species"	"structure"	"volume_cm3"	"SERT_axon_density_um_per_um3"	"hemisphere"	"source"
3	"Pan paniscus"	"Whole_amygdala"	0.66357	0.00898	"one side"	"Stimpson_etal_2015"
4	"Pan paniscus"	"Whole_amygdala"	0.78237	NA	"one side"	"Stimpson_etal_2015"
5	"Pan paniscus"	"Whole_amygdala"	0.64567	0.00427	"one side"	"Stimpson_etal_2015"
6	"Pan paniscus"	"Whole_amygdala"	0.60138	0.00407	"one side"	"Stimpson_etal_2015"
7	"Pan paniscus"	"Whole_amygdala"	NA	0.00378	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Accessory_basal_nucleus"	0.11035	0.00258	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Accessory_basal_nucleus"	0.11754	0.00267	"one side"	"Stimpson_etal_2015"
3	"Pan troglodytes"	"Accessory_basal_nucleus"	0.10619	0.00269	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Accessory_basal_nucleus"	0.09919	0.00235	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Accessory_basal_nucleus"	0.08181	0.0024	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Accessory_basal_nucleus"	0.10865	0.00255	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Accessory_basal_nucleus"	0.09751	0.00278	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Basal_nucleus"	0.31847	0.0028	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Basal_nucleus"	0.25485	0.00261	"one side"	"Stimpson_etal_2015"
3	"Pan troglodytes"	"Basal_nucleus"	0.18909	0.00284	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Basal_nucleus"	0.3127	0.00269	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Basal_nucleus"	0.27185	0.00225	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Basal_nucleus"	0.16766	0.00294	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Basal_nucleus"	0.20661	0.00337	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00313	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00274	"one side"	"Stimpson_etal_2015"
3	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00246	"one side"	"Stimpson_etal_2015"
4	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00278	"one side"	"Stimpson_etal_2015"
5	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00259	"one side"	"Stimpson_etal_2015"
6	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00208	"one side"	"Stimpson_etal_2015"
7	"Pan troglodytes"	"Caudate_nucleus"	NA	0.00243	"one side"	"Stimpson_etal_2015"
1	"Pan troglodytes"	"Central_nucleus"	0.06746	0.00288	"one side"	"Stimpson_etal_2015"
2	"Pan troglodytes"	"Central_nucleus"	0.07259	0.00318	"one side"	"Stimpson_etal_2015"
