"Infraclass"	"Order"	"Suborder"	"Parvorder"	"Family"	"Scientific name"	"ILA Pial Dorsal"	"ILA Pial Ventral"	"ILA Subpial Dorsal"	"ILA Subpial Ventral"
"Eutheria"	"Primates"	"Haplorhini"	"Platyrrhini"	"Atelidae"	"Alouatta caraya"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Platyrrhini"	"Pitheciidae"	"Pithecia pithecia"	"Yes"	"Yes"	"rudimetary"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Platyrrhini"	"Callitrichidae"	"Cebuella pygmaea"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Primates"	"Haplorhini"	"Platyrrhini"	"Callitrichidae"	"Saguinus imperator"	"Yes"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Cercocebus agilis"	"Yes"	NA	"Yes"	NA
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Cercopithecus kandti"	"Yes"	"Yes"	"rudimetary"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Erythrocebus patas"	"Yes"	"Yes"	"rudimetary"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Mandrillus sphynx"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Macaca fascicularis"	"Yes"	"Yes"	"rudimetary"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Macaca mulatta"	"Yes"	"Yes"	"rudimetary"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Chlorocebus pygerythrus"	"Yes"	"Yes"	"rudimetary"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Cercopithecidae"	"Papio ursinus"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Hominidae"	"Gorilla gorilla"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Hominidae"	"Hylobates muelleri"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Hominidae"	"Pan paniscus"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Hominidae"	"Pan troglodytes"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Hominidae"	"Pongo pygmaeus"	"Yes"	"Yes"	"Yes"	"Yes"
"Eutheria"	"Primates"	"Haplorhini"	"Catarhini"	"Hominidae"	"Homo sapiens"	"Yes"	NA	"Yes"	NA
"Eutheria"	"Chiroptera"	"Microchiroptera"	NA	"Phyllostomidae"	"Carollia perspicillata"	"rudimetary"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Chiroptera"	"Microchiroptera"	NA	"Phyllostomidae"	"Glossophaga soricina"	"rudimetary"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Chiroptera"	"Megachiroptera"	NA	"Pteropodidae"	"Epomops franqueti"	"rudimetary"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Chiroptera"	"Megachiroptera"	NA	"Pteropodidae"	"Megaloglossus woermanni"	"rudimetary"	"Yes"	"No"	"No"
"Eutheria"	"Chiroptera"	"Megachiroptera"	NA	"Pteropodidae"	"Rousettus aegyptiacus"	"rudimetary"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Eulipotyphla"	NA	NA	"Erinaceidae"	"Atelerix frontalis"	"No"	"rudimetary"	"No"	"No"
"Eutheria"	"Carnivora"	"Feliformia"	NA	"Felidae"	"Felis catus"	"rudimetary"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Carnivora"	"Feliformia"	NA	"Felidae"	"Panthera tigris"	"rudimetary"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Carnivora"	"Musteloidea"	NA	"Mustelidae"	"Mustela putorius"	"rudimetary"	"Yes"	"rudimetary"	"rudimetary"
"Eutheria"	"Carnivora"	"Caniformia"	NA	"Ailuridae"	"Ailurus fulgens"	"rudimetary"	"Yes"	"No"	"rudimetary"
"Eutheria"	"Artiodactyla"	"Ruminantia"	NA	"Bovidae"	"Ovis aries"	"rudimetary"	NA	"No"	NA
"Eutheria"	"Artiodactyla"	"Whippomorpha"	NA	"Hippopotamidae"	"Hippopotamus amphibius"	"No"	"rudimetary"	"No"	"rudimetary"
"Eutheria"	"Artiodactyla"	"Cetacea"	NA	"Balaenopteridae"	"Balaenoptera acutorostrata"	"rudimetary"	"Yes"	"No"	"No"
"Eutheria"	"Artiodactyla"	"Cetacea"	NA	"Phocoenidae"	"Phocoena phocoena"	"rudimetary"	"Yes"	"No"	"rudimetary"
