Species,Species_Sherwood_2005,Number_Sherwood2005,Medulla_oblongata_2005,Medulla_oblongata_SD,Vmo,Vmo_SD,VII,VII_SD,XII,XII_SD,,,,,,,,,,               
Macaca mulatta,Macaca mulatta,2,2329.14,126.13,3.84,0.58,4.92,0.61,3.85,0.57,,,,,,,,,,
Lophocebus albigena,Lophocebus albigena,1,2670.59,-,3.27,-,4.31,-,3.06,-,,,,,,,,,,
Papio anubis,Papio anubis,1,5171.17,-,6.16,-,7.44,-,4.62,-,,,,,,,,,,
Cercopithecus ascanius,Cercopithecus ascanius,2,1802.09,240.43,2.07,0.27,2.64,0.34,1.99,0.31,,,,,,,,,,
Cercopithecus mitis,Cercopithecus mitis,1,1998.9,-,2.14,-,3.07,-,2.07,-,,,,,,,,,,
Miopithecus talapoin,Miopithecus talapoin,2,1034.79,188.62,1.47,0.05,1.86,0.57,1.22,0.03,,,,,,,,,,
Erythrocebus patas,Erythrocebus patas,2,2615.67,112.28,2.33,0.3,4.59,0.19,2.4,0.29,,,,,,,,,,
Piliocolobus badius,Procolobus badius,2,2007.11,48.95,2.23,0.05,2.26,0.3,1.51,0.02,,,,,,,,,,
Pygathrix nemaeus,Pygathrix nemaeus,1,2206.11,-,2.18,-,2.79,-,1.57,-,,,,,,,,,,
Nasalis larvatus,Nasalis larvatus,1,2945.18,-,2.82,-,4.41,-,2.18,-,,,,,,,,,,
Hylobates lar,Hylobates lar,3,2249.16,118.66,1.96,0.08,2.06,0.24,2.44,0.3,,,,,,,,,,
Pongo sp.,Pongo pygmaeus,3,5172.05,579.77,6.31,2.54,12.82,5.7,12.11,2.26,,,,,,,,,,
Gorilla sp.,Gorilla gorilla,3,8393.91,1385.35,9.49,1.89,13.26,3.6,10.2,2.79,,,,,,,,,,
Pan troglodytes,Pan troglodytes,3,6027.39,1282.37,5.09,1.14,12.32,1.18,7.84,3.08,,,,,,,,,,
Pan paniscus,Pan paniscus,2,4152.02,710.28,2.89,0.12,7.5,0.96,4.09,1.21,,,,,,,,,,
Homo sapiens,Homo sapiens,5,9699.79,711.33,7.74,2.03,12.95,2.72,14.39,2.99,,,,,,,,,,
