Species,Species_Frahm94,Body_weight,Hippocampus_total ,HP+HS+fibers,Hippocampus_retrocomm.,Subiculum,CA1,CA2,CA3,Hilus,Fascia_dentata
Papio anubis,Papio anubis,25000,3397.9,1318.88,2079.02,156.72,800.97,66.37,564.35,178.36,312.25
Perodicticus potto,Perodicticus potto,1150,607.01,78.69,528.32,48.35,197.36,16.3,139.69,26.62,100
Pithecia monachus,Pithecia monachus,1500,834.26,188.08,646.18,41.63,259.52,31.78,154.43,56.38,102.44
Procolobus badius,Colobus badius,7000,1670.84,221.64,1449.2,129.2,615.79,38.44,323.72,156.77,185.28
Propithecus verreauxi,Propithecus verreauxi,3480,1042.96,160.88,882.08,72.19,361.75,18.7,217.12,70.93,141.39
Pygathrix nemaeus,Pygathrix nemaeus,7500,2295.41,445.75,1849.66,117.14,786.6,44.48,420.73,227.64,253.07
Saimiri sciureus,Saimiri sciureus,660,351.44,103.06,248.38,17.58,79.82,13.7,66.43,21.07,49.78
Saguinus midas,Saguinus midas tamarin,340,280.26,53.55,226.71,15.85,78.04,10.95,68.92,13.97,38.98
Saguinus oedipus,Saguinus oedipus,380,262.09,53.1,208.99,23.45,85.42,9.66,49.77,9.14,31.55
Setifer setosus,Setifer setosus,237,96.57,11.54,85.03,5.83,21.24,5.67,25.79,6.63,19.87
Tarsius sp.,Tarsius spec.,125,152.66,22.78,129.88,10.76,51.39,7.03,32.09,5.87,22.74
Tenrec ecaudatus,Tenrec ecaudatus,852,147.12,22.59,124.53,7.5,32.11,6.49,39.7,8,30.73
Varecia variegata,Varecia variegata,3000,1403.65,226.7,1176.95,80.15,410.99,26.84,304.87,118.25,235.85
