canonical_structure,domain,measures_seen
Pallidum,brain_structure_volume,Volume_mm3
Prepiriform_cortex,brain_structure_volume,Volume_mm3
Retrobulbar_cortex,brain_structure_volume,Volume_mm3
Schizo_cortex,brain_structure_volume,Volume_mm3
Septum,brain_structure_volume,Volume_mm3
Striatum,brain_structure_volume,Volume_mm3
Subiculum,brain_structure_volume,Volume_mm3
Substantia_innominata,brain_structure_volume,Volume_mm3
Subthalamus,brain_structure_volume,Volume_mm3
Telencephalon,brain_structure_volume,Volume_mm3
Thalamus,brain_structure_volume,Volume_mm3
Total_brain_net_volume,brain_structure_volume,Volume_mm3
Tractus_olfactorius_lateralis,brain_structure_volume,Volume_mm3
Tractus_opticus,brain_structure_volume,Volume_mm3
Tuberculum_olfactorium,brain_structure_volume,Volume_mm3
VII,brain_structure_volume,Volume_mm3
VII_SD,brain_structure_volume,Volume_mm3
Ventral_pons,brain_structure_volume,Volume_mm3
Ventricles,brain_structure_volume,Volume_mm3
Vmo,brain_structure_volume,Volume_mm3
Vmo_SD,brain_structure_volume,Volume_mm3
XII,brain_structure_volume,Volume_mm3
XII_SD,brain_structure_volume,Volume_mm3
fronto_insular_cortex,brain_structure_volume,Volume_mm3
NeocortexGrey,brain_structure_volume,Volume.cm3
NeocortexWhite,brain_structure_volume,Volume.cm3
CerebellumGrey,brain_structure_volume,Volume.cm3
CerebellumWhite,brain_structure_volume,Volume.cm3
FrontalGrey,brain_structure_volume,Volume.cm3; ratio
CortexGreyRest,brain_structure_volume,Volume.cm3
V1,brain_structure_volume,Volume.cm3; Area.cm2; Length.mm
LGN,brain_structure_volume,Volume.cm3
