accepted_name,ncbi_taxid,in_Stephan,in_HerculanoHouzel,in_Allman,Order_Stephan1981,Suborder_Stephan1981,Family_Stephan1981,code_Stephan1981,Order_MDD,Family_MDD,mdd_accepted_name,needs_taxonomy_review,Order_resolved,Family_resolved,taxonomy_source,order_matches_MDD
Mungos mungo,210652,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Herpestidae,NCBI:taxid,NA
Mus musculus,10090,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Muridae,NCBI:taxid,NA
Mustela erminea,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Mustelidae,NCBI:name,NA
Mustela putorius,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Mustelidae,NCBI:name,NA
Mustela putorius furo,9669,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Mustelidae,NCBI:taxid,NA
Mustela vison,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Mustelidae,NCBI:name,NA
Myosorex babaulti,NA,TRUE,FALSE,FALSE,Insectivora,NA,NA,NA,Eulipotyphla,Soricidae,Myosorex babaulti,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Myoxus glis,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Rodentia,Gliridae,NCBI:name,NA
Myrmecophaga tridactyla,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Pilosa,Myrmecophagidae,NCBI:name,NA
NA,NA,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA
Nasalis larvatus,NA,TRUE,FALSE,FALSE,Primates,Simians,NA,243,Primates,Cercopithecidae,Nasalis larvatus,FALSE,Primates,Cercopithecidae,NCBI:name,TRUE
Nasua narica,NA,FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA,TRUE,Carnivora,Procyonidae,NCBI:name,NA
Neomys fodiens,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,43,Eulipotyphla,Soricidae,Neomys fodiens,FALSE,Eulipotyphla,Soricidae,NCBI:name,TRUE
Nesogale dobsoni,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,9,Afrosoricida,Tenrecidae,Nesogale dobsoni,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Nesogale talazaci,NA,TRUE,FALSE,FALSE,Insectivora,Progressive Insectivora,NA,10,Afrosoricida,Tenrecidae,Nesogale talazaci,FALSE,Afrosoricida,Tenrecidae,NCBI:name,TRUE
Notamacropus parma,413582,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Diprotodontia,Macropodidae,NCBI:taxid,NA
Notamacropus rufogriseus,1960652,FALSE,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,TRUE,Diprotodontia,Macropodidae,NCBI:taxid,NA
Nycticebus coucang,NA,TRUE,FALSE,TRUE,Primates,Prosimians,Lorisidae,138,Primates,Lorisidae,Nycticebus coucang,FALSE,Primates,Lorisidae,NCBI:name,TRUE
