"Standard_old","DosSantos2017_old","JardimMessender2017_old","Original_Term","Standardized_Term"
"PonsMedulla_Mass_g","MP+M",NA,"Pons+Medulla Mass, g","PonsMedulla_Mass.g"
"PonsMedulla_N_n","NP+M",NA,"Pons+Medulla N, n","PonsMedulla_N.n"
"PonsMedulla_Nmg","DNP+M",NA,"Pons+Medulla N/mg","PonsMedulla_N.p.mg"
"PonsMedulla_O_n","",NA,"Pons+Medulla O, n","PonsMedulla_O.n"
"PonsMedulla_ON","O/NP+M",NA,"Pons+Medulla O/N","PonsMedulla_O.p.N"
"RoB_Mass_g","MROB","MRoB.g","RoB Mass, g","RoB_Mass.g"
"RoB_Mass_g_SD","",NA,"RoB Mass, g SD","RoB_Mass.g_SD"
"RoB_N_n","NROB","NRoB","RoB N, n","RoB_N.n"
"RoB_N_n_SD","",NA,"RoB N, n SD","RoB_N.n_SD"
"RoB_Nmg","DNROB","DNRoB","RoB N/mg","RoB_N.p.mg"
"RoB_Nmg_SD","",NA,"RoB N/mg SD","RoB_N.p.mg_SD"
"RoB_O_n","","ORoB","RoB O, n","RoB_O.n"
"RoB_O_n_SD","",NA,"RoB O, n SD","RoB_O.n_SD"
"RoB_Omg","",NA,"RoB O/mg","RoB_O.p.mg"
"RoB_Omg_SD","",NA,"RoB O/mg SD","RoB_O.p.mg_SD"
"RoB_ON","O/NROB","O/NRoB","RoB O/N","RoB_O.p.N"
"RoB_ON_SD","",NA,"RoB O/N SD","RoB_O.p.N_SD"
"RoB_Source","",NA,"RoB Source","RoB_Source"
"WholeBrain_Mass_g","MBR","MBR.g","Brain mass, g","WholeBrain_Mass.g"
"WholeBrain_Mass_g_SD","",NA,"Brain mass, g SD","WholeBrain_Mass.g_SD"
"WholeBrain_n","",NA,"Whole brain n","WholeBrain_n"
"WholeBrain_N_n","NBR","NBR","Whole brain Neurons","WholeBrain_N.n"
"WholeBrain_N_n_SD","",NA,"Whole brain Neurons SD","WholeBrain_N.n_SD"
"WholeBrain_Nmg","",NA,"Whole brain N/mg","WholeBrain_N.p.mg"
"WholeBrain_O_n","","OBR","Whole brain Other cells","WholeBrain_O.n"
"WholeBrain_O_n_SD","",NA,"Whole brain Other cells SD","WholeBrain_O.n_SD"
"WholeBrain_Omg","",NA,"Whole brain O/mg","WholeBrain_O.p.mg"
"WholeBrain_ON","O/NBR","O/NBR","Whole brain O/N","WholeBrain_O.p.N"
"WholeBrain_percent_Neurons","",NA,"Whole brain % Neurons","WholeBrain_p.C.N"
"WholeBrain_percent_Neurons_SD","",NA,"Whole brain % Neurons SD","WholeBrain_p.C.N_SD"
"WholeBrain_Source","",NA,"Whole brain Source","WholeBrain_Source"
