accepted_name,ncbi_taxid,variant_name,source_datasets
Condylura cristata,143302,Condylura cristata,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Cryptomys hottentotus,10175,Cryptomys hottentotus,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Cryptomys hottentotus natalensis,63621,Cryptomys natalensis,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Cryptomys hottentotus pretoriae,63619,Cryptomys pretoriae,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
NA,NA,Cynomys sp.,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Damaliscus pygargus phillipsi,37172,Damaliscus dorcas phillipsi,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
NA,NA,Dasyprocta prymnolopha,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Dendrohyrax dorsalis,42325,Dendrohyrax dorsalis,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Dendrolagus goodfellowi,69260,Dendrolagus goodfellowi,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Didelphis aurita,85694,Didelphis aurita,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Elephantulus myurus,113277,Elephantulus myurus,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Epomophorus wahlbergi,58067,Epomophorus wahlbergi,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Epomops franqueti,77231,Epomops franqueti,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Felis catus,9685,Felis catus,"DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1"
Fukomys anselli,261002,Fukomys anselli,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Fukomys damarensis,885580,Fukomys damarensis,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Fukomys darlingi,63616,Fukomys darlingi,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Fukomys mechowii,423607,Fukomys mechowii,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Georychus capensis,10177,Georychus capensis,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Giraffa camelopardalis,9894,Giraffa camelopardalis,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Gorilla gorilla,9593,Gorilla gorilla,HerculanoHouzel_etal_2015_Table2
Heliophobius argenteocinereus,10179,Heliophobius argenteocinereus,"Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Heterocephalus glaber,10181,Heterocephalus glaber,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5, Kverkova_etal_2018_TableS1, Kverkova_etal_2018_TableS5"
Macronycteris commersoni,110941,Hipposideros commersoni,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Homo sapiens,9606,Homo sapiens,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Homo sapiens,9606,Homo sapiens sapiens,DosSantos_etal_2020_unpublished
Hyaena hyaena,95912,Hyaena hyaena,JardimMesseder_etal_2017_Table1
Hydrochoerus hydrochaeris,10149,Hydrochoerus hydrochaeris,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Hypsignathus monstrosus,448084,Hypsignathus monstrosus,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Loxodonta africana,9785,Loxodonta africana,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Macaca fascicularis,9541,Macaca fascicularis,"Burish_etal_2010_Table1, DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Macaca mulatta,9544,Macaca mulatta,"Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Macaca nemestrina,9545,Macaca nemestrina,DosSantos_etal_2020_unpublished
Macaca radiata,9548,Macaca radiata,"Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Macropus fuliginosus,9316,Macropus fuliginosus,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Notamacropus parma,413582,Macropus parma,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Notamacropus rufogriseus,1960652,Macropus rufogriseus,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Osphranter rufus,9321,Macropus rufus,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Marmosops incanus,225404,Marmosops incanus,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Megaloglossus woermanni,58073,Megaloglossus woermanni,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Mesocricetus auratus,10036,Mesocricetus auratus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Metachirus nudicaudatus,42725,Metachirus nudicaudatus,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Microcebus murinus,30608,Microcebus murinus,"Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Miniopterus schreibersii,9433,Miniopterus schreibersii,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Mungos mungo,210652,Mungos mungo,"DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1"
Mus musculus,10090,Mus musculus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Mustela putorius furo,9669,Mustela putorius furo,"DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1"
Oryctolagus cuniculus,9986,Oryctolagus cuniculus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Otolemur garnettii,30611,Otolemur garnettii,"Burish_etal_2010_Table1, DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Panthera leo,9689,Panthera leo,"DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1"
Papio cynocephalus,9556,Papio anubis cynocephalus,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Parascalops breweri,94437,Parascalops breweri,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Petrodromus tetradactylus,113272,Petrodromus tetradactylus,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Pongo pygmaeus,9600,Pongo pygmaeus,HerculanoHouzel_etal_2015_Table2
Procavia capensis,9813,Procavia capensis,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Procyon lotor,9654,Procyon lotor,JardimMesseder_etal_2017_Table1
Proechimys guyannensis,128105,Proechimys cayennensis,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Rattus norvegicus,10116,Rattus norvegicus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Rousettus aegyptiacus,9407,Rousettus aegyptiacus,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Saguinus midas,30586,Saguinus midas,DosSantos_etal_2020_unpublished
Saimiri sciureus,9521,Saimiri sciureus,"Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table5"
Sarcophilus harrisii,9305,Sarcophilus harrisii,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
Scalopus aquaticus,71119,Scalopus aquaticus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Sciurus carolinensis,30640,Sciurus carolinensis,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Scotonycteris zenkeri,1001563,Scotonycteris zenkeri,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Sorex fumeus,62283,Sorex fumeus,"HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Sus scrofa domesticus,9825,Sus scrofa domesticus,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Tragelaphus strepsiceros,9946,Tragelaphus strepsiceros,"DosSantos_etal_2020_unpublished, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Triaenops persicus,329870,Triaenops persicus,"HerculanoHouzel_etal_2020_TABLE1, HerculanoHouzel_etal_2020_TABLE2"
Tupaia glis,9395,Tupaia glis,"Burish_etal_2010_Table1, HerculanoHouzel_etal_2015_Table1, HerculanoHouzel_etal_2015_Table2, HerculanoHouzel_etal_2015_Table3, HerculanoHouzel_etal_2015_Table4, HerculanoHouzel_etal_2015_Table5"
Ursus arctos,9644,Ursus arctos,"DosSantos_etal_2020_unpublished, JardimMesseder_etal_2017_Table1"
Wallabia bicolor,9330,Wallabia bicolor,"DosSantos_etal_2017_TableS1, DosSantos_etal_2020_unpublished"
