standardized_term,structure,measure,original_term_variant,reference
Body_Mass.g,Body,Mass.g,Body_Mass.g,Kverkova_etal_2018_TableS1
Body_Mass.g,Body,Mass.g,MBD,Burish_etal_2010_Table1
Body_Mass.g,Body,Mass.g,MBD,DosSantos_etal_2017_TableS1
Body_Mass.g,Body,Mass.g,MBD,HerculanoHouzel_etal_2015_Table5
Body_Mass.g,Body,Mass.g,MBD,HerculanoHouzel_etal_2020_TABLE1
Body_Mass.g,Body,Mass.g,MBD,Kverkova_etal_2018_TableS1
Body_Mass.g,Body,Mass.g,"MBODY, g",Burish_etal_2010_Table1
Body_Mass.g,Body,Mass.g,"MBODY, g",DosSantos_etal_2017_TableS1
Body_Mass.g,Body,Mass.g,"MBODY, g",HerculanoHouzel_etal_2015_Table5
Body_Mass.g,Body,Mass.g,"MBODY, g",HerculanoHouzel_etal_2020_TABLE1
Body_Mass.g,Body,Mass.g,"MBODY, g",Kverkova_etal_2018_TableS1
Body_Mass.g_SD,Body_Mass.g,SD,"Body mass, g SD",Burish_etal_2010_Table1
Body_Mass.g_SD,Body_Mass.g,SD,"Body mass, g SD",HerculanoHouzel_etal_2015_Table5
Body_Mass.g_SD,Body_Mass.g,SD,"Body mass, g SD",Kverkova_etal_2018_TableS1
Body_Mass.g_SD,Body_Mass.g,SD,Body_Mass.g_SD,Burish_etal_2010_Table1
Body_Mass.g_SD,Body_Mass.g,SD,Body_Mass.g_SD,HerculanoHouzel_etal_2015_Table5
Body_Mass.g_SD,Body_Mass.g,SD,Body_Mass.g_SD,Kverkova_etal_2018_TableS1
Body_Mass.g_SD,Body_Mass.g,SD,MBD_SD,Burish_etal_2010_Table1
Body_Mass.g_SD,Body_Mass.g,SD,MBD_SD,HerculanoHouzel_etal_2015_Table5
Body_Mass.g_SD,Body_Mass.g,SD,MBD_SD,Kverkova_etal_2018_TableS1
Body_Mass.kg,Body,Mass.kg,MBD.kg,JardimMesseder_etal_2017_Table1
Brain_Mass.g,Brain,Mass.g,MBR,Burish_etal_2010_Table1
Brain_N.n,Brain,N.n,NBR,Burish_etal_2010_Table1
Cerebellum_C.n,Cerebellum,C.n,Cb_C,DosSantos_etal_2020_Table1
Cerebellum_I.n,Cerebellum,I.n,Cb_I,DosSantos_etal_2020_Table1
Cerebellum_I.p.C,Cerebellum,I.p.C,Cb_I/C,DosSantos_etal_2020_unpublished
Cerebellum_I.p.N,Cerebellum,I.p.N,Cb_I/N,DosSantos_etal_2020_Table1
Cerebellum_I.p.mg,Cerebellum,I.p.mg,Cb_I/mg,DosSantos_etal_2020_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,Cb_Structure mass (g),AvelinodeSouza_etal_2025_TABLE1
Cerebellum_Mass.g,Cerebellum,Mass.g,Cb_Structure mass (g),DosSantos_etal_2017_TableS1
Cerebellum_Mass.g,Cerebellum,Mass.g,Cb_Structure mass (g),DosSantos_etal_2020_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,Cb_Structure mass (g),HerculanoHouzel_etal_2015_Table2
Cerebellum_Mass.g,Cerebellum,Mass.g,Cb_Structure mass (g),JardimMesseder_etal_2017_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum Mass, g",AvelinodeSouza_etal_2025_TABLE1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum Mass, g",DosSantos_etal_2017_TableS1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum Mass, g",DosSantos_etal_2020_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum Mass, g",HerculanoHouzel_etal_2015_Table2
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum Mass, g",JardimMesseder_etal_2017_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum_Mass, g",AvelinodeSouza_etal_2025_TABLE1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum_Mass, g",DosSantos_etal_2017_TableS1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum_Mass, g",DosSantos_etal_2020_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum_Mass, g",HerculanoHouzel_etal_2015_Table2
Cerebellum_Mass.g,Cerebellum,Mass.g,"Cerebellum_Mass, g",JardimMesseder_etal_2017_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB,DosSantos_etal_2017_TableS1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB,DosSantos_etal_2020_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB,HerculanoHouzel_etal_2015_Table2
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB,JardimMesseder_etal_2017_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB.g,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB.g,DosSantos_etal_2017_TableS1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB.g,DosSantos_etal_2020_Table1
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB.g,HerculanoHouzel_etal_2015_Table2
Cerebellum_Mass.g,Cerebellum,Mass.g,MCB.g,JardimMesseder_etal_2017_Table1
Cerebellum_Mass.g_SD,Cerebellum_Mass.g,SD,"Cerebellum Mass, g SD",HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n,Cerebellum,N.n,Cb_N,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.n,Cerebellum,N.n,Cb_N,DosSantos_etal_2017_TableS1
Cerebellum_N.n,Cerebellum,N.n,Cb_N,DosSantos_etal_2020_Table1
Cerebellum_N.n,Cerebellum,N.n,Cb_N,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n,Cerebellum,N.n,Cb_N,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.n,Cerebellum,N.n,Cb_N,JardimMesseder_etal_2017_Table1
Cerebellum_N.n,Cerebellum,N.n,Cb_N,Kverkova_etal_2018_TableS5
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",DosSantos_etal_2017_TableS1
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",DosSantos_etal_2020_Table1
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",JardimMesseder_etal_2017_Table1
Cerebellum_N.n,Cerebellum,N.n,"Cerebellum N, n",Kverkova_etal_2018_TableS5
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,DosSantos_etal_2017_TableS1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,DosSantos_etal_2020_Table1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,JardimMesseder_etal_2017_Table1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_N.n,Kverkova_etal_2018_TableS5
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,DosSantos_etal_2017_TableS1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,DosSantos_etal_2020_Table1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,JardimMesseder_etal_2017_Table1
Cerebellum_N.n,Cerebellum,N.n,Cerebellum_Neurons,Kverkova_etal_2018_TableS5
Cerebellum_N.n,Cerebellum,N.n,NCB,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.n,Cerebellum,N.n,NCB,DosSantos_etal_2017_TableS1
Cerebellum_N.n,Cerebellum,N.n,NCB,DosSantos_etal_2020_Table1
Cerebellum_N.n,Cerebellum,N.n,NCB,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n,Cerebellum,N.n,NCB,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.n,Cerebellum,N.n,NCB,JardimMesseder_etal_2017_Table1
Cerebellum_N.n,Cerebellum,N.n,NCB,Kverkova_etal_2018_TableS5
Cerebellum_N.n_SD,Cerebellum_N.n,SD,"Cerebellum N, n SD",HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n_SD,Cerebellum_N.n,SD,"Cerebellum N, n SD",Kverkova_etal_2018_TableS5
Cerebellum_N.n_SD,Cerebellum_N.n,SD,Cerebellum_N.n_SD,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.n_SD,Cerebellum_N.n,SD,Cerebellum_N.n_SD,Kverkova_etal_2018_TableS5
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cb_N/mg,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cb_N/mg,DosSantos_etal_2017_TableS1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cb_N/mg,DosSantos_etal_2020_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cb_N/mg,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cb_N/mg,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cb_N/mg,JardimMesseder_etal_2017_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum N/mg,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum N/mg,DosSantos_etal_2017_TableS1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum N/mg,DosSantos_etal_2020_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum N/mg,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum N/mg,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum N/mg,JardimMesseder_etal_2017_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum_Neurons/mg,DosSantos_etal_2017_TableS1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum_Neurons/mg,DosSantos_etal_2020_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum_Neurons/mg,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum_Neurons/mg,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,Cerebellum_Neurons/mg,JardimMesseder_etal_2017_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,"DN,Cb",AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,"DN,Cb",DosSantos_etal_2017_TableS1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,"DN,Cb",DosSantos_etal_2020_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,"DN,Cb",HerculanoHouzel_etal_2015_Table2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,"DN,Cb",HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,"DN,Cb",JardimMesseder_etal_2017_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,DNCB,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,DNCB,DosSantos_etal_2017_TableS1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,DNCB,DosSantos_etal_2020_Table1
Cerebellum_N.p.mg,Cerebellum,N.p.mg,DNCB,HerculanoHouzel_etal_2015_Table2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,DNCB,HerculanoHouzel_etal_2020_TABLE2
Cerebellum_N.p.mg,Cerebellum,N.p.mg,DNCB,JardimMesseder_etal_2017_Table1
Cerebellum_N.p.mg_SD,Cerebellum_N.p.mg,SD,Cerebellum N/mg SD,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.n,Cerebellum,O.n,"Cerebellum O, n",AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.n,Cerebellum,O.n,"Cerebellum O, n",HerculanoHouzel_etal_2015_Table2
Cerebellum_O.n,Cerebellum,O.n,"Cerebellum O, n",JardimMesseder_etal_2017_Table1
Cerebellum_O.n,Cerebellum,O.n,Cerebellum_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.n,Cerebellum,O.n,Cerebellum_Non-neuronal cells,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.n,Cerebellum,O.n,Cerebellum_Non-neuronal cells,JardimMesseder_etal_2017_Table1
Cerebellum_O.n,Cerebellum,O.n,OCB,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.n,Cerebellum,O.n,OCB,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.n,Cerebellum,O.n,OCB,JardimMesseder_etal_2017_Table1
Cerebellum_O.n_SD,Cerebellum_O.n,SD,"Cerebellum O, n SD",HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum O/N,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum O/N,DosSantos_etal_2017_TableS1
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum O/N,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum O/N,JardimMesseder_etal_2017_Table1
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum_Non-neuronal cells/neuron,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.N,Cerebellum,O.p.N,Cerebellum_Non-neuronal cells/neuron,JardimMesseder_etal_2017_Table1
Cerebellum_O.p.N,Cerebellum,O.p.N,O/NCB,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.p.N,Cerebellum,O.p.N,O/NCB,DosSantos_etal_2017_TableS1
Cerebellum_O.p.N,Cerebellum,O.p.N,O/NCB,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.N,Cerebellum,O.p.N,O/NCB,JardimMesseder_etal_2017_Table1
Cerebellum_O.p.N_SD,Cerebellum_O.p.N,SD,Cerebellum O/N SD,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.mg,Cerebellum,O.p.mg,Cerebellum O/mg,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.p.mg,Cerebellum,O.p.mg,Cerebellum O/mg,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.mg,Cerebellum,O.p.mg,Cerebellum_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
Cerebellum_O.p.mg,Cerebellum,O.p.mg,Cerebellum_Non-neuronal cells/mg,HerculanoHouzel_etal_2015_Table2
Cerebellum_O.p.mg_SD,Cerebellum_O.p.mg,SD,Cerebellum O/mg SD,HerculanoHouzel_etal_2015_Table2
Cerebellum_S.n,Cerebellum,S.n,Cb_No. of samples,DosSantos_etal_2020_Table1
Cerebellum_Source,Cerebellum,Source,Cerebellum Source,HerculanoHouzel_etal_2015_Table2
Cerebellum_Vol.mm3,Cerebellum,Vol.mm3,Cerebellum_Vol.mm3,Kverkova_etal_2018_TableS1
Cerebellum_Vol.mm3_SD,Cerebellum_Vol.mm3,SD,Cerebellum_Vol.mm3_SD,Kverkova_etal_2018_TableS1
Cerebellum_p.C.Brain,Cerebellum,p.C.Brain,Cerebellum_p.C.Brain,Kverkova_etal_2018_TableS1
CerebralCortexGrey_Mass.g,CerebralCortexGrey,Mass.g,"Cerebral cortical grey matter_Mass, g",AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_N.n,CerebralCortexGrey,N.n,Cerebral cortical grey matter_Neurons,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_N.n,CerebralCortexGrey,N.n,Cerebral cortical grey matter_Neurons,DosSantos_etal_2017_TableS1
CerebralCortexGrey_N.n,CerebralCortexGrey,N.n,NGM,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_N.n,CerebralCortexGrey,N.n,NGM,DosSantos_etal_2017_TableS1
CerebralCortexGrey_N.p.mg,CerebralCortexGrey,N.p.mg,Cerebral cortical grey matter_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_N.p.mg,CerebralCortexGrey,N.p.mg,Cerebral cortical grey matter_Neurons/mg,DosSantos_etal_2017_TableS1
CerebralCortexGrey_N.p.mg,CerebralCortexGrey,N.p.mg,DNGM,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_N.p.mg,CerebralCortexGrey,N.p.mg,DNGM,DosSantos_etal_2017_TableS1
CerebralCortexGrey_O.n,CerebralCortexGrey,O.n,Cerebral cortical grey matter_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_O.p.N,CerebralCortexGrey,O.p.N,Cerebral cortical grey matter_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_O.p.N,CerebralCortexGrey,O.p.N,Cerebral cortical grey matter_Non-neuronal cells/neuron,DosSantos_etal_2017_TableS1
CerebralCortexGrey_O.p.N,CerebralCortexGrey,O.p.N,O/NGM,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexGrey_O.p.N,CerebralCortexGrey,O.p.N,O/NGM,DosSantos_etal_2017_TableS1
CerebralCortexGrey_O.p.mg,CerebralCortexGrey,O.p.mg,Cerebral cortical grey matter_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexNoHippocampus_C.n,CerebralCortexNoHippocampus,C.n,Ctx_C,DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_I.n,CerebralCortexNoHippocampus,I.n,Ctx_I,DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_I.p.C,CerebralCortexNoHippocampus,I.p.C,Ctx_I/C,DosSantos_etal_2020_unpublished
CerebralCortexNoHippocampus_I.p.N,CerebralCortexNoHippocampus,I.p.N,Ctx_I/N,DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_I.p.mg,CerebralCortexNoHippocampus,I.p.mg,Ctx_I/mg,DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_Mass.g,CerebralCortexNoHippocampus,Mass.g,Ctx_Structure mass (g),DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_N.n,CerebralCortexNoHippocampus,N.n,Ctx_N,DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_N.p.mg,CerebralCortexNoHippocampus,N.p.mg,Ctx_N/mg,DosSantos_etal_2020_Table1
CerebralCortexNoHippocampus_S.n,CerebralCortexNoHippocampus,S.n,Ctx_No. of samples,DosSantos_etal_2020_Table1
CerebralCortexWhite_Mass.g,CerebralCortexWhite,Mass.g,"Cerebral cortical white matter_Mass, g",AvelinodeSouza_etal_2025_TABLE1
CerebralCortexWhite_N.n,CerebralCortexWhite,N.n,Cerebral cortical white matter_Neurons,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexWhite_N.p.mg,CerebralCortexWhite,N.p.mg,Cerebral cortical white matter_Neurons/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexWhite_O.n,CerebralCortexWhite,O.n,Cerebral cortical white matter_Non-neuronal cells,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexWhite_O.p.N,CerebralCortexWhite,O.p.N,Cerebral cortical white matter_Non-neuronal cells/neuron,AvelinodeSouza_etal_2025_TABLE1
CerebralCortexWhite_O.p.mg,CerebralCortexWhite,O.p.mg,Cerebral cortical white matter_Non-neuronal cells/mg,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_C.n,CerebralCortex,C.n,Cx_C,DosSantos_etal_2020_Table1
CerebralCortex_I.n,CerebralCortex,I.n,Cx_I,DosSantos_etal_2020_Table1
CerebralCortex_I.p.C,CerebralCortex,I.p.C,Cx_I/C,DosSantos_etal_2020_unpublished
CerebralCortex_I.p.N,CerebralCortex,I.p.N,Cx_I/N,DosSantos_etal_2020_Table1
CerebralCortex_I.p.mg,CerebralCortex,I.p.mg,Cx_I/mg,DosSantos_etal_2020_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex (including Hp + amygdala)_Mass, g",AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex (including Hp + amygdala)_Mass, g",DosSantos_etal_2017_TableS1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex (including Hp + amygdala)_Mass, g",DosSantos_etal_2020_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex (including Hp + amygdala)_Mass, g",HerculanoHouzel_etal_2015_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex (including Hp + amygdala)_Mass, g",JardimMesseder_etal_2017_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex Mass, g",AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex Mass, g",DosSantos_etal_2017_TableS1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex Mass, g",DosSantos_etal_2020_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex Mass, g",HerculanoHouzel_etal_2015_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,"Cerebral cortex Mass, g",JardimMesseder_etal_2017_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,Cx_Structure mass (g),AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,Cx_Structure mass (g),DosSantos_etal_2017_TableS1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,Cx_Structure mass (g),DosSantos_etal_2020_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,Cx_Structure mass (g),HerculanoHouzel_etal_2015_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,Cx_Structure mass (g),JardimMesseder_etal_2017_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCX,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCX,DosSantos_etal_2017_TableS1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCX,DosSantos_etal_2020_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCX,HerculanoHouzel_etal_2015_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCX,JardimMesseder_etal_2017_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCxT.g,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCxT.g,DosSantos_etal_2017_TableS1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCxT.g,DosSantos_etal_2020_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCxT.g,HerculanoHouzel_etal_2015_Table1
CerebralCortex_Mass.g,CerebralCortex,Mass.g,MCxT.g,JardimMesseder_etal_2017_Table1
CerebralCortex_Mass.g_SD,CerebralCortex_Mass.g,SD,"Cerebral cortex Mass, g SD",HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,DosSantos_etal_2017_TableS1
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,DosSantos_etal_2020_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,HerculanoHouzel_etal_2015_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,HerculanoHouzel_etal_2020_TABLE2
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,JardimMesseder_etal_2017_Table1
CerebralCortex_N.n,CerebralCortex,N.n,Cerebral cortex (including Hp + amygdala)_Neurons,Kverkova_etal_2018_TableS5
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",AvelinodeSouza_etal_2025_TABLE1
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",DosSantos_etal_2017_TableS1
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",DosSantos_etal_2020_Table1
CerebralCortex_N.n,CerebralCortex,N.n,"Cerebral cortex N, n",HerculanoHouzel_etal_2015_Table1
