,,,Bulbus_olfactoris_Baron87,Retrobulbar_cortex,Prepiriform_cortex,Tuberculum_olfactorium,Tractus_olfactorius_lateralis,Commissura_anterior,Substantia_innominata
SCADENTIA,Tupaia minor,Tupaia minor,94.3,22.8,81.2,20.2,4.8,4,4.9
SCADENTIA,Urogale everetti,Urogale everetti,184.2,37.5,137.8,51.4,12.8,12.1,4.9
PROSIMIANS ,Microcebus murinus,Microcebus murinus,43,8.1,38.2,12.3,1.6,2,4.3
PROSIMIANS ,Cheirogaleus major,Cheirogaleus major,157.5,19.4,144,39.4,5.1,10,11.8
PROSIMIANS ,Cheirogaleus medius,Cheirogaleus medius,102,14,75.1,27.5,3.2,5.7,6.9
PROSIMIANS ,Eulemur albifrons,Lemur albifrons,206.7,39,208.5,92.6,12.4,12.9,14.6
PROSIMIANS ,Varecia variegata,Varecia variegata,369,66.4,307.8,128.1,21.5,35.1,57.8
PROSIMIANS ,Lepilemur ruficaudatus,Lepilemur ruficaudatus,112.7,14.3,104,27.1,4.8,6,12.4
PROSIMIANS ,Avahi laniger laniger,Avahi l. laniger,89.1,14.4,96.5,33,4.2,5.7,16.8
PROSIMIANS ,Avahi laniger occidentalis,Avahi l. occidentalis,70,10.9,85.4,26.8,3.2,6.2,13.5
PROSIMIANS ,Propithecus verreauxi,Propithecus verreauxi,147.4,35.3,182.9,82.7,10.1,17.6,33.7
PROSIMIANS ,Indri indri,Indri indri,167.4,33,221.2,91.5,10.9,34.1,49
PROSIMIANS ,Daubentonia madagascariensis,Daubentonia madagasc.,684.9,130.1,524.1,240,26.4,43.5,92.3
PROSIMIANS ,Loris tardigradus,Loris tardigradus,85.8,11.1,100,22.5,2.5,7.9,7.9
PROSIMIANS ,Nycticebus coucang,Nycticebus coucang,159.3,38.5,179,52.2,6.4,22.9,21.5
PROSIMIANS ,Perodicticus potto,Perodicticus potto,309.7,69.4,246.6,84.3,11.5,20.6,26.6
PROSIMIANS ,Galago senegalensis,Galago senegalensis,79.2,11.1,50.3,15.2,3.1,4.3,5.2
PROSIMIANS ,Otolemur crassicaudatus,Otolemur crassicaudatus,165.9,27.2,145.2,35.7,6.1,10.4,12.5
PROSIMIANS ,Galagoides demidoff,Galagoides demidoff,83.1,7.4,83.9,19.4,2.6,3.4,6.3
PROSIMIANS ,Tarsius sp.,Tarsius spp.,18.8,2.9,16.3,8.3,0.99,5.6,5.2
SIMIANS ,Callithrix jacchus,Callithrix jacchus,22.8,2.7,34.6,19.4,3.6,14.1,10.1
SIMIANS ,Cebuella pygmaea,Cebuella pygmaea,11.4,2.1,24.5,7.8,1.3,6.1,5.8
SIMIANS ,Saguinus midas,Saguinus midas tamarin,17.3,4.4,40.3,16.8,4.2,22.4,9.9
SIMIANS ,Saguinus oedipus,Saguinus oedipus,19.1,3.9,54,23.9,5.4,16,11.2
SIMIANS ,Callimico goeldii,Callimico goeldii,27,3.3,41.5,29.3,5.4,16.8,9.6
SIMIANS ,Cebus albifrons,Cebus albifrons,39.9,8.6,199.4,103.5,12.9,84.4,63.6
SIMIANS ,Aotus trivirgatus,Aotus trivirgatus,56,9.7,90.6,42.3,13,26.3,18.7
SIMIANS ,Callicebus moloch,Callicebus moloch,19.2,4.4,96.7,34.7,8,28.6,27.2
SIMIANS ,Saimiri sciureus,Saimiri sciureus,26.8,6.5,60.4,41.7,8.7,34.4,19
SIMIANS ,Pithecia monachus,Pithecia monachus,34.8,9.2,141.4,2.3,17.5,31.4,21.9
SIMIANS ,Alouatta seniculus,Alouatta seniculus,41.4,26.2,158.3,93.6,17.2,79.8,30.7
SIMIANS ,Ateles geoffroyi,Ateles geoffroyi,90.4,9.5,324.8,163.7,26.3,98.1,134.1
SIMIANS ,Lagothrix lagothricha,Lagothrix lagothricha,73.4,16.1,342.9,115.5,23.2,61.5,82.7
SIMIANS ,Macaca mulatta,Macaca mulatta,84.3,15.2,203.1,113.8,35.1,123.4,50.9
SIMIANS ,Cercocebus albigena,Cercocebus albigena,121.4,22.2,364,158.5,59.7,185.2,67.9
SIMIANS ,Papio anubis,Papio anubis,286.8,42.9,412.9,201.3,87.7,326.2,84.8
SIMIANS ,Cercopithecus ascanius,Cercopithecus ascanius,99.5,12.5,223.3,86.5,24.9,101.8,30.1
SIMIANS ,Cercopithecus mitis,Cercopithecus mitis,116.7,24.6,191.8,103.6,33.7,152.4,55
SIMIANS ,Miopithecus talapoin,Miopithecus talapoin,27.8,8.8,132.1,51.5,14.1,46,40.2
SIMIANS ,Erythrocebus patas,Erythrocebus patas,51.8,25,235,121.2,29.7,180,59.8
SIMIANS ,Procolobus badius,Colobus badius,51.3,17.5,187.1,86.6,22.8,65.4,56.6
SIMIANS ,Pygathrix nemaeus,Pygathrix nemaeus,10.7,13,151.8,121.5,13.1,98.9,54.2
SIMIANS ,Nasalis larvatus,Nasalis larvatus,30.3,14.6,196.3,164.8,26.6,88.7,58.1
SIMIANS ,Hylobates lar,Hylobates lar,43.9,19,215.4,139.9,17.3,109.2,96.5
SIMIANS ,Pan troglodytes,Pan troglodytes,257.2,61.3,577.5,298,75,174.8,141.5
SIMIANS ,Gorilla gorilla,Gorilla gorilla,315.7,56.4,798.2,610.2,129.4,236,287.8
SIMIANS ,Homo sapiens,Homo sapiens,113.5,109.5,1674.8,692.2,148.3,848.6,211.8
