code,Stephan_Order,Species,Stephan81_Species,Eye HSE mm (1),Eye Origin of data (2),Eye n (3), Nervus opticus NOA mm2 (4),Nervus opticus origin of data (5), Nervus opticus n (6),Chiasma opticum CH II mm2 (7),Chiasma opticum n (8),Tractus opticus TRO mm3 (9),Corpus gen lat CGL mm3 (10),Corpus gen lat n (11),CGL data deviate from  STEPHAN et al. (1981)+
3501,Simians,Presbytis aygula,Presbytis aygula,1261,7,1*,_,_,_,_,_,_,_,_,
3503,Simians,Presbytis cristata,Presbytis cristata,1161,7,19*,_,_,_,_,_,_,_,_,
3527,Simians,Presbytis rubicundus,Presbytis rubicundus,1374,7,11*,_,_,_,_,_,_,_,_,
3539,Simians,Hylobates lar,Hylobates lar,1299,7,32*,12.7,S,2,6.94,1,302,175,1,
3540,Simians,Hylobates moloch,Hylobates moloch,1259,7,5*,_,_,_,_,_,_,_,_,
3544,Simians,Hylobates spec.,Hylobates spec.,1119,13,2*,17.1,13,1*,_,_,_,_,_,
3545,Simians,Pongo pygmaeus,Pongo pygmaeus,1282,"7, 13",7*,16.1,13,2,_,_,_,_,_,
3549,Simians,Pan troglodytes,Pan troglodytes,1446,"7, 10, 13",16*,21,"13, S",8*,12.6,3,630,356,1,
3551,Simians,Gorilla gorilla,Gorilla gorilla,1774,"10, 13",4*,17.6,"10, 13, S",4*,13.1,3,671,384,1,
3553,Simians,Homo sapiens,Homo sapiens,1855,"1, 6, 7, 9, 10, 20", 14*,22.8,"10, 20, S",5*,8.63,3,823,416,1,
,,,,,,,,,,,,,,,
3562,Domestic and laboratory animals,Canis familiaris,Canis familiaris,1543,"8, 9",5*,8.62,S,1,9.92,1,_,_,_,
4010,Domestic and laboratory animals,Felis domestica,Felis domestica,1359,"2, 9, S",4*,4.51,"16, 17, S",8*,4,2,_,_,_,
6918,Domestic and laboratory animals,Rattus norvegicus alba,Rattus norvegicus alba,141,"2, 12",11*,0.25,"12, S",10*,0.52,2,_,_,_,
7244,Domestic and laboratory animals,Mus musculus alba,Mus musculus alba,34.8,"9, 12",6*,0.11,12,5*,_,_,_,_,_,
7984,Domestic and laboratory animals,Oryctolagus cuniculus,Oryctolagus cuniculus,855,9,1*,1.72,"15, S",3*,1.96,1,_,_,_,
,,,,,,,,,,,,,,,
7993,Macroscelidea,Elephantulus fuscipes,Elephantulus fuscipes,_,_,_,0.64,S,4,1.17,1,_,_,_,
8011,Macroscelidea,Rhynchocyon cirnei,Rhynchocyon cirnei,_,_,_,3.9,S,4,5.59,1,_,_,_,
