Order_Baron1988,Species,Species_Baron1988,Complexus_vestibularis,Nucleus_vestibular_superior,Nucleus_vestibularis_lateralis,Nucleus_vestibularis_medialis,Nucleus_vestibularis_descendens
Simians,Saimiri sciureus,Saimiri sciureus,57.1,9.74,11.6,20.5,15.3
Simians,Pithecia monachus,Pithecia monachus,73.2,14.9,14.7,24.6,19
Simians,Alouatta seniculus,Alouatta seniculus,76.8,15.8,15.6,26.6,18.8
Simians,Ateles geoffroyi,Ateles geoffroyi,96.4,12.8,12.8,46.6,24.2
Simians,Lagothrix lagothricha,Lagothrix lagothricha,104,17.6,15.8,43,27.8
Simians,Macaca mulatta,Macaca mulatta,150,29,22.9,62.4,35.9
Simians,Cercocebus albigena,Cercocebus albigena,170,32.8,23,65.1,49.2
Simians,Papio anubis,Papio anubis,219,32.2,24.3,96.9,65.7
Simians,Cercopithecus ascanius,Cercopithecus ascanius,112,18.7,13.2,41.5,38.6
Simians,Cercopithecus mitis,Cercopithecus mitis,137,26,19.9,50.9,40.6
Simians,Miopithecus talapoin,Miopithecus talapoin,86.8,16.3,15.2,33.9,21.4
Simians,Erythrocebus patas,Erythrocebus patas,161,28.1,32.7,64.3,35.6
Simians,Procolobus badius,Colobus badius,117,17.6,21.5,49.5,28.4
Simians,Pygathrix nemaeus,Pygathrix nemaeus,117,24.4,24.3,35.1,32.9
Simians,Nasalis larvatus,Nasalis larvatus,171,23.7,31.2,66.9,48.9
Simians,Hylobates lar,Hylobates lar,119,28.9,11.5,49.1,29.8
Simians,Pan troglodytes,Pan troglodytes,224,42.8,23,99.6,58.5
Simians,Gorilla gorilla,Gorilla gorilla,251,61.7,38.1,101.5,49.9
Simians,Homo sapiens,Homo sapiens,339,78.4,42.3,130.3,87.8
